,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.222,0.241,0.267,0.275
Normalized EBITDA,249186000.0,195360000.0,164510000.0,139434000.0
Net Income From Continuing Operation Net Minority Interest,136161000.0,101928000.0,80245000.0,57804000.0
Reconciled Depreciation,47973000.0,46689000.0,44479000.0,43840000.0
Reconciled Cost Of Revenue,1203553000.0,1105686000.0,969867000.0,840642000.0
EBITDA,249186000.0,195360000.0,164510000.0,139434000.0
EBIT,201213000.0,148671000.0,120031000.0,95594000.0
Net Interest Income,-24608000.0,-13609000.0,-9384000.0,-14471000.0
Interest Expense,26093000.0,14361000.0,10533000.0,15837000.0
Interest Income,1485000.0,752000.0,1149000.0,1366000.0
Normalized Income,136161000.0,101928000.0,80245000.0,57804000.0
Net Income From Continuing And Discontinued Operation,136161000.0,101928000.0,80245000.0,57804000.0
Total Expenses,1491684000.0,1365024000.0,1217285000.0,1068681000.0
Total Operating Income As Reported,197967000.0,148592000.0,116938000.0,94785000.0
Diluted Average Shares,11987000.0,11934000.0,11896000.0,11845000.0
Basic Average Shares,11920000.0,11877000.0,11837000.0,11782000.0
Diluted EPS,11.36,8.54,6.75,4.88
Basic EPS,11.42,8.58,6.78,4.91
Diluted NI Availto Com Stockholders,136161000.0,101928000.0,80245000.0,57804000.0
Net Income Common Stockholders,136161000.0,101928000.0,80245000.0,57804000.0
Net Income,136161000.0,101928000.0,80245000.0,57804000.0
Net Income Including Noncontrolling Interests,136161000.0,101928000.0,80245000.0,57804000.0
Net Income Continuous Operations,136161000.0,101928000.0,80245000.0,57804000.0
Tax Provision,38959000.0,32382000.0,29253000.0,21953000.0
Pretax Income,175120000.0,134310000.0,109498000.0,79757000.0
Other Income Expense,1761000.0,-673000.0,1944000.0,-557000.0
Other Non Operating Income Expenses,1761000.0,-673000.0,1944000.0,-557000.0
Net Non Operating Interest Income Expense,-24608000.0,-13609000.0,-9384000.0,-14471000.0
Interest Expense Non Operating,26093000.0,14361000.0,10533000.0,15837000.0
Interest Income Non Operating,1485000.0,752000.0,1149000.0,1366000.0
Operating Income,197967000.0,148592000.0,116938000.0,94785000.0
Operating Expense,255677000.0,227926000.0,217576000.0,198945000.0
Depreciation Amortization Depletion Income Statement,15519000.0,15277000.0,14637000.0,14746000.0
Depreciation And Amortization In Income Statement,15519000.0,15277000.0,14637000.0,14746000.0
Amortization,15519000.0,15277000.0,14637000.0,14746000.0
Amortization Of Intangibles Income Statement,15519000.0,15277000.0,14637000.0,14746000.0
Selling General And Administration,240158000.0,212649000.0,202939000.0,184199000.0
Gross Profit,453644000.0,376518000.0,334514000.0,293730000.0
Cost Of Revenue,1236007000.0,1137098000.0,999709000.0,869736000.0
Total Revenue,1689651000.0,1513616000.0,1334223000.0,1163466000.0
Operating Revenue,1689651000.0,1513616000.0,1334223000.0,1163466000.0
