,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-23794000.0,-42490000.0,-32656000.0,-40292000.0
Repurchase Of Capital Stock,0.0,0.0,-3497000.0,-14536000.0
Repayment Of Debt,-85000000.0,-24688000.0,-313000.0,-13011000.0
Issuance Of Debt,0.0,85000000.0,0.0,38000000.0
Issuance Of Capital Stock,0.0,0.0,192810000.0,213896000.0
Capital Expenditure,-6292000.0,-4445000.0,-3697000.0,-2147000.0
Interest Paid Supplemental Data,7056000.0,3612000.0,1100000.0,352000.0
Income Tax Paid Supplemental Data,332000.0,249000.0,32000.0,67000.0
End Cash Position,40927000.0,112337000.0,312954000.0,171663000.0
Beginning Cash Position,112337000.0,312954000.0,171663000.0,11982000.0
Changes In Cash,-71410000.0,-200617000.0,141291000.0,159681000.0
Financing Cash Flow,-87819000.0,61179000.0,192273000.0,225046000.0
Cash Flow From Continuing Financing Activities,-87819000.0,61179000.0,192273000.0,225046000.0
Net Other Financing Charges,-19926000.0,-4438000.0,-4520000.0,-1289000.0
Proceeds From Stock Option Exercised,17107000.0,5305000.0,12762000.0,1986000.0
Cash Dividends Paid,0.0,0.0,-4969000.0,0.0
Preferred Stock Dividend Paid,0.0,0.0,-4969000.0,0.0
Net Preferred Stock Issuance,,0.0,0.0,213896000.0
Preferred Stock Issuance,,0.0,0.0,213896000.0
Net Common Stock Issuance,0.0,0.0,189313000.0,-14536000.0
Common Stock Payments,0.0,0.0,-3497000.0,-14536000.0
Common Stock Issuance,0.0,0.0,192810000.0,0.0
Net Issuance Payments Of Debt,-85000000.0,60312000.0,-313000.0,24989000.0
Net Short Term Debt Issuance,,0.0,0.0,0.0
Short Term Debt Payments,,0.0,0.0,-13000000.0
Short Term Debt Issuance,,0.0,0.0,13000000.0
Net Long Term Debt Issuance,-85000000.0,60312000.0,-313000.0,24989000.0
Long Term Debt Payments,-85000000.0,-24688000.0,-313000.0,-11000.0
Long Term Debt Issuance,0.0,85000000.0,0.0,25000000.0
Investing Cash Flow,33911000.0,-223751000.0,-22023000.0,-27220000.0
Cash Flow From Continuing Investing Activities,33911000.0,-223751000.0,-22023000.0,-27220000.0
Net Investment Purchase And Sale,40203000.0,-87467000.0,0.0,0.0
Sale Of Investment,181019000.0,99750000.0,0.0,0.0
Purchase Of Investment,-140816000.0,-187217000.0,0.0,0.0
Net Business Purchase And Sale,0.0,-131839000.0,-18326000.0,-25073000.0
Purchase Of Business,0.0,-131839000.0,-18326000.0,-25073000.0
Net PPE Purchase And Sale,-1058000.0,-1057000.0,-1120000.0,-2147000.0
Purchase Of PPE,-1058000.0,-1057000.0,-1120000.0,-2147000.0
Capital Expenditure Reported,-5234000.0,-3388000.0,-2577000.0,0.0
Operating Cash Flow,-17502000.0,-38045000.0,-28959000.0,-38145000.0
Cash Flow From Continuing Operating Activities,-17502000.0,-38045000.0,-28959000.0,-38145000.0
Change In Working Capital,-12828000.0,-15905000.0,-3285000.0,-7398000.0
Change In Other Working Capital,-4091000.0,-7324000.0,-4181000.0,-2847000.0
Change In Payables And Accrued Expense,91000.0,-1374000.0,6825000.0,3069000.0
Change In Prepaid Assets,425000.0,-3194000.0,352000.0,-4239000.0
Change In Receivables,-9253000.0,-4013000.0,-6281000.0,-3381000.0
Changes In Account Receivables,-9253000.0,-4013000.0,-6281000.0,-3381000.0
Other Non Cash Items,-3468000.0,-15735000.0,50000.0,61000.0
Stock Based Compensation,51231000.0,44592000.0,14535000.0,1954000.0
Deferred Tax,-32000.0,-690000.0,85000.0,0.0
Deferred Income Tax,-32000.0,-690000.0,85000.0,0.0
Depreciation Amortization Depletion,10631000.0,8075000.0,3443000.0,2775000.0
Depreciation And Amortization,10631000.0,8075000.0,3443000.0,2775000.0
Operating Gains Losses,-123000.0,218000.0,3035000.0,15818000.0
Gain Loss On Investment Securities,-532000.0,200000.0,3035000.0,15818000.0
Net Income From Continuing Operations,-62913000.0,-58600000.0,-46822000.0,-51355000.0
