,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,9811.0,662.0,337.0,336.0
Share Issued,9811.0,662.0,337.0,336.0
Net Debt,1134000.0,1698000.0,,1993000.0
Total Debt,1300000.0,3735000.0,1086000.0,2667000.0
Tangible Book Value,-14364000.0,-9662000.0,-9983000.0,-6051000.0
Invested Capital,-3193000.0,3614000.0,19131000.0,26730000.0
Working Capital,-12196000.0,-6254000.0,685000.0,-3818000.0
Net Tangible Assets,-12622000.0,-7659000.0,-9351000.0,-6051000.0
Capital Lease Obligations,0.0,8000.0,107000.0,376000.0
Common Stock Equity,-4493000.0,-113000.0,18152000.0,24439000.0
Preferred Stock Equity,1742000.0,2003000.0,632000.0,
Total Capitalization,-2751000.0,2973000.0,19763000.0,25319000.0
Total Equity Gross Minority Interest,-2751000.0,1890000.0,18784000.0,24439000.0
Minority Interest,,,,0.0
Stockholders Equity,-2751000.0,1890000.0,18784000.0,24439000.0
Gains Losses Not Affecting Retained Earnings,-411000.0,-721000.0,-600000.0,1375000.0
Other Equity Adjustments,-411000.0,-721000.0,-600000.0,1375000.0
Retained Earnings,-94451000.0,-82550000.0,-66492000.0,-39844000.0
Additional Paid In Capital,90369000.0,83158000.0,85243000.0,62482000.0
Capital Stock,1742000.0,2003000.0,633000.0,426000.0
Common Stock,0.0,0.0,1000.0,426000.0
Preferred Stock,1742000.0,2003000.0,632000.0,0.0
Total Liabilities Net Minority Interest,14613000.0,12654000.0,30849000.0,8964000.0
Total Non Current Liabilities Net Minority Interest,446000.0,1432000.0,10130000.0,3431000.0
Preferred Securities Outside Stock Equity,0.0,0.0,632000.0,0.0
Derivative Product Liabilities,,,7181000.0,149000.0
Non Current Deferred Liabilities,446000.0,349000.0,1961000.0,2135000.0
Non Current Deferred Taxes Liabilities,446000.0,349000.0,1961000.0,2135000.0
Long Term Debt And Capital Lease Obligation,,1083000.0,988000.0,1147000.0
Long Term Capital Lease Obligation,,0.0,9000.0,267000.0
Long Term Debt,,1083000.0,979000.0,880000.0
Current Liabilities,14167000.0,11222000.0,20719000.0,5533000.0
Other Current Liabilities,3083000.0,374000.0,11273000.0,
Current Debt And Capital Lease Obligation,1300000.0,2652000.0,98000.0,1520000.0
Current Capital Lease Obligation,0.0,8000.0,98000.0,109000.0
Current Debt,1300000.0,2644000.0,,1411000.0
Other Current Borrowings,1300000.0,2644000.0,,1327000.0
Line Of Credit,,,0.0,84000.0
Current Notes Payable,0.0,2644000.0,,
Payables And Accrued Expenses,9784000.0,8196000.0,9348000.0,4013000.0
Current Accrued Expenses,1309000.0,1904000.0,8590000.0,1840000.0
Interest Payable,101000.0,0.0,,
Payables,8475000.0,6292000.0,758000.0,2173000.0
Total Tax Payable,59000.0,41000.0,60000.0,57000.0
Income Tax Payable,59000.0,41000.0,60000.0,57000.0
Accounts Payable,8416000.0,6251000.0,698000.0,2116000.0
Total Assets,11862000.0,14544000.0,49633000.0,33403000.0
Total Non Current Assets,9891000.0,9576000.0,28229000.0,31687000.0
Investments And Advances,,,350000.0,845000.0
Investmentin Financial Assets,,,350000.0,845000.0
Available For Sale Securities,,,350000.0,845000.0
Goodwill And Other Intangible Assets,9871000.0,9549000.0,28135000.0,30490000.0
Other Intangible Assets,9871000.0,9549000.0,28135000.0,30490000.0
Net PPE,20000.0,27000.0,94000.0,352000.0
Accumulated Depreciation,,,-328000.0,-343000.0
Gross PPE,20000.0,27000.0,94000.0,695000.0
Other Properties,20000.0,27000.0,94000.0,695000.0
Current Assets,1971000.0,4968000.0,21404000.0,1715000.0
Current Deferred Assets,0.0,1341000.0,0.0,
Prepaid Assets,859000.0,727000.0,154000.0,293000.0
Receivables,946000.0,871000.0,1345000.0,1124000.0
Other Receivables,,,,50000.0
Taxes Receivable,946000.0,871000.0,1345000.0,1074000.0
Accounts Receivable,,,,0.0
Allowance For Doubtful Accounts Receivable,,,,0.0
Gross Accounts Receivable,,,,0.0
Cash Cash Equivalents And Short Term Investments,166000.0,2029000.0,19905000.0,298000.0
Other Short Term Investments,,0.0,350000.0,
Cash And Cash Equivalents,166000.0,2029000.0,19555000.0,298000.0
Cash Financial,166000.0,2029000.0,19555000.0,298000.0
