,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-32225000.0,-38207000.0,-16012000.0,-19807000.0
Issuance Of Debt,0.0,39404000.0,0.0,0.0
Capital Expenditure,-2489000.0,-5642000.0,-7642000.0,-7582000.0
Income Tax Paid Supplemental Data,385000.0,413000.0,633000.0,410000.0
End Cash Position,14192000.0,12295000.0,11717000.0,23599000.0
Beginning Cash Position,12295000.0,11717000.0,23599000.0,16930000.0
Changes In Cash,1897000.0,578000.0,-11882000.0,6669000.0
Financing Cash Flow,0.0,39655000.0,2811000.0,1835000.0
Cash Flow From Continuing Financing Activities,0.0,39655000.0,2811000.0,1835000.0
Proceeds From Stock Option Exercised,0.0,251000.0,2811000.0,1835000.0
Net Issuance Payments Of Debt,0.0,39404000.0,0.0,0.0
Net Long Term Debt Issuance,0.0,39404000.0,0.0,0.0
Long Term Debt Issuance,0.0,39404000.0,0.0,0.0
Investing Cash Flow,31633000.0,-6512000.0,-6323000.0,17059000.0
Cash Flow From Continuing Investing Activities,31633000.0,-6512000.0,-6323000.0,17059000.0
Net Other Investing Changes,-836000.0,430000.0,-280000.0,32896000.0
Net Investment Purchase And Sale,34958000.0,-800000.0,1599000.0,-8255000.0
Sale Of Investment,97600000.0,129250000.0,83819000.0,34847000.0
Purchase Of Investment,-62642000.0,-130050000.0,-82220000.0,-43102000.0
Net Business Purchase And Sale,0.0,-500000.0,0.0,0.0
Purchase Of Business,0.0,-500000.0,0.0,0.0
Net PPE Purchase And Sale,-2489000.0,-5642000.0,-7642000.0,-7582000.0
Purchase Of PPE,-2489000.0,-5642000.0,-7642000.0,-7582000.0
Operating Cash Flow,-29736000.0,-32565000.0,-8370000.0,-12225000.0
Cash Flow From Continuing Operating Activities,-29736000.0,-32565000.0,-8370000.0,-12225000.0
Change In Working Capital,15893000.0,-17223000.0,-6905000.0,-12405000.0
Change In Other Working Capital,-7236000.0,-10263000.0,2460000.0,-2911000.0
Change In Other Current Liabilities,-3322000.0,-3131000.0,3604000.0,-2323000.0
Change In Other Current Assets,3307000.0,3846000.0,1853000.0,-138000.0
Change In Payables And Accrued Expense,-12517000.0,6124000.0,471000.0,-6166000.0
Change In Accrued Expense,-712000.0,71000.0,182000.0,357000.0
Change In Interest Payable,-712000.0,71000.0,182000.0,357000.0
Change In Payable,-11805000.0,6053000.0,289000.0,-6523000.0
Change In Account Payable,-10692000.0,7721000.0,1848000.0,-9584000.0
Change In Inventory,1388000.0,-2170000.0,1494000.0,-1918000.0
Change In Receivables,34273000.0,-11629000.0,-16787000.0,1051000.0
Changes In Account Receivables,34273000.0,-11629000.0,-16787000.0,8323000.0
Other Non Cash Items,198000.0,171000.0,,18000.0
Stock Based Compensation,8845000.0,9165000.0,8000000.0,5198000.0
Depreciation Amortization Depletion,8132000.0,7352000.0,5575000.0,4312000.0
Depreciation And Amortization,8132000.0,7352000.0,5575000.0,4312000.0
Depreciation,8132000.0,7352000.0,5575000.0,4312000.0
Net Income From Continuing Operations,-62804000.0,-32030000.0,-15040000.0,-9348000.0
