,2023-12-31,2022-12-31
Free Cash Flow,-134474000.0,-110128000.0
Issuance Of Capital Stock,89778000.0,99893000.0
Capital Expenditure,-4499000.0,-2406000.0
End Cash Position,47133000.0,26954000.0
Beginning Cash Position,26954000.0,101800000.0
Changes In Cash,20179000.0,-74846000.0
Financing Cash Flow,89682000.0,101627000.0
Cash Flow From Continuing Financing Activities,89682000.0,101627000.0
Net Other Financing Charges,-485000.0,
Proceeds From Stock Option Exercised,389000.0,1734000.0
Net Preferred Stock Issuance,89778000.0,99893000.0
Preferred Stock Issuance,89778000.0,99893000.0
Investing Cash Flow,60472000.0,-68751000.0
Cash Flow From Continuing Investing Activities,60472000.0,-68751000.0
Net Investment Purchase And Sale,64971000.0,-66345000.0
Sale Of Investment,76250000.0,142730000.0
Purchase Of Investment,-11279000.0,-209075000.0
Net PPE Purchase And Sale,-4499000.0,-2406000.0
Purchase Of PPE,-4499000.0,-2406000.0
Operating Cash Flow,-129975000.0,-107722000.0
Cash Flow From Continuing Operating Activities,-129975000.0,-107722000.0
Change In Working Capital,12058000.0,-1916000.0
Change In Other Current Liabilities,-144000.0,-820000.0
Change In Payables And Accrued Expense,7016000.0,7257000.0
Change In Accrued Expense,7658000.0,5963000.0
Change In Payable,-642000.0,1294000.0
Change In Account Payable,-642000.0,1294000.0
Change In Prepaid Assets,5186000.0,-8353000.0
Other Non Cash Items,2010000.0,950000.0
Stock Based Compensation,8625000.0,5960000.0
Asset Impairment Charge,555000.0,0.0
Amortization Of Securities,-544000.0,-1036000.0
Depreciation Amortization Depletion,1284000.0,250000.0
Depreciation And Amortization,1284000.0,250000.0
Operating Gains Losses,1030000.0,
Gain Loss On Investment Securities,119000.0,
Gain Loss On Sale Of PPE,911000.0,0.0
Net Income From Continuing Operations,-154993000.0,-111930000.0
