,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Free Cash Flow,11479000.0,-3165000.0,-402000.0,12957000.0
Repayment Of Debt,-2100000.0,-1000000.0,-13326000.0,-22190000.0
Issuance Of Debt,0.0,6000000.0,10000000.0,19654000.0
Capital Expenditure,-875000.0,-229000.0,-1796000.0,-2587000.0
Interest Paid Supplemental Data,2343000.0,791000.0,342000.0,677000.0
Income Tax Paid Supplemental Data,1694000.0,311000.0,2414000.0,446000.0
End Cash Position,4527000.0,3946000.0,5276000.0,11439000.0
Beginning Cash Position,3946000.0,5276000.0,11439000.0,4249000.0
Effect Of Exchange Rate Changes,73000.0,114000.0,-205000.0,-627000.0
Changes In Cash,508000.0,-1444000.0,-5958000.0,7817000.0
Financing Cash Flow,-10971000.0,18755000.0,-5556000.0,-5140000.0
Cash Flow From Continuing Financing Activities,-10971000.0,18755000.0,-5556000.0,-5140000.0
Net Other Financing Charges,-2083000.0,-2300000.0,-2386000.0,-2211000.0
Proceeds From Stock Option Exercised,212000.0,155000.0,156000.0,104000.0
Cash Dividends Paid,,0.0,0.0,-497000.0
Common Stock Dividend Paid,,0.0,0.0,-497000.0
Net Issuance Payments Of Debt,-9100000.0,20900000.0,-3326000.0,-2536000.0
Net Short Term Debt Issuance,-7000000.0,15900000.0,0.0,-6500000.0
Short Term Debt Payments,,,0.0,-6500000.0
Short Term Debt Issuance,,15900000.0,0.0,0.0
Net Long Term Debt Issuance,-2100000.0,5000000.0,-3326000.0,3964000.0
Long Term Debt Payments,-2100000.0,-1000000.0,-13326000.0,-15690000.0
Long Term Debt Issuance,0.0,6000000.0,10000000.0,19654000.0
Investing Cash Flow,-875000.0,-17263000.0,-1796000.0,-2587000.0
Cash Flow From Continuing Investing Activities,-875000.0,-17263000.0,-1796000.0,-2587000.0
Net Investment Purchase And Sale,,,,0.0
Sale Of Investment,,,,0.0
Net Business Purchase And Sale,0.0,-17034000.0,0.0,0.0
Purchase Of Business,0.0,-17034000.0,0.0,0.0
Net PPE Purchase And Sale,-875000.0,-229000.0,-1796000.0,-2587000.0
Purchase Of PPE,-875000.0,-229000.0,-1796000.0,-2587000.0
Operating Cash Flow,12354000.0,-2936000.0,1394000.0,15544000.0
Cash Flow From Continuing Operating Activities,12354000.0,-2936000.0,1394000.0,15544000.0
Change In Working Capital,62000.0,-9492000.0,-7006000.0,7404000.0
Change In Other Working Capital,-973000.0,1714000.0,-1074000.0,-970000.0
Change In Payables And Accrued Expense,-389000.0,-1526000.0,2009000.0,1425000.0
Change In Payable,-389000.0,-1526000.0,2009000.0,1425000.0
Change In Account Payable,-46000.0,-3236000.0,4052000.0,-57000.0
Change In Tax Payable,-343000.0,1710000.0,-2043000.0,1482000.0
Change In Income Tax Payable,-343000.0,1710000.0,-2043000.0,1482000.0
Change In Inventory,2910000.0,-11581000.0,-4883000.0,4247000.0
Change In Receivables,-1486000.0,1901000.0,-3058000.0,2702000.0
Changes In Account Receivables,-1486000.0,-1234000.0,77000.0,2702000.0
Other Non Cash Items,2063000.0,25000.0,44000.0,75000.0
Stock Based Compensation,1347000.0,1290000.0,1493000.0,1819000.0
Deferred Tax,-78000.0,-1336000.0,210000.0,-1021000.0
Deferred Income Tax,-78000.0,-1336000.0,210000.0,-1021000.0
Depreciation Amortization Depletion,4266000.0,3916000.0,3994000.0,5983000.0
Depreciation And Amortization,4266000.0,3916000.0,3994000.0,5983000.0
Operating Gains Losses,,,-3770000.0,
Gain Loss On Sale Of PPE,0.0,0.0,696000.0,0.0
Net Income From Continuing Operations,4694000.0,2661000.0,6429000.0,1284000.0
