,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,19734077.0,19991681.0,17212588.0,17125270.0
Share Issued,19734077.0,19991681.0,17212588.0,17125270.0
Net Debt,243233000.0,378681000.0,,
Total Debt,378877000.0,442825000.0,63208000.0,66596000.0
Tangible Book Value,303134000.0,284687000.0,305783000.0,272056000.0
Invested Capital,742253000.0,793795000.0,418133000.0,388468000.0
Net Tangible Assets,303134000.0,284687000.0,305783000.0,272056000.0
Capital Lease Obligations,5751000.0,5902000.0,4478000.0,8291000.0
Common Stock Equity,369127000.0,356872000.0,359403000.0,330163000.0
Total Capitalization,428083000.0,415715000.0,418133000.0,388468000.0
Total Equity Gross Minority Interest,369127000.0,356872000.0,359403000.0,330163000.0
Stockholders Equity,369127000.0,356872000.0,359403000.0,330163000.0
Gains Losses Not Affecting Retained Earnings,-73655000.0,-98641000.0,-4255000.0,10638000.0
Retained Earnings,272705000.0,280426000.0,253567000.0,212163000.0
Additional Paid In Capital,150343000.0,155095000.0,92878000.0,90237000.0
Capital Stock,19734000.0,19992000.0,17213000.0,17125000.0
Common Stock,19734000.0,19992000.0,17213000.0,17125000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,3538586000.0,3422765000.0,3033288000.0,2683608000.0
Long Term Debt And Capital Lease Obligation,64707000.0,64745000.0,63208000.0,66596000.0
Long Term Capital Lease Obligation,5751000.0,5902000.0,4478000.0,8291000.0
Long Term Debt,58956000.0,58843000.0,58730000.0,58305000.0
Current Debt And Capital Lease Obligation,314170000.0,378080000.0,0.0,
Current Debt,314170000.0,378080000.0,0.0,
Other Current Borrowings,314170000.0,378080000.0,0.0,
Payables And Accrued Expenses,,64456000.0,49529000.0,45019000.0
Current Accrued Expenses,,64456000.0,49529000.0,45019000.0
Total Assets,3907713000.0,3779637000.0,3392691000.0,3013771000.0
Investments And Advances,786265000.0,1039240000.0,1205724000.0,592356000.0
Held To Maturity Securities,299515000.0,321902000.0,352061000.0,0.0
Long Term Equity Investment,14000.0,14000.0,14000.0,14000.0
Goodwill And Other Intangible Assets,65993000.0,72185000.0,53620000.0,58107000.0
Other Intangible Assets,19210000.0,25098000.0,22130000.0,27906000.0
Goodwill,46783000.0,47087000.0,31490000.0,30201000.0
Net PPE,23376000.0,22707000.0,22097000.0,27207000.0
Accumulated Depreciation,-51517000.0,-52549000.0,-49525000.0,-45899000.0
Gross PPE,74893000.0,75256000.0,71622000.0,73106000.0
Other Properties,8093000.0,8076000.0,6384000.0,9575000.0
Machinery Furniture Equipment,34086000.0,36013000.0,35063000.0,33598000.0
Buildings And Improvements,28172000.0,26625000.0,25633000.0,25391000.0
Land And Improvements,4542000.0,4542000.0,4542000.0,4542000.0
Prepaid Assets,5766000.0,6770000.0,5325000.0,4754000.0
Receivables,57283000.0,48051000.0,32269000.0,23801000.0
Other Receivables,41583000.0,35182000.0,23732000.0,14139000.0
Accounts Receivable,15700000.0,12869000.0,8537000.0,9662000.0
Other Short Term Investments,486736000.0,717324000.0,853649000.0,592342000.0
Cash And Cash Equivalents,129893000.0,58242000.0,242311000.0,172962000.0
Cash Cash Equivalents And Federal Funds Sold,129893000.0,58242000.0,242311000.0,172962000.0
