,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,66160.0,66160.0,66160.0,66160.0
Ordinary Shares Number,5107290.0,5107290.0,5107290.0,5107290.0
Share Issued,5173450.0,5173450.0,5173450.0,5173450.0
Net Debt,560696000.0,896118000.0,626074000.0,727460000.0
Total Debt,1092551000.0,1091051000.0,1089613000.0,1156170000.0
Tangible Book Value,237657000.0,236499000.0,252589000.0,203228000.0
Invested Capital,1330208000.0,1327550000.0,1342202000.0,1359398000.0
Working Capital,631454000.0,564057000.0,579787000.0,572433000.0
Net Tangible Assets,237657000.0,236499000.0,252589000.0,203228000.0
Common Stock Equity,237657000.0,236499000.0,252589000.0,203228000.0
Total Capitalization,1330208000.0,1327550000.0,1342202000.0,1359398000.0
Total Equity Gross Minority Interest,237657000.0,236499000.0,252589000.0,203228000.0
Stockholders Equity,237657000.0,236499000.0,252589000.0,203228000.0
Gains Losses Not Affecting Retained Earnings,16201000.0,25586000.0,7494000.0,-707000.0
Other Equity Adjustments,16201000.0,25586000.0,7494000.0,-707000.0
Treasury Stock,368000.0,368000.0,368000.0,368000.0
Retained Earnings,182336000.0,172243000.0,206875000.0,166165000.0
Additional Paid In Capital,34315000.0,33865000.0,33415000.0,32965000.0
Capital Stock,5173000.0,5173000.0,5173000.0,5173000.0
Common Stock,5173000.0,5173000.0,5173000.0,5173000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1166023000.0,1161277000.0,1139376000.0,1200910000.0
Total Non Current Liabilities Net Minority Interest,1113558000.0,1111691000.0,1093816000.0,1164052000.0
Other Non Current Liabilities,21007000.0,20640000.0,4203000.0,7882000.0
Long Term Debt And Capital Lease Obligation,1092551000.0,1091051000.0,1089613000.0,1156170000.0
Long Term Debt,1092551000.0,1091051000.0,1089613000.0,1156170000.0
Current Liabilities,52465000.0,49586000.0,45560000.0,36858000.0
Payables And Accrued Expenses,52465000.0,49586000.0,45560000.0,36858000.0
Payables,52465000.0,49586000.0,45560000.0,36858000.0
Dueto Related Parties Current,715000.0,801000.0,879000.0,1516000.0
Accounts Payable,51750000.0,48785000.0,44681000.0,35342000.0
Total Assets,1403680000.0,1397776000.0,1391965000.0,1404138000.0
Total Non Current Assets,719761000.0,784133000.0,766618000.0,794847000.0
Other Non Current Assets,44156000.0,67313000.0,36437000.0,37402000.0
Non Current Deferred Assets,24888000.0,28490000.0,31312000.0,36524000.0
Investment Properties,650717000.0,688330000.0,698869000.0,720921000.0
Current Assets,683919000.0,613643000.0,625347000.0,609291000.0
Restricted Cash,21122000.0,19545000.0,19966000.0,21167000.0
Receivables,130942000.0,132202000.0,141842000.0,153390000.0
Accounts Receivable,130942000.0,132202000.0,141842000.0,153390000.0
Cash Cash Equivalents And Short Term Investments,531855000.0,461896000.0,463539000.0,434734000.0
Other Short Term Investments,0.0,266963000.0,0.0,6024000.0
Cash And Cash Equivalents,531855000.0,194933000.0,463539000.0,428710000.0
