,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,109111000.0,102549000.0,118465000.0,78066000.0
Repayment Of Debt,0.0,0.0,-68000000.0,-50000000.0
Issuance Of Debt,,0.0,0.0,239708000.0
Interest Paid Supplemental Data,53975000.0,25934000.0,18568000.0,22476000.0
End Cash Position,552977000.0,214478000.0,483505000.0,449877000.0
Beginning Cash Position,214478000.0,483505000.0,449877000.0,313977000.0
Changes In Cash,338499000.0,-269027000.0,33628000.0,135900000.0
Financing Cash Flow,-92424000.0,-92310000.0,-160294000.0,90294000.0
Cash Flow From Continuing Financing Activities,-92424000.0,-92310000.0,-160294000.0,90294000.0
Net Other Financing Charges,-104000.0,-46000.0,-74000.0,-7246000.0
Cash Dividends Paid,-92320000.0,-92264000.0,-92220000.0,-92168000.0
Common Stock Dividend Paid,-92320000.0,-92264000.0,-92220000.0,-92168000.0
Net Issuance Payments Of Debt,0.0,0.0,-68000000.0,189708000.0
Net Long Term Debt Issuance,0.0,0.0,-68000000.0,189708000.0
Long Term Debt Payments,0.0,0.0,-68000000.0,-50000000.0
Long Term Debt Issuance,,0.0,0.0,239708000.0
Investing Cash Flow,321812000.0,-279266000.0,75457000.0,-32460000.0
Cash Flow From Continuing Investing Activities,321812000.0,-279266000.0,75457000.0,-32460000.0
Net Investment Purchase And Sale,258672000.0,-264880000.0,13106000.0,0.0
Sale Of Investment,269930000.0,99358000.0,13106000.0,0.0
Purchase Of Investment,-11258000.0,-364238000.0,0.0,
Net Investment Properties Purchase And Sale,63140000.0,-14386000.0,62351000.0,-32460000.0
Sale Of Investment Properties,67821000.0,0.0,81871000.0,0.0
Purchase Of Investment Properties,-4681000.0,-14386000.0,-19520000.0,-32460000.0
Operating Cash Flow,109111000.0,102549000.0,118465000.0,78066000.0
Cash Flow From Continuing Operating Activities,109111000.0,102549000.0,118465000.0,78066000.0
Change In Working Capital,16753000.0,7981000.0,16456000.0,-33203000.0
Change In Other Working Capital,,,,-29016000.0
Change In Other Current Liabilities,-19000.0,338000.0,-664000.0,-638000.0
Change In Other Current Assets,14141000.0,2782000.0,3099000.0,-28378000.0
Change In Payables And Accrued Expense,3203000.0,3181000.0,12290000.0,1959000.0
Change In Payable,3203000.0,3181000.0,12290000.0,1959000.0
Change In Account Payable,3263000.0,3141000.0,12501000.0,2361000.0
Change In Receivables,-572000.0,1680000.0,1731000.0,-6146000.0
Other Non Cash Items,8842000.0,5032000.0,9817000.0,21102000.0
Stock Based Compensation,450000.0,450000.0,450000.0,600000.0
Unrealized Gain Loss On Investment Securities,0.0,0.0,-3482000.0,8599000.0
Asset Impairment Charge,,0.0,0.0,4122000.0
Depreciation Amortization Depletion,34605000.0,31454000.0,34592000.0,35121000.0
Depreciation And Amortization,34605000.0,31454000.0,34592000.0,35121000.0
Operating Gains Losses,-53952000.0,,-72298000.0,-214000.0
Gain Loss On Investment Securities,-53952000.0,,-72298000.0,-214000.0
Net Income From Continuing Operations,102413000.0,57632000.0,132930000.0,41939000.0
