,2024-01-31,2023-01-31,2022-01-31,2021-01-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.2,0.078,0.078,0.2
Normalized EBITDA,-129747000.0,-54322000.0,-15636000.0,-49199000.0
Net Income From Continuing Operation Net Minority Interest,-169417000.0,-65386000.0,-26411000.0,-59786000.0
Reconciled Depreciation,24813000.0,19934000.0,14007000.0,11967000.0
Reconciled Cost Of Revenue,89657000.0,128672000.0,123724000.0,87417000.0
EBITDA,-129747000.0,-54322000.0,-15636000.0,-49199000.0
EBIT,-154560000.0,-74256000.0,-29643000.0,-61166000.0
Normalized Income,-169417000.0,-65386000.0,-26411000.0,-59786000.0
Net Income From Continuing And Discontinued Operation,-169417000.0,-65386000.0,-26411000.0,-59786000.0
Total Expenses,381034000.0,411862000.0,361499000.0,284156000.0
Total Operating Income As Reported,-154560000.0,-74256000.0,-29643000.0,-61166000.0
Diluted Average Shares,39878872.0,38363638.0,36577120.0,34679717.0
Basic Average Shares,39878872.0,38363638.0,36577120.0,34679717.0
Diluted EPS,-4.25,-1.7,-0.72,-1.72
Basic EPS,-4.25,-1.7,-0.72,-1.72
Diluted NI Availto Com Stockholders,-169417000.0,-65386000.0,-26411000.0,-59786000.0
Net Income Common Stockholders,-169417000.0,-65386000.0,-26411000.0,-59786000.0
Net Income,-169417000.0,-65386000.0,-26411000.0,-59786000.0
Net Income Including Noncontrolling Interests,-169417000.0,-65386000.0,-26411000.0,-59786000.0
Net Income Continuous Operations,-169417000.0,-65386000.0,-26411000.0,-59786000.0
Tax Provision,20887000.0,-5552000.0,-2230000.0,2483000.0
Pretax Income,-148530000.0,-70938000.0,-28641000.0,-57303000.0
Other Income Expense,6030000.0,3318000.0,1002000.0,3863000.0
Other Non Operating Income Expenses,6030000.0,3318000.0,1002000.0,3863000.0
Operating Income,-154560000.0,-74256000.0,-29643000.0,-61166000.0
Operating Expense,291377000.0,283190000.0,237775000.0,196739000.0
Research And Development,215052000.0,204946000.0,167337000.0,140759000.0
Selling General And Administration,76325000.0,78244000.0,70438000.0,55980000.0
Gross Profit,136817000.0,208934000.0,208132000.0,135573000.0
Cost Of Revenue,89657000.0,128672000.0,123724000.0,87417000.0
Total Revenue,226474000.0,337606000.0,331856000.0,222990000.0
Operating Revenue,226474000.0,337606000.0,331856000.0,222990000.0
