,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,237000000.0,-391000000.0,-229000000.0,66000000.0
Repurchase Of Capital Stock,0.0,-36000000.0,0.0,0.0
Repayment Of Debt,-161000000.0,-169000000.0,-2791000000.0,-43000000.0
Issuance Of Debt,79000000.0,709000000.0,2775000000.0,0.0
Issuance Of Capital Stock,0.0,257000000.0,925000000.0,0.0
Capital Expenditure,-379000000.0,-596000000.0,-687000000.0,-268000000.0
End Cash Position,443000000.0,555000000.0,463000000.0,257000000.0
Beginning Cash Position,555000000.0,463000000.0,257000000.0,284000000.0
Effect Of Exchange Rate Changes,-2000000.0,-17000000.0,-15000000.0,5000000.0
Changes In Cash,-110000000.0,109000000.0,221000000.0,-32000000.0
Financing Cash Flow,-348000000.0,499000000.0,454000000.0,-98000000.0
Cash Flow From Continuing Financing Activities,-348000000.0,499000000.0,454000000.0,-98000000.0
Net Other Financing Charges,-3000000.0,-11000000.0,-455000000.0,-55000000.0
Cash Dividends Paid,-263000000.0,-251000000.0,0.0,0.0
Common Stock Dividend Paid,-263000000.0,-251000000.0,0.0,0.0
Net Preferred Stock Issuance,0.0,257000000.0,0.0,0.0
Preferred Stock Issuance,0.0,257000000.0,0.0,0.0
Net Common Stock Issuance,0.0,-36000000.0,925000000.0,0.0
Common Stock Payments,0.0,-36000000.0,0.0,0.0
Common Stock Issuance,0.0,,925000000.0,0.0
Net Issuance Payments Of Debt,-82000000.0,540000000.0,-16000000.0,-43000000.0
Net Long Term Debt Issuance,-82000000.0,540000000.0,-16000000.0,-43000000.0
Long Term Debt Payments,-161000000.0,-169000000.0,-2791000000.0,-43000000.0
Long Term Debt Issuance,79000000.0,709000000.0,2775000000.0,0.0
Investing Cash Flow,-378000000.0,-595000000.0,-691000000.0,-268000000.0
Cash Flow From Continuing Investing Activities,-378000000.0,-595000000.0,-691000000.0,-268000000.0
Net Business Purchase And Sale,0.0,0.0,-5000000.0,0.0
Purchase Of Business,0.0,0.0,-5000000.0,0.0
Net Intangibles Purchase And Sale,-11000000.0,-11000000.0,-8000000.0,-5000000.0
Purchase Of Intangibles,-11000000.0,-11000000.0,-8000000.0,-5000000.0
Net PPE Purchase And Sale,-367000000.0,-584000000.0,-678000000.0,-263000000.0
Sale Of PPE,1000000.0,1000000.0,1000000.0,0.0
Purchase Of PPE,-368000000.0,-585000000.0,-679000000.0,-263000000.0
Operating Cash Flow,616000000.0,205000000.0,458000000.0,334000000.0
Cash Flow From Continuing Operating Activities,616000000.0,205000000.0,458000000.0,334000000.0
Taxes Refund Paid,-14000000.0,-35000000.0,-48000000.0,-41000000.0
Interest Paid Cfo,-174000000.0,-123000000.0,-113000000.0,-155000000.0
Change In Working Capital,270000000.0,-202000000.0,16000000.0,7000000.0
Other Non Cash Items,187000000.0,-50000000.0,448000000.0,68000000.0
Deferred Tax,-21000000.0,19000000.0,22000000.0,29000000.0
Deferred Income Tax,-21000000.0,19000000.0,22000000.0,29000000.0
Depreciation Amortization Depletion,418000000.0,359000000.0,343000000.0,315000000.0
Depreciation And Amortization,418000000.0,359000000.0,343000000.0,315000000.0
Amortization Cash Flow,143000000.0,138000000.0,,
Amortization Of Intangibles,143000000.0,138000000.0,,
Depreciation,275000000.0,221000000.0,,
Net Income From Continuing Operations,-50000000.0,237000000.0,-210000000.0,111000000.0
