,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,7359000000.0,8785000000.0,8381000000.0,9889000000.0
Repurchase Of Capital Stock,0.0,-6360000000.0,-4975000000.0,-3486000000.0
Repayment Of Debt,-1454000000.0,0.0,-4150000000.0,-6450000000.0
Issuance Of Debt,27777000000.0,6919000000.0,4945000000.0,8914000000.0
Capital Expenditure,-1112000000.0,-936000000.0,-880000000.0,-608000000.0
End Cash Position,10944000000.0,7629000000.0,7989000000.0,6266000000.0
Beginning Cash Position,7629000000.0,7989000000.0,6266000000.0,6037000000.0
Changes In Cash,3315000000.0,-360000000.0,1723000000.0,229000000.0
Financing Cash Flow,21048000000.0,-4037000000.0,-8271000000.0,-4867000000.0
Cash Flow From Continuing Financing Activities,21048000000.0,-4037000000.0,-8271000000.0,-4867000000.0
Net Other Financing Charges,-719000000.0,-400000000.0,-78000000.0,-90000000.0
Cash Dividends Paid,-4556000000.0,-4196000000.0,-4013000000.0,-3755000000.0
Common Stock Dividend Paid,-4556000000.0,-4196000000.0,-4013000000.0,-3755000000.0
Net Common Stock Issuance,0.0,-6360000000.0,-4975000000.0,-3486000000.0
Common Stock Payments,0.0,-6360000000.0,-4975000000.0,-3486000000.0
Net Issuance Payments Of Debt,26323000000.0,6919000000.0,795000000.0,2464000000.0
Net Long Term Debt Issuance,26323000000.0,6919000000.0,795000000.0,2464000000.0
Long Term Debt Payments,-1454000000.0,0.0,-4150000000.0,-6450000000.0
Long Term Debt Issuance,27777000000.0,6919000000.0,4945000000.0,8914000000.0
Investing Cash Flow,-26204000000.0,-6044000000.0,733000000.0,-5401000000.0
Cash Flow From Continuing Investing Activities,-26204000000.0,-6044000000.0,733000000.0,-5401000000.0
Net Other Investing Changes,225000000.0,100000000.0,-192000000.0,-75000000.0
Net Investment Purchase And Sale,1672000000.0,-1369000000.0,4334000000.0,-1499000000.0
Sale Of Investment,1673000000.0,1218000000.0,13234000000.0,6978000000.0
Purchase Of Investment,-1000000.0,-2587000000.0,-8900000000.0,-8477000000.0
Net Business Purchase And Sale,-26989000000.0,-3839000000.0,-2529000000.0,-3219000000.0
Sale Of Business,,130000000.0,0.0,
Purchase Of Business,-26989000000.0,-3839000000.0,-2529000000.0,-3219000000.0
Net PPE Purchase And Sale,-1112000000.0,-936000000.0,-880000000.0,-608000000.0
Purchase Of PPE,-1112000000.0,-936000000.0,-880000000.0,-608000000.0
Operating Cash Flow,8471000000.0,9721000000.0,9261000000.0,10497000000.0
Cash Flow From Continuing Operating Activities,8471000000.0,9721000000.0,9261000000.0,10497000000.0
Change In Working Capital,-484000000.0,-733000000.0,-1194000000.0,-216000000.0
Change In Other Working Capital,,,,630000000.0
Change In Other Current Liabilities,731000000.0,-85000000.0,-48000000.0,983000000.0
Change In Other Current Assets,-564000000.0,258000000.0,-237000000.0,129000000.0
Change In Payables And Accrued Expense,-127000000.0,582000000.0,-315000000.0,-686000000.0
Change In Accrued Expense,935000000.0,846000000.0,404000000.0,
Change In Payable,-1062000000.0,-264000000.0,-719000000.0,-686000000.0
Change In Account Payable,-402000000.0,154000000.0,-69000000.0,45000000.0
Change In Tax Payable,-660000000.0,-418000000.0,-650000000.0,-731000000.0
Change In Income Tax Payable,-660000000.0,-418000000.0,-650000000.0,-731000000.0
Change In Inventory,491000000.0,-742000000.0,-165000000.0,-215000000.0
Change In Receivables,-1015000000.0,-746000000.0,-429000000.0,-427000000.0
Changes In Account Receivables,-1015000000.0,-746000000.0,-429000000.0,-427000000.0
Other Non Cash Items,563000000.0,-303000000.0,1243000000.0,-195000000.0
Stock Based Compensation,431000000.0,401000000.0,341000000.0,330000000.0
Deferred Tax,-1273000000.0,-1198000000.0,-453000000.0,-287000000.0
Deferred Income Tax,-1273000000.0,-1198000000.0,-453000000.0,-287000000.0
Depreciation Amortization Depletion,4071000000.0,3417000000.0,3398000000.0,3601000000.0
Depreciation And Amortization,4071000000.0,3417000000.0,3398000000.0,3601000000.0
Depreciation,4071000000.0,3417000000.0,3398000000.0,3601000000.0
Operating Gains Losses,-1554000000.0,1585000000.0,33000000.0,
Earnings Losses From Equity Investments,11000000.0,891000000.0,33000000.0,
Gain Loss On Investment Securities,-1565000000.0,127000000.0,,
Gain Loss On Sale Of Business,0.0,567000000.0,0.0,
Net Income From Continuing Operations,6717000000.0,6552000000.0,5893000000.0,7264000000.0
