,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,49634.0,83448.0,-19600.0,-21285.0
Tax Rate For Calcs,0.166,0.228,0.2,0.165
Normalized EBITDA,133407000.0,246857000.0,215807000.0,223584000.0
Total Unusual Items,299000.0,366000.0,-98000.0,-129000.0
Total Unusual Items Excluding Goodwill,299000.0,366000.0,-98000.0,-129000.0
Net Income From Continuing Operation Net Minority Interest,68546000.0,156360000.0,132536000.0,159637000.0
Reconciled Depreciation,11397000.0,12525000.0,27300000.0,10789000.0
Reconciled Cost Of Revenue,9525784000.0,8991892000.0,7897489000.0,7402817000.0
EBITDA,133706000.0,247223000.0,215709000.0,223455000.0
EBIT,122309000.0,234698000.0,188409000.0,212666000.0
Net Interest Income,-12363000.0,-9297000.0,-192000.0,-1391000.0
Interest Expense,39531000.0,31528000.0,21992000.0,19865000.0
Interest Income,27168000.0,22231000.0,21800000.0,18474000.0
Normalized Income,68296634.0,156077448.0,132614400.0,159744715.0
Net Income From Continuing And Discontinued Operation,68546000.0,156360000.0,132536000.0,159637000.0
Total Expenses,9626981000.0,9089699000.0,8001407000.0,7461626000.0
Diluted Average Shares,24120800.0,24648600.0,24329500.0,17944600.0
Basic Average Shares,23091700.0,23400300.0,22805600.0,16686600.0
Diluted EPS,2.75,6.34,5.45,8.9
Basic EPS,2.87,6.68,5.81,9.57
Diluted NI Availto Com Stockholders,68546000.0,156360000.0,132536000.0,159637000.0
Net Income Common Stockholders,68546000.0,156360000.0,132536000.0,159637000.0
Net Income,68546000.0,156360000.0,132536000.0,159637000.0
Minority Interests,-487000.0,-409000.0,-543000.0,-1287000.0
Net Income Including Noncontrolling Interests,69033000.0,156769000.0,133079000.0,160924000.0
Net Income Continuous Operations,69033000.0,156769000.0,133079000.0,160924000.0
Tax Provision,13745000.0,46401000.0,33338000.0,31877000.0
Pretax Income,82778000.0,203170000.0,166417000.0,192801000.0
Other Income Expense,23083000.0,15605000.0,8762000.0,42803000.0
Other Non Operating Income Expenses,18740000.0,2663000.0,1953000.0,27385000.0
Earnings From Equity Interest,4044000.0,12576000.0,6907000.0,15547000.0
Gain On Sale Of Security,299000.0,366000.0,-98000.0,-129000.0
Net Non Operating Interest Income Expense,-12363000.0,-9297000.0,-192000.0,-1391000.0
Interest Expense Non Operating,39531000.0,31528000.0,21992000.0,19865000.0
Interest Income Non Operating,27168000.0,22231000.0,21800000.0,18474000.0
Operating Income,72058000.0,196862000.0,157847000.0,151389000.0
Operating Expense,101197000.0,97807000.0,103918000.0,58809000.0
Depreciation Amortization Depletion Income Statement,11397000.0,12525000.0,27300000.0,10789000.0
Depreciation And Amortization In Income Statement,11397000.0,12525000.0,27300000.0,10789000.0
Selling General And Administration,89800000.0,85282000.0,76618000.0,48020000.0
Gross Profit,173255000.0,294669000.0,261765000.0,210198000.0
Cost Of Revenue,9525784000.0,8991892000.0,7897489000.0,7402817000.0
Total Revenue,9699039000.0,9286561000.0,8159254000.0,7613015000.0
Operating Revenue,9699039000.0,9286561000.0,8159254000.0,7613015000.0
