,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,9317202.0,7986831.0,7486767.0,5886919.0
Ordinary Shares Number,408824093.0,404346256.0,396598008.0,392538081.0
Share Issued,418141295.0,412333087.0,404084775.0,398425000.0
Total Debt,8737000.0,10015000.0,8576000.0,9153000.0
Tangible Book Value,532793000.0,573553000.0,643552000.0,613688000.0
Invested Capital,552097000.0,595333000.0,667099000.0,627505000.0
Working Capital,465704000.0,429619000.0,508045000.0,571790000.0
Net Tangible Assets,532793000.0,573553000.0,643552000.0,613688000.0
Capital Lease Obligations,8737000.0,10015000.0,8576000.0,9153000.0
Common Stock Equity,552097000.0,595333000.0,667099000.0,627505000.0
Total Capitalization,552097000.0,595333000.0,667099000.0,627505000.0
Total Equity Gross Minority Interest,552097000.0,595333000.0,667099000.0,627505000.0
Stockholders Equity,552097000.0,595333000.0,667099000.0,627505000.0
Treasury Stock,63752000.0,61770000.0,60726000.0,51082000.0
Retained Earnings,-1586363000.0,-1527251000.0,-1421448000.0,-1429177000.0
Additional Paid In Capital,1899456000.0,1885352000.0,1855246000.0,1817649000.0
Capital Stock,302756000.0,299002000.0,294027000.0,290115000.0
Common Stock,302756000.0,299002000.0,294027000.0,290115000.0
Preferred Stock,,,,0.0
Total Liabilities Net Minority Interest,279587000.0,290846000.0,400966000.0,338516000.0
Total Non Current Liabilities Net Minority Interest,20310000.0,31367000.0,30284000.0,31073000.0
Other Non Current Liabilities,9064000.0,8205000.0,7648000.0,6214000.0
Non Current Deferred Liabilities,2509000.0,13147000.0,14060000.0,15706000.0
Non Current Deferred Revenue,2509000.0,13147000.0,14060000.0,15706000.0
Long Term Debt And Capital Lease Obligation,8737000.0,10015000.0,8576000.0,9153000.0
Long Term Capital Lease Obligation,8737000.0,10015000.0,8576000.0,9153000.0
Current Liabilities,259277000.0,259479000.0,370682000.0,307443000.0
Other Current Liabilities,25600000.0,35643000.0,45602000.0,28786000.0
Current Deferred Liabilities,2341000.0,2199000.0,2649000.0,2926000.0
Current Deferred Revenue,2341000.0,2199000.0,2649000.0,2926000.0
Payables And Accrued Expenses,231336000.0,221637000.0,322431000.0,275731000.0
Current Accrued Expenses,178574000.0,157035000.0,207509000.0,169855000.0
Payables,52762000.0,64602000.0,114922000.0,105876000.0
Accounts Payable,52762000.0,64602000.0,114922000.0,105876000.0
Total Assets,831684000.0,886179000.0,1068065000.0,966021000.0
Total Non Current Assets,106703000.0,197081000.0,189338000.0,86788000.0
Other Non Current Assets,78975000.0,164078000.0,121710000.0,432000.0
Investments And Advances,0.0,1275000.0,34996000.0,62469000.0
Investmentin Financial Assets,,,,62469000.0
Held To Maturity Securities,,,,62469000.0
Goodwill And Other Intangible Assets,19304000.0,21780000.0,23547000.0,13817000.0
Other Intangible Assets,19304000.0,21780000.0,23547000.0,13817000.0
Net PPE,8424000.0,9948000.0,9085000.0,10070000.0
Accumulated Depreciation,-1379000.0,-2472000.0,-1921000.0,-1616000.0
Gross PPE,9803000.0,12420000.0,11006000.0,11686000.0
Leases,217000.0,869000.0,869000.0,1026000.0
Construction In Progress,,,,0.0
Other Properties,8310000.0,9074000.0,7660000.0,
Machinery Furniture Equipment,1276000.0,2477000.0,2477000.0,2606000.0
Buildings And Improvements,,9074000.0,7660000.0,8054000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,724981000.0,689098000.0,878727000.0,879233000.0
Other Current Assets,11618000.0,19492000.0,22352000.0,30947000.0
Restricted Cash,525000.0,523000.0,3918000.0,3915000.0
Prepaid Assets,,,22352000.0,30947000.0
Inventory,258616000.0,228732000.0,234676000.0,188864000.0
Finished Goods,,,,107819000.0
Work In Process,,,,30388000.0
Raw Materials,,,,50657000.0
Receivables,133563000.0,130990000.0,163653000.0,154574000.0
Accounts Receivable,133563000.0,130990000.0,163653000.0,154574000.0
Allowance For Doubtful Accounts Receivable,-27123000.0,-56428000.0,-99295000.0,-49301000.0
Gross Accounts Receivable,160686000.0,187418000.0,262948000.0,203875000.0
Cash Cash Equivalents And Short Term Investments,320659000.0,309361000.0,454128000.0,500933000.0
Other Short Term Investments,121407000.0,91695000.0,234674000.0,313969000.0
Cash And Cash Equivalents,199252000.0,217666000.0,219454000.0,186964000.0
Cash Equivalents,,,,88266000.0
Cash Financial,,,,98698000.0
