,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,39906000.0,26619000.0,55942000.0,257195111.804808
Repayment Of Debt,-396000.0,-29895000.0,0.0,-40984016.201539
Issuance Of Debt,25000000.0,0.0,20000000.0,29962527.491664
Issuance Of Capital Stock,93600000.0,25041000.0,0.0,0.0
Capital Expenditure,-72000.0,-2000.0,,-14283.926809
End Cash Position,120234000.0,138297000.0,67494000.0,58558600.166401
Beginning Cash Position,138297000.0,67494000.0,58561000.0,98864276.122724
Effect Of Exchange Rate Changes,-422000.0,494000.0,-126000.0,63707.391952
Changes In Cash,-17641000.0,70309000.0,9059000.0,-40369383.348275
Financing Cash Flow,209348000.0,117639000.0,-873000.0,164389703.509258
Cash Flow From Continuing Financing Activities,209348000.0,117639000.0,-873000.0,164389703.509258
Net Other Financing Charges,97204000.0,123296000.0,-20273000.0,177186880.623295
Interest Paid Cff,-6060000.0,-803000.0,-600000.0,-1775688.404161
Proceeds From Stock Option Exercised,,,0.0,0.0
Cash Dividends Paid,0.0,0.0,0.0,0.0
Net Common Stock Issuance,93600000.0,25041000.0,0.0,0.0
Common Stock Issuance,93600000.0,25041000.0,0.0,0.0
Net Issuance Payments Of Debt,24604000.0,-29895000.0,20000000.0,-11021488.709875
Net Long Term Debt Issuance,24604000.0,-29895000.0,20000000.0,-11021488.709875
Long Term Debt Payments,-396000.0,-29895000.0,0.0,-40984016.201539
Long Term Debt Issuance,25000000.0,0.0,20000000.0,29962527.491664
Investing Cash Flow,-266967000.0,-73951000.0,-46010000.0,-461968482.58915
Cash Flow From Continuing Investing Activities,-266967000.0,-73951000.0,-46010000.0,-461968482.58915
Net Other Investing Changes,-264863000.0,-68723000.0,-44731000.0,-461954198.662341
Net Investment Purchase And Sale,-1218000.0,-79000.0,-1279000.0,0.0
Sale Of Investment,373000.0,4727000.0,0.0,0.0
Purchase Of Investment,-1591000.0,-4806000.0,-1279000.0,0.0
Net Business Purchase And Sale,-814000.0,-5147000.0,0.0,0.0
Sale Of Business,1347000.0,13326000.0,0.0,0.0
Purchase Of Business,-2161000.0,-18473000.0,0.0,0.0
Net PPE Purchase And Sale,-72000.0,-2000.0,0.0,-14283.926809
Purchase Of PPE,-72000.0,-2000.0,0.0,-14283.926809
Operating Cash Flow,39978000.0,26621000.0,55942000.0,257209395.731617
Cash Flow From Continuing Operating Activities,39978000.0,26621000.0,55942000.0,257209395.731617
Taxes Refund Paid,-1605000.0,-30992000.0,-12408000.0,-9903863.731643
Interest Received Cfo,7213000.0,4058000.0,2000.0,8743.542281
Dividend Received Cfo,9935000.0,6412000.0,6266000.0,11361478.64841
Change In Working Capital,30333000.0,-21462000.0,-3605000.0,201591636.342528
Change In Other Working Capital,-75000.0,-30000.0,,
Change In Other Current Assets,,0.0,0.0,205214963.333699
Change In Payables And Accrued Expense,14414000.0,-3696000.0,-2809000.0,-37611589.131038
Change In Payable,14414000.0,-3696000.0,-2809000.0,-37611589.131038
Change In Account Payable,-1156000.0,7736000.0,1831000.0,-31198221.055551
Change In Prepaid Assets,5326000.0,11489000.0,379000.0,1492267.634975
Change In Receivables,10668000.0,-29225000.0,-1175000.0,32495994.504892
Changes In Account Receivables,10668000.0,-29225000.0,-1175000.0,32495994.504892
Other Non Cash Items,-16543000.0,-20245000.0,-13278000.0,-10282918.469883
Unrealized Gain Loss On Investment Securities,40899000.0,20609000.0,-76867000.0,4005874.992744
Asset Impairment Charge,4988000.0,501000.0,0.0,2206943.829935
Depreciation Amortization Depletion,2623000.0,738000.0,6000.0,3918.037756
Depreciation And Amortization,2623000.0,738000.0,6000.0,3918.037756
Amortization Cash Flow,857000.0,726000.0,0.0,0.0
Amortization Of Intangibles,857000.0,726000.0,0.0,0.0
Depreciation,1766000.0,12000.0,6000.0,3918.037756
Operating Gains Losses,-195562000.0,-106869000.0,-15413000.0,-70958759.73092
Earnings Losses From Equity Investments,2335000.0,0.0,0.0,
Gain Loss On Investment Securities,-133569000.0,-92119000.0,-15413000.0,-70958759.73092
Gain Loss On Sale Of Business,-64328000.0,-14750000.0,0.0,0.0
Net Income From Continuing Operations,157697000.0,173871000.0,171239000.0,129176342.270408
