,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Preferred Shares Number,3097725.0,1270000.0,1408000.0,1408000.0
Ordinary Shares Number,40966000.0,35869000.0,33461000.0,22830000.0
Share Issued,40966000.0,35869000.0,33461000.0,22830000.0
Net Debt,292054000.0,241927000.0,181016000.0,229027000.0
Total Debt,296910000.0,248767000.0,191345000.0,232513000.0
Tangible Book Value,-216977000.0,-201855000.0,-120239000.0,-184745000.0
Invested Capital,77744000.0,44385000.0,68528000.0,44874000.0
Working Capital,-47989000.0,-70145000.0,-44637000.0,-93552000.0
Net Tangible Assets,-216977000.0,-201854000.0,-120238000.0,-184744000.0
Capital Lease Obligations,2189000.0,2527000.0,2578000.0,2894000.0
Common Stock Equity,-216977000.0,-201855000.0,-120239000.0,-184745000.0
Preferred Stock Equity,,1000.0,1000.0,1000.0
Total Capitalization,40716000.0,-4833000.0,45751000.0,-14640000.0
Total Equity Gross Minority Interest,-216977000.0,-201854000.0,-120238000.0,-184744000.0
Stockholders Equity,-216977000.0,-201854000.0,-120238000.0,-184744000.0
Gains Losses Not Affecting Retained Earnings,-5671000.0,-5452000.0,-4350000.0,-4114000.0
Other Equity Adjustments,-5671000.0,-5452000.0,-4350000.0,-4114000.0
Retained Earnings,-475405000.0,-428985000.0,-321227000.0,-274080000.0
Additional Paid In Capital,264058000.0,232546000.0,205305000.0,93426000.0
Capital Stock,41000.0,37000.0,34000.0,24000.0
Common Stock,41000.0,36000.0,33000.0,23000.0
Preferred Stock,0.0,1000.0,1000.0,1000.0
Total Liabilities Net Minority Interest,460383000.0,408968000.0,281069000.0,309883000.0
Total Non Current Liabilities Net Minority Interest,375994000.0,320687000.0,215739000.0,207648000.0
Other Non Current Liabilities,3329000.0,5477000.0,2454000.0,2944000.0
Preferred Securities Outside Stock Equity,113189000.0,116000000.0,44978000.0,32022000.0
Long Term Debt And Capital Lease Obligation,259476000.0,199210000.0,168307000.0,172682000.0
Long Term Capital Lease Obligation,1783000.0,2189000.0,2318000.0,2578000.0
Long Term Debt,257693000.0,197021000.0,165989000.0,170104000.0
Current Liabilities,84389000.0,88281000.0,65330000.0,102235000.0
Other Current Liabilities,14823000.0,12556000.0,12847000.0,9791000.0
Current Debt And Capital Lease Obligation,37434000.0,49557000.0,23038000.0,59831000.0
Current Capital Lease Obligation,406000.0,338000.0,260000.0,316000.0
Current Debt,37028000.0,49219000.0,22778000.0,59515000.0
Other Current Borrowings,37028000.0,49219000.0,22778000.0,59515000.0
Payables And Accrued Expenses,32132000.0,26168000.0,29445000.0,32613000.0
Current Accrued Expenses,,0.0,6200000.0,6200000.0
Payables,32132000.0,26168000.0,23245000.0,26413000.0
Total Tax Payable,,1206000.0,6830000.0,5674000.0
Accounts Payable,32132000.0,26168000.0,16415000.0,20739000.0
Total Assets,243406000.0,207114000.0,160831000.0,125139000.0
Total Non Current Assets,207006000.0,188978000.0,140138000.0,116456000.0
Other Non Current Assets,9842000.0,6088000.0,2575000.0,3687000.0
Investment Properties,15431000.0,15437000.0,,
Net PPE,181733000.0,167453000.0,137563000.0,112769000.0
Accumulated Depreciation,-57180000.0,-50531000.0,-46332000.0,-41106000.0
Gross PPE,238913000.0,217984000.0,183895000.0,153875000.0
Construction In Progress,73057000.0,88990000.0,55859000.0,25397000.0
Other Properties,4945000.0,5494000.0,20216000.0,20605000.0
Machinery Furniture Equipment,153566000.0,116156000.0,103738000.0,103781000.0
Land And Improvements,7345000.0,7344000.0,4082000.0,4092000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,36400000.0,18136000.0,20693000.0,8683000.0
Other Current Assets,3462000.0,3653000.0,644000.0,1551000.0
Prepaid Assets,3347000.0,4248000.0,5598000.0,750000.0
Inventory,18291000.0,4658000.0,5126000.0,3969000.0
Finished Goods,6702000.0,1560000.0,2316000.0,1321000.0
Work In Process,1682000.0,127000.0,2083000.0,1266000.0
Raw Materials,9907000.0,2971000.0,727000.0,1382000.0
Receivables,8633000.0,1264000.0,1574000.0,1821000.0
Accounts Receivable,8633000.0,1264000.0,1574000.0,1821000.0
Allowance For Doubtful Accounts Receivable,,0.0,-1404000.0,-1260000.0
Gross Accounts Receivable,8633000.0,1264000.0,2978000.0,3081000.0
Cash Cash Equivalents And Short Term Investments,2667000.0,4313000.0,7751000.0,592000.0
Cash And Cash Equivalents,2667000.0,4313000.0,7751000.0,592000.0
