,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1903390944.0,874368054.0,-6502535832.0,-12480000367.0
Tax Rate For Calcs,0.299,0.343,0.312,0.251
Normalized EBITDA,330383593000.0,342666017000.0,330781743000.0,306112203000.0
Total Unusual Items,-6365856000.0,2549178000.0,-20841461000.0,-49721117000.0
Total Unusual Items Excluding Goodwill,-6365856000.0,2549178000.0,-20841461000.0,-49721117000.0
Net Income From Continuing Operation Net Minority Interest,76110617000.0,82878406000.0,68187225000.0,35264826000.0
Reconciled Depreciation,151786064000.0,158633786000.0,156302992000.0,154215420000.0
Reconciled Cost Of Revenue,316476140000.0,330532450000.0,328510002000.0,323468972000.0
EBITDA,324017737000.0,345215195000.0,309940282000.0,256391086000.0
EBIT,172231673000.0,186581409000.0,153637290000.0,102175666000.0
Net Interest Income,-39660902000.0,-37338999000.0,-42021058000.0,-46187335000.0
Interest Expense,56898028000.0,52311910000.0,48829641000.0,49558317000.0
Interest Income,9628340000.0,4823579000.0,3834150000.0,5060636000.0
Normalized Income,80573082056.0,81203596054.0,82526150168.0,72505942633.0
Net Income From Continuing And Discontinued Operation,76110617000.0,82878406000.0,68187225000.0,46852605000.0
Total Expenses,649280617000.0,673630645000.0,663131202000.0,666586280000.0
Total Operating Income As Reported,167783515000.0,170870752000.0,167556250000.0,148812807000.0
Diluted Average Shares,3152450000.0,3199974412.0,3331950000.0,3343100000.0
Basic Average Shares,3152450000.0,3199974412.0,3331950000.0,3343100000.0
Diluted EPS,24.2,23.8,58.831915,14.014837
Basic EPS,24.2,23.8,58.831915,14.014837
Diluted NI Availto Com Stockholders,76110617000.0,82878406000.0,68187225000.0,46852605000.0
Net Income Common Stockholders,76110617000.0,82878406000.0,68187225000.0,46852605000.0
Net Income,76110617000.0,82878406000.0,68187225000.0,46852605000.0
Minority Interests,-4679025000.0,-5347004000.0,-3902947000.0,-4174352000.0
Net Income Including Noncontrolling Interests,80789642000.0,88225410000.0,72090172000.0,51026957000.0
Net Income Discontinuous Operations,0.0,-6719015000.0,121710718000.0,11587779000.0
Net Income Continuous Operations,80789642000.0,88225410000.0,72090172000.0,39439178000.0
Earnings From Equity Interest Net Of Tax,-5372000000.0,,114000000.0,
Tax Provision,34544003000.0,46044089000.0,32717477000.0,13178171000.0
Pretax Income,115333645000.0,134269499000.0,104807649000.0,52617349000.0
Other Income Expense,-11737680000.0,737746000.0,-20727543000.0,-50008123000.0
Other Non Operating Income Expenses,-6966000000.0,,-4877000000.0,
Special Income Charges,-15302686000.0,4271250000.0,0.0,0.0
Other Special Charges,,-4271250000.0,,
Write Off,16862344000.0,0.0,0.0,
Restructuring And Mergern Acquisition,-1559658000.0,-4271250000.0,0.0,0.0
Earnings From Equity Interest,-5371824000.0,-1811432000.0,113918000.0,-287006000.0
Gain On Sale Of Security,8936830000.0,-1722072000.0,-20841461000.0,-49721117000.0
Net Non Operating Interest Income Expense,-39660902000.0,-37338999000.0,-42021058000.0,-46187335000.0
Total Other Finance Cost,-7608786000.0,-10149332000.0,-2974433000.0,1689654000.0
Interest Expense Non Operating,56898028000.0,52311910000.0,48829641000.0,49558317000.0
Interest Income Non Operating,9628340000.0,4823579000.0,3834150000.0,5060636000.0
Operating Income,166732227000.0,170870752000.0,167556250000.0,148812807000.0
Operating Expense,332804477000.0,343098195000.0,334621200000.0,343117308000.0
Other Operating Expenses,6965828000.0,5010379000.0,4738463000.0,4695452000.0
Provision For Doubtful Accounts,1051288000.0,0.0,0.0,
Depreciation Amortization Depletion Income Statement,151786064000.0,158633786000.0,156302992000.0,154215420000.0
Depreciation And Amortization In Income Statement,151786064000.0,158633786000.0,156302992000.0,154215420000.0
Selling General And Administration,173001297000.0,179454030000.0,173579745000.0,184206436000.0
Selling And Marketing Expense,,119364093000.0,,
General And Administrative Expense,,60089937000.0,,
Other Gand A,,60089937000.0,,
Gross Profit,499536704000.0,513968947000.0,502177450000.0,491930115000.0
Cost Of Revenue,316476140000.0,330532450000.0,328510002000.0,323468972000.0
Total Revenue,816012844000.0,844501397000.0,830687452000.0,815399087000.0
Operating Revenue,816012844000.0,844501397000.0,830687452000.0,815399087000.0
