,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-179.41243,0.0,0.0,0.0
Tax Rate For Calcs,2.4e-05,0.21,0.0,0.0
Normalized EBITDA,-135825000.0,-105257000.0,-54256000.0,-18314000.0
Total Unusual Items,-7339000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,-7339000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-163619000.0,-128724000.0,-57796000.0,-19931000.0
Reconciled Depreciation,2376000.0,2335000.0,2090000.0,1617000.0
EBITDA,-143164000.0,-105257000.0,-54256000.0,-18314000.0
EBIT,-145540000.0,-107592000.0,-56346000.0,-19931000.0
Net Interest Income,790000.0,-13558000.0,-1019000.0,3959000.0
Interest Expense,18083000.0,21108000.0,1450000.0,0.0
Interest Income,18873000.0,7550000.0,431000.0,3959000.0
Normalized Income,-156280179.41243,-128724000.0,-57796000.0,-19931000.0
Net Income From Continuing And Discontinued Operation,-163619000.0,-128724000.0,-57796000.0,-19931000.0
Total Expenses,174229000.0,125441000.0,119989000.0,98879000.0
Total Operating Income As Reported,-164411000.0,-115154000.0,-56814000.0,-23879000.0
Diluted Average Shares,26924000.0,28165000.0,27431000.0,27302000.0
Basic Average Shares,26924000.0,28165000.0,27431000.0,27302000.0
Diluted EPS,-6.08,-4.57,-2.11,-0.73
Basic EPS,-6.08,-4.57,-2.11,-0.73
Diluted NI Availto Com Stockholders,-163619000.0,-128724000.0,-57796000.0,-19931000.0
Net Income Common Stockholders,-163619000.0,-128724000.0,-57796000.0,-19931000.0
Net Income,-163619000.0,-128724000.0,-57796000.0,-19931000.0
Net Income Including Noncontrolling Interests,-163619000.0,-128724000.0,-57796000.0,-19931000.0
Net Income Continuous Operations,-163619000.0,-128724000.0,-57796000.0,-19931000.0
Tax Provision,-4000.0,24000.0,0.0,0.0
Pretax Income,-163623000.0,-128700000.0,-57796000.0,-19931000.0
Other Income Expense,-7341000.0,12000.0,37000.0,-11000.0
Other Non Operating Income Expenses,-2000.0,12000.0,37000.0,-11000.0
Special Income Charges,-7339000.0,0.0,0.0,
Other Special Charges,7339000.0,,,
Net Non Operating Interest Income Expense,790000.0,-13558000.0,-1019000.0,3959000.0
Interest Expense Non Operating,18083000.0,21108000.0,1450000.0,0.0
Interest Income Non Operating,18873000.0,7550000.0,431000.0,3959000.0
Operating Income,-157072000.0,-115154000.0,-56814000.0,-23879000.0
Operating Expense,174229000.0,125441000.0,119989000.0,98879000.0
Research And Development,132283000.0,88798000.0,98496000.0,80025000.0
Selling General And Administration,41946000.0,36643000.0,21493000.0,18854000.0
General And Administrative Expense,41946000.0,36643000.0,21493000.0,18854000.0
Other Gand A,41946000.0,36643000.0,21493000.0,18854000.0
Total Revenue,17157000.0,10287000.0,63175000.0,75000000.0
Operating Revenue,17157000.0,10287000.0,63175000.0,75000000.0
