,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,269797.0,446000.0,11000.0,45000.0
Ordinary Shares Number,33794186.0,33618000.0,33859000.0,33554000.0
Share Issued,34063983.0,34064000.0,33870000.0,33599000.0
Net Debt,,759979000.0,918091000.0,1330399000.0
Total Debt,665286000.0,912395000.0,1165857000.0,1379357000.0
Tangible Book Value,1069464000.0,968352000.0,825946000.0,690265000.0
Invested Capital,1916526000.0,2073849000.0,2206960000.0,2321413000.0
Working Capital,1170632000.0,944631000.0,908399000.0,484727000.0
Net Tangible Assets,1069464000.0,968352000.0,825946000.0,690265000.0
Capital Lease Obligations,31659000.0,37147000.0,31322000.0,19835000.0
Common Stock Equity,1282899000.0,1198601000.0,1072425000.0,961891000.0
Total Capitalization,1845859000.0,1691119000.0,1672912000.0,1848344000.0
Total Equity Gross Minority Interest,1516387000.0,1429769000.0,1307704000.0,1160660000.0
Minority Interest,233488000.0,231168000.0,235279000.0,198769000.0
Stockholders Equity,1282899000.0,1198601000.0,1072425000.0,961891000.0
Gains Losses Not Affecting Retained Earnings,22865000.0,20484000.0,1194000.0,-12076000.0
Other Equity Adjustments,22865000.0,20484000.0,1194000.0,-12076000.0
Treasury Stock,10261000.0,15043000.0,263000.0,966000.0
Retained Earnings,882943000.0,807770000.0,702759000.0,626081000.0
Additional Paid In Capital,387210000.0,385248000.0,368595000.0,348714000.0
Capital Stock,142000.0,142000.0,140000.0,138000.0
Common Stock,142000.0,142000.0,140000.0,138000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,2338620000.0,3178227000.0,3261515000.0,3111461000.0
Total Non Current Liabilities Net Minority Interest,702289000.0,656905000.0,797586000.0,1179779000.0
Other Non Current Liabilities,49089000.0,63160000.0,78531000.0,55248000.0
Liabilities Heldfor Sale Non Current,,0.0,16119000.0,48096000.0
Non Current Deferred Liabilities,58581000.0,64080000.0,71127000.0,170147000.0
Non Current Deferred Taxes Liabilities,58581000.0,64080000.0,71127000.0,170147000.0
Long Term Debt And Capital Lease Obligation,594619000.0,529665000.0,631809000.0,906288000.0
Long Term Capital Lease Obligation,31659000.0,37147000.0,31322000.0,19835000.0
Long Term Debt,562960000.0,492518000.0,600487000.0,886453000.0
Current Liabilities,1636331000.0,2521322000.0,2463929000.0,1931682000.0
Other Current Liabilities,90849000.0,98519000.0,142290000.0,172267000.0
Current Deferred Liabilities,187054000.0,370524000.0,358119000.0,178226000.0
Current Deferred Revenue,187054000.0,370524000.0,358119000.0,178226000.0
Current Debt And Capital Lease Obligation,70667000.0,382730000.0,534048000.0,473069000.0
Current Debt,70667000.0,382730000.0,534048000.0,473069000.0
Other Current Borrowings,70667000.0,382730000.0,534048000.0,473069000.0
Line Of Credit,,,,403703000.0
Payables And Accrued Expenses,1287761000.0,1669549000.0,1429472000.0,1108120000.0
Current Accrued Expenses,232288000.0,245916000.0,230148000.0,153311000.0
Payables,1055473000.0,1423633000.0,1199324000.0,954809000.0
Accounts Payable,1055473000.0,1423633000.0,1199324000.0,954809000.0
Total Assets,3855007000.0,4607996000.0,4569219000.0,4272121000.0
Total Non Current Assets,1048044000.0,1142043000.0,1196891000.0,1855712000.0
Other Non Current Assets,87010000.0,87175000.0,112237000.0,690388000.0
Goodwill And Other Intangible Assets,213435000.0,230249000.0,246479000.0,271626000.0
Other Intangible Assets,85579000.0,100907000.0,117137000.0,140084000.0
Goodwill,127856000.0,129342000.0,129342000.0,131542000.0
Net PPE,747599000.0,824619000.0,838175000.0,893698000.0
Accumulated Depreciation,-773814000.0,-754353000.0,-669984000.0,-569073000.0
Gross PPE,1521413000.0,1578972000.0,1508159000.0,1462771000.0
Construction In Progress,36541000.0,41429000.0,20676000.0,19473000.0
Other Properties,54234000.0,61890000.0,52146000.0,33387000.0
Machinery Furniture Equipment,951544000.0,980159000.0,936476000.0,898557000.0
Buildings And Improvements,365744000.0,364721000.0,368577000.0,379195000.0
Land And Improvements,113350000.0,130773000.0,130284000.0,132159000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,2806963000.0,3465953000.0,3372328000.0,2416409000.0
Other Current Assets,55777000.0,74493000.0,74468000.0,99529000.0
Hedging Assets Current,178083000.0,295588000.0,410813000.0,320706000.0
Assets Held For Sale Current,,2871000.0,20885000.0,32659000.0
Inventory,1166700000.0,1731725000.0,1814538000.0,1293066000.0
Other Inventories,126054000.0,177425000.0,208134000.0,127372000.0
Finished Goods,886725000.0,1326531000.0,1427708000.0,1025809000.0
Raw Materials,153921000.0,227769000.0,178696000.0,139885000.0
Receivables,762549000.0,1248878000.0,835180000.0,641326000.0
Accounts Receivable,762549000.0,1248878000.0,835180000.0,641326000.0
Allowance For Doubtful Accounts Receivable,-35939000.0,-26392000.0,-6911000.0,-9255000.0
Gross Accounts Receivable,798488000.0,1275270000.0,842091000.0,650581000.0
Cash Cash Equivalents And Short Term Investments,643854000.0,115269000.0,216444000.0,29123000.0
Cash And Cash Equivalents,643854000.0,115269000.0,216444000.0,29123000.0
