,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,188000.0,,,
Ordinary Shares Number,14660000.0,14625000.0,14441000.0,14329000.0
Share Issued,14848000.0,14625000.0,14441000.0,14329000.0
Total Debt,29037000.0,30890000.0,20954000.0,22464000.0
Tangible Book Value,200068000.0,203625000.0,196922000.0,172830000.0
Invested Capital,212265000.0,285563000.0,287085000.0,272400000.0
Working Capital,132250000.0,141633000.0,138733000.0,140516000.0
Net Tangible Assets,200068000.0,203625000.0,196922000.0,172830000.0
Capital Lease Obligations,29037000.0,30890000.0,20954000.0,22464000.0
Common Stock Equity,212265000.0,285563000.0,287085000.0,272400000.0
Total Capitalization,212265000.0,285563000.0,287085000.0,272400000.0
Total Equity Gross Minority Interest,212265000.0,285563000.0,287085000.0,272400000.0
Stockholders Equity,212265000.0,285563000.0,287085000.0,272400000.0
Gains Losses Not Affecting Retained Earnings,-5943000.0,-6443000.0,-5718000.0,-4542000.0
Other Equity Adjustments,-5943000.0,-6443000.0,-5718000.0,
Foreign Currency Translation Adjustments,,,,-4542000.0
Retained Earnings,128052000.0,210719000.0,225578000.0,221444000.0
Additional Paid In Capital,90009000.0,81141000.0,67081000.0,55355000.0
Capital Stock,147000.0,146000.0,144000.0,143000.0
Common Stock,147000.0,146000.0,144000.0,143000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,58367000.0,63565000.0,60450000.0,93205000.0
Total Non Current Liabilities Net Minority Interest,27308000.0,35651000.0,30655000.0,56338000.0
Other Non Current Liabilities,404000.0,398000.0,1258000.0,23564000.0
Non Current Deferred Liabilities,0.0,6436000.0,10157000.0,11895000.0
Non Current Deferred Taxes Liabilities,0.0,6436000.0,10157000.0,11895000.0
Long Term Debt And Capital Lease Obligation,26904000.0,28817000.0,19240000.0,20879000.0
Long Term Capital Lease Obligation,26904000.0,28817000.0,19240000.0,20879000.0
Current Liabilities,31059000.0,27914000.0,29795000.0,36867000.0
Other Current Liabilities,,,4315000.0,13090000.0
Current Debt And Capital Lease Obligation,2133000.0,2073000.0,1714000.0,1585000.0
Current Capital Lease Obligation,2133000.0,2073000.0,1714000.0,1585000.0
Pensionand Other Post Retirement Benefit Plans Current,11828000.0,11303000.0,9523000.0,7345000.0
Payables And Accrued Expenses,17098000.0,14538000.0,14243000.0,14847000.0
Current Accrued Expenses,5998000.0,4654000.0,6610000.0,5863000.0
Payables,11100000.0,9884000.0,7633000.0,8984000.0
Total Tax Payable,1240000.0,810000.0,0.0,
Income Tax Payable,1240000.0,810000.0,0.0,
Accounts Payable,9860000.0,9074000.0,7633000.0,8984000.0
Total Assets,270632000.0,349128000.0,347535000.0,365605000.0
Total Non Current Assets,107323000.0,179581000.0,179007000.0,188222000.0
Other Non Current Assets,18672000.0,17219000.0,20285000.0,15420000.0
Non Current Deferred Assets,1489000.0,1449000.0,0.0,
Non Current Deferred Taxes Assets,1489000.0,1449000.0,0.0,
Goodwill And Other Intangible Assets,12197000.0,81938000.0,90163000.0,99570000.0
Other Intangible Assets,4626000.0,74599000.0,82382000.0,91157000.0
Goodwill,7571000.0,7339000.0,7781000.0,8413000.0
Net PPE,74965000.0,78975000.0,68559000.0,73232000.0
Accumulated Depreciation,-47669000.0,-46183000.0,-39583000.0,-34687000.0
Gross PPE,122634000.0,125158000.0,108142000.0,107919000.0
Leases,34975000.0,34916000.0,34614000.0,34056000.0
Construction In Progress,4730000.0,5021000.0,1378000.0,432000.0
Other Properties,81045000.0,82808000.0,69761000.0,70935000.0
Machinery Furniture Equipment,1884000.0,2413000.0,2389000.0,2496000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,163309000.0,169547000.0,168528000.0,177383000.0
Other Current Assets,8095000.0,8828000.0,,
Prepaid Assets,,8828000.0,8289000.0,8754000.0
Inventory,46386000.0,39765000.0,36010000.0,46209000.0
Other Inventories,,-16724000.0,-19044000.0,-14801000.0
Finished Goods,,25306000.0,26731000.0,33347000.0
Work In Process,,10648000.0,11442000.0,12811000.0
Raw Materials,,20535000.0,16881000.0,14852000.0
Receivables,35961000.0,34627000.0,29843000.0,24102000.0
Accounts Receivable,35961000.0,34627000.0,29843000.0,24102000.0
Allowance For Doubtful Accounts Receivable,-1619000.0,-1608000.0,-1442000.0,-1523000.0
Gross Accounts Receivable,37580000.0,36235000.0,31285000.0,25625000.0
Cash Cash Equivalents And Short Term Investments,72867000.0,86327000.0,94386000.0,98318000.0
Other Short Term Investments,,,,2501000.0
Cash And Cash Equivalents,72867000.0,86327000.0,94386000.0,95817000.0
Cash Equivalents,,,,74522000.0
Cash Financial,,,,21295000.0
