,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,263943.0,149031.0,82662.0,75518.0
Ordinary Shares Number,20466953.0,17494466.0,16829739.0,12354398.0
Share Issued,20730896.0,17643497.0,16912401.0,12429916.0
Net Debt,64548000.0,238291000.0,187070000.0,177822000.0
Total Debt,285669000.0,286519000.0,287370000.0,185686000.0
Tangible Book Value,195519000.0,33834000.0,11880000.0,3609000.0
Invested Capital,718418000.0,600209000.0,621260000.0,381386000.0
Working Capital,374339000.0,244822000.0,234238000.0,91756000.0
Net Tangible Assets,220369000.0,58684000.0,36730000.0,3609000.0
Common Stock Equity,432749000.0,313690000.0,333890000.0,195700000.0
Preferred Stock Equity,24850000.0,24850000.0,24850000.0,
Total Capitalization,742418000.0,624209000.0,645260000.0,368143000.0
Total Equity Gross Minority Interest,457599000.0,338540000.0,358740000.0,195700000.0
Stockholders Equity,457599000.0,338540000.0,358740000.0,195700000.0
Gains Losses Not Affecting Retained Earnings,8857000.0,12168000.0,-3055000.0,-11437000.0
Other Equity Adjustments,8857000.0,12168000.0,-3055000.0,-11437000.0
Treasury Stock,10081000.0,5094000.0,3135000.0,2246000.0
Retained Earnings,-80132000.0,-97286000.0,-47765000.0,-4972000.0
Additional Paid In Capital,514103000.0,403901000.0,387844000.0,214354000.0
Capital Stock,24852000.0,24851000.0,24851000.0,1000.0
Common Stock,2000.0,1000.0,1000.0,1000.0
Preferred Stock,24850000.0,24850000.0,24850000.0,0.0
Total Liabilities Net Minority Interest,446823000.0,421547000.0,412858000.0,265490000.0
Total Non Current Liabilities Net Minority Interest,301346000.0,322108000.0,325321000.0,186925000.0
Other Non Current Liabilities,16527000.0,36439000.0,38801000.0,
Derivative Product Liabilities,,,7801000.0,14482000.0
Long Term Debt And Capital Lease Obligation,284819000.0,285669000.0,286520000.0,172443000.0
Long Term Debt,284819000.0,285669000.0,286520000.0,172443000.0
Current Liabilities,145477000.0,99439000.0,87537000.0,78565000.0
Other Current Liabilities,12266000.0,,,
Current Deferred Liabilities,,,87000.0,80000.0
Current Deferred Revenue,,,87000.0,80000.0
Current Debt And Capital Lease Obligation,850000.0,850000.0,850000.0,13243000.0
Current Debt,850000.0,850000.0,850000.0,13243000.0
Other Current Borrowings,850000.0,850000.0,850000.0,13243000.0
Pensionand Other Post Retirement Benefit Plans Current,23786000.0,10312000.0,8522000.0,6231000.0
Current Provisions,29678000.0,33399000.0,35831000.0,27155000.0
Payables And Accrued Expenses,78897000.0,54878000.0,42334000.0,31856000.0
Current Accrued Expenses,34050000.0,25573000.0,19367000.0,16689000.0
Payables,44847000.0,29305000.0,22967000.0,15167000.0
Total Tax Payable,8164000.0,0.0,,3906000.0
Income Tax Payable,8164000.0,0.0,,3906000.0
Accounts Payable,36683000.0,29305000.0,22967000.0,11261000.0
Total Assets,904422000.0,760087000.0,771598000.0,461190000.0
Total Non Current Assets,384606000.0,415826000.0,449823000.0,290869000.0
Other Non Current Assets,,11361000.0,7206000.0,5805000.0
Non Current Deferred Assets,90711000.0,81363000.0,67936000.0,51704000.0
Non Current Deferred Taxes Assets,90711000.0,81363000.0,67936000.0,51704000.0
Financial Assets,12072000.0,11361000.0,,
Goodwill And Other Intangible Assets,237230000.0,279856000.0,322010000.0,192091000.0
Other Intangible Assets,209009000.0,251635000.0,294122000.0,188511000.0
Goodwill,28221000.0,28221000.0,27888000.0,3580000.0
Net PPE,44593000.0,43246000.0,52671000.0,41269000.0
Accumulated Depreciation,-32935000.0,-32712000.0,-22956000.0,-17527000.0
Gross PPE,77528000.0,75958000.0,75627000.0,58796000.0
Construction In Progress,7692000.0,4604000.0,2941000.0,3385000.0
Machinery Furniture Equipment,50412000.0,53146000.0,46769000.0,39111000.0
Buildings And Improvements,17875000.0,16659000.0,19970000.0,11633000.0
Land And Improvements,1549000.0,1549000.0,5947000.0,4667000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,519816000.0,344261000.0,321775000.0,170321000.0
Other Current Assets,17400000.0,8387000.0,7589000.0,5861000.0
Assets Held For Sale Current,8020000.0,8020000.0,0.0,
Restricted Cash,0.0,5006000.0,0.0,
Prepaid Assets,0.0,3827000.0,3667000.0,0.0
Inventory,111196000.0,105355000.0,81693000.0,60803000.0
Inventories Adjustments Allowances,,-10278000.0,-7753000.0,-5231000.0
Other Inventories,9617000.0,7720000.0,5475000.0,3194000.0
Finished Goods,36198000.0,28020000.0,31969000.0,20363000.0
Work In Process,3144000.0,1889000.0,652000.0,886000.0
Raw Materials,62237000.0,67726000.0,51350000.0,41591000.0
Receivables,162079000.0,165438000.0,128526000.0,95793000.0
Accounts Receivable,162079000.0,165438000.0,128526000.0,95793000.0
Allowance For Doubtful Accounts Receivable,-97262000.0,-161052000.0,-105260000.0,-100328000.0
Gross Accounts Receivable,259341000.0,326490000.0,233786000.0,196121000.0
Cash Cash Equivalents And Short Term Investments,221121000.0,48228000.0,100300000.0,7864000.0
Cash And Cash Equivalents,221121000.0,48228000.0,100300000.0,7864000.0
