,2023-12-31,2022-12-31
Free Cash Flow,-14674244.0,-13237577.0
Issuance Of Capital Stock,21004132.0,10649400.0
Capital Expenditure,-8924941.0,-9072390.0
End Cash Position,6759265.0,293679.0
Beginning Cash Position,293679.0,3541908.0
Effect Of Exchange Rate Changes,135698.0,-660052.0
Changes In Cash,6329888.0,-2588177.0
Financing Cash Flow,21004132.0,10649400.0
Cash Flow From Continuing Financing Activities,21004132.0,10649400.0
Net Preferred Stock Issuance,21004132.0,10649400.0
Preferred Stock Issuance,21004132.0,10649400.0
Investing Cash Flow,-8924941.0,-9072390.0
Cash Flow From Continuing Investing Activities,-8924941.0,-9072390.0
Net PPE Purchase And Sale,-8924941.0,-9072390.0
Purchase Of PPE,-8924941.0,-9072390.0
Operating Cash Flow,-5749303.0,-4165187.0
Cash Flow From Continuing Operating Activities,-5749303.0,-4165187.0
Change In Working Capital,-43898.0,-2095145.0
Change In Payables And Accrued Expense,1403951.0,22725.0
Change In Payable,1403951.0,22725.0
Change In Account Payable,878675.0,22725.0
Change In Prepaid Assets,-29618.0,0.0
Change In Receivables,-1418231.0,-2117870.0
Other Non Cash Items,999758.0,347019.0
Asset Impairment Charge,30786.0,0.0
Depreciation Amortization Depletion,0.0,2133.0
Depreciation And Amortization,0.0,2133.0
Depreciation,0.0,2133.0
Operating Gains Losses,-708869.0,863776.0
Gain Loss On Investment Securities,-708869.0,863776.0
Net Income From Continuing Operations,-6027080.0,-3282970.0
