,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-33918000.0,-21126000.0,-9942000.0
Issuance Of Debt,0.0,9825000.0,0.0
Issuance Of Capital Stock,70181000.0,34305000.0,31893000.0
Capital Expenditure,-470000.0,-732000.0,-680000.0
Interest Paid Supplemental Data,912000.0,0.0,
End Cash Position,82548000.0,48344000.0,25705000.0
Beginning Cash Position,48344000.0,25705000.0,4009000.0
Effect Of Exchange Rate Changes,-8000.0,-24000.0,-50000.0
Changes In Cash,34212000.0,22663000.0,21746000.0
Financing Cash Flow,68130000.0,43789000.0,31688000.0
Cash Flow From Continuing Financing Activities,68130000.0,43789000.0,31688000.0
Net Other Financing Charges,-2051000.0,-341000.0,-205000.0
Net Preferred Stock Issuance,70000000.0,34262000.0,31886000.0
Preferred Stock Issuance,70000000.0,34262000.0,31886000.0
Net Common Stock Issuance,181000.0,43000.0,7000.0
Common Stock Issuance,181000.0,43000.0,7000.0
Net Issuance Payments Of Debt,0.0,9825000.0,0.0
Net Long Term Debt Issuance,0.0,9825000.0,0.0
Long Term Debt Issuance,0.0,9825000.0,0.0
Investing Cash Flow,-470000.0,-732000.0,-680000.0
Cash Flow From Continuing Investing Activities,-470000.0,-732000.0,-680000.0
Capital Expenditure Reported,-470000.0,-732000.0,-680000.0
Operating Cash Flow,-33448000.0,-20394000.0,-9262000.0
Cash Flow From Continuing Operating Activities,-33448000.0,-20394000.0,-9262000.0
Change In Working Capital,-698000.0,4579000.0,-572000.0
Change In Payables And Accrued Expense,-989000.0,3480000.0,1097000.0
Change In Accrued Expense,-357000.0,2474000.0,639000.0
Change In Payable,-632000.0,1006000.0,458000.0
Change In Account Payable,-632000.0,1006000.0,458000.0
Change In Prepaid Assets,-34000.0,-59000.0,-384000.0
Change In Receivables,325000.0,1158000.0,-1285000.0
Changes In Account Receivables,325000.0,1158000.0,-1285000.0
Other Non Cash Items,676000.0,263000.0,18000.0
Stock Based Compensation,2891000.0,1763000.0,227000.0
Depreciation Amortization Depletion,373000.0,342000.0,145000.0
Depreciation And Amortization,373000.0,342000.0,145000.0
Operating Gains Losses,-385000.0,369000.0,107000.0
Gain Loss On Investment Securities,-525000.0,369000.0,107000.0
Net Income From Continuing Operations,-36305000.0,-27710000.0,-9187000.0
