,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-39967304.0,-17312934.0,-9132159.0,-3970823.0
Issuance Of Debt,,,,0.0
Issuance Of Capital Stock,16885946.0,0.0,46648413.0,12034406.0
End Cash Position,5754720.0,28377693.0,45686014.0,8074658.0
Beginning Cash Position,28377693.0,45686014.0,8074658.0,1858.0
Changes In Cash,-22622973.0,-17308321.0,37611356.0,8072800.0
Financing Cash Flow,17344331.0,4613.0,46743515.0,12043623.0
Cash Flow From Continuing Financing Activities,17344331.0,4613.0,46743515.0,12043623.0
Proceeds From Stock Option Exercised,458385.0,4613.0,95102.0,9217.0
Net Common Stock Issuance,16885946.0,0.0,46648413.0,12034406.0
Common Stock Issuance,16885946.0,0.0,46648413.0,12034406.0
Net Issuance Payments Of Debt,,,,0.0
Net Long Term Debt Issuance,,,,0.0
Long Term Debt Issuance,,,,0.0
Operating Cash Flow,-39967304.0,-17312934.0,-9132159.0,-3970823.0
Cash Flow From Continuing Operating Activities,-39967304.0,-17312934.0,-9132159.0,-3970823.0
Change In Working Capital,-228597.0,-1136887.0,657346.0,-400714.0
Change In Payables And Accrued Expense,-3419429.0,6192025.0,928134.0,-1101692.0
Change In Accrued Expense,-751012.0,2918845.0,581916.0,-406032.0
Change In Payable,-2668417.0,3273180.0,346218.0,-695660.0
Change In Account Payable,-2668417.0,3273180.0,346218.0,-695660.0
Change In Prepaid Assets,3190832.0,-7328912.0,-270788.0,-34097.0
Change In Receivables,,,0.0,735075.0
Other Non Cash Items,,,,525.0
Stock Based Compensation,4628406.0,9152520.0,4697627.0,1864913.0
Operating Gains Losses,11837200.0,,,26500.0
Gain Loss On Investment Securities,11837200.0,,,26500.0
Net Income From Continuing Operations,-56204313.0,-25328567.0,-14487132.0,-5462047.0
