,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-35055000.0,7128000.0,39683583.635422,-728000.0
Tax Rate For Calcs,0.171,0.162,0.322631,0.182
Normalized EBITDA,4114000000.0,3782000000.0,2456000000.0,3217000000.0
Total Unusual Items,-205000000.0,44000000.0,123000000.0,-4000000.0
Total Unusual Items Excluding Goodwill,-205000000.0,44000000.0,123000000.0,-4000000.0
Net Income From Continuing Operation Net Minority Interest,2564000000.0,2589000000.0,1255000000.0,1969000000.0
Reconciled Depreciation,256000000.0,264000000.0,326000000.0,413000000.0
Reconciled Cost Of Revenue,6902000000.0,6477000000.0,6738000000.0,5905000000.0
EBITDA,3909000000.0,3826000000.0,2579000000.0,3213000000.0
EBIT,3653000000.0,3562000000.0,2253000000.0,2800000000.0
Net Interest Income,-453000000.0,-388000000.0,-311000000.0,-328000000.0
Interest Expense,484000000.0,406000000.0,322000000.0,334000000.0
Interest Income,31000000.0,18000000.0,11000000.0,6000000.0
Normalized Income,2733945000.0,2552128000.0,1171683583.635422,1972272000.0
Net Income From Continuing And Discontinued Operation,2564000000.0,2589000000.0,1255000000.0,1969000000.0
Total Expenses,9554000000.0,8989000000.0,10082000000.0,8272000000.0
Rent Expense Supplemental,294000000.0,289000000.0,327000000.0,291000000.0
Total Operating Income As Reported,3785000000.0,3669000000.0,2090000000.0,2781000000.0
Diluted Average Shares,205000000.0,213200000.0,226100000.0,233100000.0
Basic Average Shares,203500000.0,211700000.0,224700000.0,231900000.0
Diluted EPS,12.51,12.14,5.55,8.45
Basic EPS,12.6,12.23,5.59,8.49
Diluted NI Availto Com Stockholders,2564000000.0,2589000000.0,1255000000.0,1969000000.0
Net Income Common Stockholders,2564000000.0,2589000000.0,1255000000.0,1969000000.0
Net Income,2564000000.0,2589000000.0,1255000000.0,1969000000.0
Minority Interests,-64000000.0,-57000000.0,-53000000.0,-49000000.0
Net Income Including Noncontrolling Interests,2628000000.0,2646000000.0,1308000000.0,2018000000.0
Net Income Discontinuous Operations,,,,1000000.0
Net Income Continuous Operations,2628000000.0,2646000000.0,1308000000.0,2018000000.0
Tax Provision,541000000.0,510000000.0,623000000.0,448000000.0
Pretax Income,3169000000.0,3156000000.0,1931000000.0,2466000000.0
Other Income Expense,-200000000.0,54000000.0,131000000.0,-1000000.0
Other Non Operating Income Expenses,,-179000000.0,21000000.0,13000000.0
Special Income Charges,-131000000.0,54000000.0,142000000.0,18000000.0
Gain On Sale Of Business,4000000.0,54000000.0,142000000.0,25000000.0
Other Special Charges,,,,7000000.0
Restructuring And Mergern Acquisition,135000000.0,0.0,0.0,
Earnings From Equity Interest,5000000.0,10000000.0,8000000.0,4000000.0
Gain On Sale Of Security,-74000000.0,-10000000.0,-19000000.0,-22000000.0
Net Non Operating Interest Income Expense,-453000000.0,-388000000.0,-311000000.0,-328000000.0
Interest Expense Non Operating,484000000.0,406000000.0,322000000.0,334000000.0
Interest Income Non Operating,31000000.0,18000000.0,11000000.0,6000000.0
Operating Income,3822000000.0,3490000000.0,2111000000.0,2794000000.0
Operating Expense,2652000000.0,2512000000.0,3344000000.0,2367000000.0
Other Operating Expenses,534000000.0,509000000.0,477000000.0,444000000.0
Depreciation Amortization Depletion Income Statement,256000000.0,264000000.0,326000000.0,413000000.0
Depreciation And Amortization In Income Statement,256000000.0,264000000.0,326000000.0,413000000.0
Amortization,89000000.0,113000000.0,147000000.0,246000000.0
Amortization Of Intangibles Income Statement,89000000.0,113000000.0,147000000.0,246000000.0
Depreciation Income Statement,167000000.0,151000000.0,179000000.0,167000000.0
Selling General And Administration,1862000000.0,1739000000.0,2541000000.0,1510000000.0
General And Administrative Expense,1862000000.0,1739000000.0,2541000000.0,1510000000.0
Other Gand A,1470000000.0,1271000000.0,2235000000.0,1232000000.0
Rent And Landing Fees,294000000.0,289000000.0,327000000.0,291000000.0
Salaries And Wages,98000000.0,179000000.0,-21000000.0,-13000000.0
Gross Profit,6474000000.0,6002000000.0,5455000000.0,5161000000.0
Cost Of Revenue,6902000000.0,6477000000.0,6738000000.0,5905000000.0
Total Revenue,13376000000.0,12479000000.0,12193000000.0,11066000000.0
Operating Revenue,13388000000.0,12496000000.0,12212000000.0,11066000000.0
