,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,17604371.0,18892791.0,18709000.0,14809000.0
Share Issued,17604371.0,18892791.0,18709000.0,14809000.0
Net Debt,,,37894000.0,
Total Debt,204730000.0,208967000.0,243714000.0,8847000.0
Tangible Book Value,161153000.0,142709000.0,87044000.0,276641000.0
Invested Capital,346967000.0,403187000.0,576133000.0,306925000.0
Working Capital,143393000.0,115333000.0,118959000.0,196752000.0
Net Tangible Assets,200844000.0,182400000.0,87044000.0,276641000.0
Capital Lease Obligations,110048000.0,115816000.0,83193000.0,8847000.0
Common Stock Equity,252285000.0,310036000.0,415612000.0,306925000.0
Preferred Stock Equity,39691000.0,39691000.0,,
Total Capitalization,386658000.0,442878000.0,567383000.0,306925000.0
Total Equity Gross Minority Interest,291976000.0,349727000.0,415612000.0,306925000.0
Stockholders Equity,291976000.0,349727000.0,415612000.0,306925000.0
Gains Losses Not Affecting Retained Earnings,1644000.0,3102000.0,108000.0,0.0
Other Equity Adjustments,1644000.0,3102000.0,108000.0,
Retained Earnings,-49096000.0,13891000.0,128932000.0,111180000.0
Additional Paid In Capital,299561000.0,292854000.0,286385000.0,195597000.0
Capital Stock,39867000.0,39880000.0,187000.0,148000.0
Common Stock,176000.0,189000.0,187000.0,148000.0
Preferred Stock,39691000.0,39691000.0,0.0,0.0
Total Liabilities Net Minority Interest,265410000.0,265329000.0,309996000.0,64093000.0
Total Non Current Liabilities Net Minority Interest,191421000.0,194571000.0,226318000.0,9035000.0
Non Current Deferred Liabilities,,0.0,5059000.0,2580000.0
Non Current Deferred Taxes Liabilities,,0.0,5059000.0,2580000.0
Long Term Debt And Capital Lease Obligation,191421000.0,194571000.0,221259000.0,6455000.0
Long Term Capital Lease Obligation,96739000.0,101420000.0,69488000.0,6455000.0
Long Term Debt,94682000.0,93151000.0,151771000.0,
Current Liabilities,73989000.0,70758000.0,83678000.0,55058000.0
Current Deferred Liabilities,23830000.0,23760000.0,21776000.0,22104000.0
Current Deferred Revenue,23830000.0,23760000.0,21776000.0,22104000.0
Current Debt And Capital Lease Obligation,13309000.0,14396000.0,22455000.0,2392000.0
Current Capital Lease Obligation,13309000.0,14396000.0,13705000.0,2392000.0
Current Debt,,,8750000.0,
Other Current Borrowings,,,8750000.0,
Pensionand Other Post Retirement Benefit Plans Current,16711000.0,15010000.0,15131000.0,15660000.0
Payables And Accrued Expenses,20139000.0,17592000.0,24316000.0,14902000.0
Current Accrued Expenses,11476000.0,13784000.0,10819000.0,10967000.0
Payables,8663000.0,3808000.0,13497000.0,3935000.0
Total Tax Payable,,,0.0,178000.0
Income Tax Payable,,,0.0,178000.0
Accounts Payable,8663000.0,3808000.0,13497000.0,3757000.0
Total Assets,557386000.0,615056000.0,725608000.0,371018000.0
Total Non Current Assets,340004000.0,428965000.0,522971000.0,119208000.0
Other Non Current Assets,9986000.0,16521000.0,14043000.0,11747000.0
Non Current Deferred Assets,51360000.0,35355000.0,0.0,
Non Current Deferred Taxes Assets,51360000.0,35355000.0,0.0,
Investments And Advances,,,,10495000.0
Goodwill And Other Intangible Assets,91132000.0,167327000.0,328568000.0,30284000.0
Other Intangible Assets,31539000.0,54734000.0,85082000.0,3721000.0
Goodwill,59593000.0,112593000.0,243486000.0,26563000.0
Net PPE,187526000.0,209762000.0,180360000.0,77177000.0
Accumulated Depreciation,-135742000.0,-124808000.0,-118212000.0,-127564000.0
Gross PPE,323268000.0,334570000.0,298572000.0,204741000.0
Leases,42924000.0,37157000.0,30342000.0,1569000.0
Construction In Progress,84385000.0,85945000.0,90150000.0,102690000.0
Other Properties,100104000.0,109038000.0,78111000.0,8893000.0
Machinery Furniture Equipment,47478000.0,43043000.0,39081000.0,29261000.0
Buildings And Improvements,40109000.0,50589000.0,51936000.0,53309000.0
Land And Improvements,8268000.0,8798000.0,8952000.0,9019000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,217382000.0,186091000.0,202637000.0,251810000.0
Assets Held For Sale Current,8561000.0,0.0,,
Restricted Cash,27682000.0,26939000.0,27000000.0,1200000.0
Prepaid Assets,13032000.0,11409000.0,11681000.0,6472000.0
Receivables,51447000.0,45224000.0,41329000.0,17652000.0
Taxes Receivable,474000.0,2871000.0,5303000.0,0.0
Accounts Receivable,50973000.0,42353000.0,36026000.0,17652000.0
Allowance For Doubtful Accounts Receivable,-15359000.0,-13328000.0,-11396000.0,-5983000.0
Gross Accounts Receivable,66332000.0,55681000.0,47422000.0,23635000.0
Cash Cash Equivalents And Short Term Investments,116660000.0,102519000.0,122627000.0,226486000.0
Cash And Cash Equivalents,116660000.0,102519000.0,122627000.0,226486000.0
