,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,31619000.0,12826000.0,4437000.0,39884000.0
Repurchase Of Capital Stock,-10739000.0,-1538000.0,-3032000.0,-15705000.0
Repayment Of Debt,-114000.0,-73864000.0,-2188000.0,0.0
Issuance Of Debt,0.0,0.0,175000000.0,0.0
Issuance Of Capital Stock,0.0,39691000.0,86205000.0,0.0
Capital Expenditure,-13895000.0,-16389000.0,-11828000.0,-4926000.0
Interest Paid Supplemental Data,10603000.0,12496000.0,3676000.0,0.0
Income Tax Paid Supplemental Data,2417000.0,3996000.0,7464000.0,5898000.0
End Cash Position,144342000.0,129458000.0,149627000.0,227686000.0
Beginning Cash Position,129458000.0,149627000.0,227686000.0,202740000.0
Changes In Cash,14884000.0,-20169000.0,-78059000.0,24946000.0
Financing Cash Flow,-16858000.0,-35711000.0,242341000.0,-15705000.0
Cash Flow From Continuing Financing Activities,-16858000.0,-35711000.0,242341000.0,-15705000.0
Net Other Financing Charges,,,-13644000.0,
Cash Dividends Paid,-6005000.0,0.0,0.0,
Preferred Stock Dividend Paid,-6005000.0,0.0,0.0,
Net Preferred Stock Issuance,0.0,39691000.0,0.0,0.0
Preferred Stock Issuance,0.0,39691000.0,0.0,0.0
Net Common Stock Issuance,-10739000.0,-1538000.0,83173000.0,-15705000.0
Common Stock Payments,-10739000.0,-1538000.0,-3032000.0,-15705000.0
Common Stock Issuance,0.0,0.0,86205000.0,0.0
Net Issuance Payments Of Debt,-114000.0,-73864000.0,172812000.0,0.0
Net Long Term Debt Issuance,-114000.0,-73864000.0,172812000.0,0.0
Long Term Debt Payments,-114000.0,-73864000.0,-2188000.0,0.0
Long Term Debt Issuance,0.0,0.0,175000000.0,0.0
Investing Cash Flow,-13772000.0,-13673000.0,-336665000.0,-4159000.0
Cash Flow From Continuing Investing Activities,-13772000.0,-13673000.0,-336665000.0,-4159000.0
Net Business Purchase And Sale,0.0,1951000.0,-325509000.0,0.0
Sale Of Business,,1951000.0,,
Purchase Of Business,0.0,,-325509000.0,0.0
Net PPE Purchase And Sale,123000.0,765000.0,672000.0,767000.0
Sale Of PPE,123000.0,765000.0,672000.0,767000.0
Capital Expenditure Reported,-13895000.0,-16389000.0,-11828000.0,-4926000.0
Operating Cash Flow,45514000.0,29215000.0,16265000.0,44810000.0
Cash Flow From Continuing Operating Activities,45514000.0,29215000.0,16265000.0,44810000.0
Change In Working Capital,-597000.0,-4783000.0,-35516000.0,5858000.0
Change In Other Working Capital,7361000.0,3679000.0,-29342000.0,8504000.0
Change In Other Current Assets,-259000.0,519000.0,-1517000.0,-165000.0
Change In Payables And Accrued Expense,2544000.0,-7290000.0,3594000.0,3526000.0
Change In Accrued Expense,-2311000.0,2917000.0,-4432000.0,3612000.0
Change In Payable,4855000.0,-10207000.0,8026000.0,-86000.0
Change In Account Payable,4855000.0,-10207000.0,8026000.0,-86000.0
Change In Tax Payable,,,,178000.0
Change In Income Tax Payable,,,,178000.0
Change In Prepaid Assets,-1623000.0,354000.0,-614000.0,320000.0
Change In Receivables,-8620000.0,-2045000.0,-7637000.0,-6327000.0
Changes In Account Receivables,-8620000.0,-2045000.0,-7637000.0,-6327000.0
Other Non Cash Items,1631000.0,2668000.0,900000.0,24000.0
Stock Based Compensation,7740000.0,8009000.0,7654000.0,7075000.0
Asset Impairment Charge,64000000.0,146900000.0,0.0,0.0
Deferred Tax,-16005000.0,-41910000.0,5530000.0,-811000.0
Deferred Income Tax,-16005000.0,-41910000.0,5530000.0,-811000.0
Depreciation Amortization Depletion,27816000.0,32127000.0,17832000.0,12984000.0
Depreciation And Amortization,27816000.0,32127000.0,17832000.0,12984000.0
Operating Gains Losses,8215000.0,1197000.0,2113000.0,858000.0
Earnings Losses From Equity Investments,5236000.0,21000.0,831000.0,7000.0
Gain Loss On Sale Of PPE,554000.0,1176000.0,1282000.0,851000.0
Net Income From Continuing Operations,-47286000.0,-114993000.0,17752000.0,18822000.0
