,2024-05-31,2023-05-31,2022-05-31,2021-05-31,2020-05-31
Free Cash Flow,-128015000.0,-72543000.0,-55846000.0,-3385000.0,
Repayment Of Debt,-127181000.0,-13385000.0,-221000.0,0.0,
Issuance Of Debt,144554000.0,82150000.0,7324000.0,0.0,
Issuance Of Capital Stock,130849000.0,0.0,74500000.0,16500000.0,
Capital Expenditure,-141809000.0,-131278000.0,-54974000.0,-3302000.0,
Interest Paid Supplemental Data,17782000.0,1118000.0,112000.0,236000.0,
Income Tax Paid Supplemental Data,5000.0,0.0,0.0,0.0,
End Cash Position,31689000.0,43574000.0,46299000.0,11750000.0,
Beginning Cash Position,43574000.0,46299000.0,11750000.0,0.0,
Changes In Cash,-11885000.0,-2725000.0,34549000.0,11750000.0,
Financing Cash Flow,146757000.0,70628000.0,81292000.0,15135000.0,
Cash From Discontinued Financing Activities,,0.0,0.0,0.0,
Cash Flow From Continuing Financing Activities,146757000.0,70628000.0,81292000.0,15135000.0,
Net Other Financing Charges,-1465000.0,1863000.0,-311000.0,-1365000.0,
Net Preferred Stock Issuance,,0.0,34500000.0,16500000.0,0.0
Preferred Stock Issuance,,0.0,34500000.0,16500000.0,0.0
Net Common Stock Issuance,130849000.0,0.0,40000000.0,0.0,
Common Stock Issuance,130849000.0,0.0,40000000.0,0.0,
Net Issuance Payments Of Debt,17373000.0,68765000.0,7103000.0,0.0,
Net Long Term Debt Issuance,17373000.0,68765000.0,7103000.0,0.0,
Long Term Debt Payments,-127181000.0,-13385000.0,-221000.0,0.0,
Long Term Debt Issuance,144554000.0,82150000.0,7324000.0,0.0,
Investing Cash Flow,-172436000.0,-132088000.0,-45871000.0,-3302000.0,
Cash From Discontinued Investing Activities,,0.0,9103000.0,0.0,
Cash Flow From Continuing Investing Activities,-172436000.0,-132088000.0,-54974000.0,-3302000.0,
Net Other Investing Changes,-30237000.0,,,,
Net Investment Purchase And Sale,-390000.0,-810000.0,0.0,,
Sale Of Investment,0.0,0.0,,,
Purchase Of Investment,-390000.0,-810000.0,0.0,,
Net PPE Purchase And Sale,-141809000.0,-131278000.0,-54974000.0,-3302000.0,
Sale Of PPE,,,3277000.0,,
Purchase Of PPE,-141809000.0,-131278000.0,-54974000.0,-3302000.0,
Operating Cash Flow,13794000.0,58735000.0,-872000.0,-83000.0,
Cash From Discontinued Operating Activities,,0.0,-10147000.0,0.0,
Cash Flow From Continuing Operating Activities,13794000.0,58735000.0,9275000.0,-83000.0,
Change In Working Capital,6068000.0,64691000.0,16810000.0,248000.0,
Change In Other Working Capital,-56805000.0,44368000.0,3877000.0,,
Change In Other Current Assets,327000.0,364000.0,-1450000.0,,
Change In Payables And Accrued Expense,76443000.0,-6265000.0,6417000.0,248000.0,
Change In Accrued Expense,21601000.0,7485000.0,,,
Change In Payable,54842000.0,-13750000.0,6417000.0,,
Change In Account Payable,41840000.0,-13750000.0,6417000.0,,
Change In Prepaid Assets,-10132000.0,26079000.0,8193000.0,0.0,
Change In Receivables,-3765000.0,145000.0,-227000.0,0.0,
Changes In Account Receivables,-3765000.0,145000.0,-227000.0,0.0,
Other Non Cash Items,58168000.0,410000.0,18000.0,236000.0,
Stock Based Compensation,17362000.0,32072000.0,12337000.0,0.0,
Deferred Tax,0.0,-540000.0,540000.0,0.0,
Deferred Income Tax,0.0,-540000.0,540000.0,0.0,
Depreciation Amortization Depletion,79360000.0,7614000.0,1120000.0,1000.0,
Depreciation And Amortization,79360000.0,7614000.0,1120000.0,1000.0,
Depreciation,,,1120000.0,1000.0,
Operating Gains Losses,2507000.0,94000.0,936000.0,,
Net Income From Continuing Operations,-149671000.0,-45606000.0,-22486000.0,-568000.0,
