,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,241515532.0,228644861.0,228255642.0,223212346.0
Share Issued,241515532.0,228644861.0,228255642.0,223212346.0
Net Debt,1361207000.0,1362172000.0,1435476000.0,1477015000.0
Total Debt,1483386000.0,1478255000.0,1550534000.0,1702552000.0
Tangible Book Value,3323981000.0,3178395000.0,3147321000.0,3029347000.0
Invested Capital,4695475000.0,4544644000.0,4586079000.0,4511918000.0
Working Capital,-34593000.0,-29221000.0,-88671000.0,-141839000.0
Net Tangible Assets,3323981000.0,3178395000.0,3147321000.0,3029347000.0
Capital Lease Obligations,111892000.0,112006000.0,111776000.0,219981000.0
Common Stock Equity,3323981000.0,3178395000.0,3147321000.0,3029347000.0
Total Capitalization,4695475000.0,4544644000.0,4510079000.0,4406118000.0
Total Equity Gross Minority Interest,3323981000.0,3178395000.0,3147321000.0,3029347000.0
Stockholders Equity,3323981000.0,3178395000.0,3147321000.0,3029347000.0
Gains Losses Not Affecting Retained Earnings,20404000.0,36881000.0,-15508000.0,-42802000.0
Other Equity Adjustments,20404000.0,36881000.0,-15508000.0,-42802000.0
Retained Earnings,-1491227000.0,-1435508000.0,-1406523000.0,-1416270000.0
Capital Stock,4794804000.0,4577022000.0,4569352000.0,4488419000.0
Common Stock,4794804000.0,4577022000.0,4569352000.0,4488419000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,1613317000.0,1594319000.0,1643206000.0,1800412000.0
Total Non Current Liabilities Net Minority Interest,1483386000.0,1478255000.0,1474534000.0,1596752000.0
Long Term Debt And Capital Lease Obligation,1483386000.0,1478255000.0,1474534000.0,1596752000.0
Long Term Capital Lease Obligation,111892000.0,112006000.0,111776000.0,219981000.0
Long Term Debt,1371494000.0,1366249000.0,1362758000.0,1376771000.0
Current Liabilities,129931000.0,116064000.0,168672000.0,203660000.0
Current Debt And Capital Lease Obligation,,,76000000.0,105800000.0
Current Debt,,,76000000.0,105800000.0
Line Of Credit,0.0,0.0,76000000.0,105800000.0
Payables And Accrued Expenses,129931000.0,116064000.0,92672000.0,97860000.0
Payables,129931000.0,116064000.0,92672000.0,97860000.0
Accounts Payable,129931000.0,116064000.0,92672000.0,97860000.0
Total Assets,4937298000.0,4772714000.0,4790527000.0,4829759000.0
Total Non Current Assets,4841960000.0,4685871000.0,4710526000.0,4767938000.0
Other Non Current Assets,64586000.0,74909000.0,33341000.0,35042000.0
Investment Properties,4777374000.0,4610962000.0,4677185000.0,4732896000.0
Current Assets,95338000.0,86843000.0,80001000.0,61821000.0
Assets Held For Sale Current,15283000.0,0.0,0.0,5316000.0
Restricted Cash,33331000.0,39435000.0,36667000.0,28812000.0
Receivables,36437000.0,43331000.0,40052000.0,22137000.0
Other Receivables,36437000.0,43331000.0,40052000.0,22137000.0
Cash Cash Equivalents And Short Term Investments,10287000.0,4077000.0,3282000.0,5556000.0
Cash And Cash Equivalents,10287000.0,4077000.0,3282000.0,5556000.0
