,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-7608000.0,-82441000.0,-105203000.0,-94086000.0
Total Unusual Items,-56573000.0,-66000.0,,
Total Unusual Items Excluding Goodwill,-56573000.0,-66000.0,,
Net Income From Continuing Operation Net Minority Interest,-119763000.0,-82508000.0,-105584000.0,-93961000.0
Reconciled Depreciation,354000.0,443000.0,415000.0,380000.0
EBITDA,-64181000.0,-82507000.0,-105203000.0,-94086000.0
EBIT,-64535000.0,-82950000.0,-105618000.0,-94466000.0
Net Interest Income,1372000.0,685000.0,555000.0,559000.0
Interest Income,1372000.0,685000.0,,
Normalized Income,-63190000.0,-82442000.0,-105584000.0,-93961000.0
Net Income From Continuing And Discontinued Operation,-119763000.0,-82508000.0,-105584000.0,-93961000.0
Total Expenses,74528000.0,82950000.0,105618000.0,94466000.0
Total Operating Income As Reported,-64535000.0,-82950000.0,-105618000.0,-94466000.0
Diluted Average Shares,84244494.0,37825431.0,25598181.0,21966326.0
Basic Average Shares,84244494.0,37825431.0,25598181.0,21966326.0
Diluted EPS,-1.42,-2.18,-4.12,-4.28
Basic EPS,-1.42,-2.18,-4.12,-4.28
Diluted NI Availto Com Stockholders,-119763000.0,-82508000.0,-105584000.0,-93961000.0
Net Income Common Stockholders,-119763000.0,-82508000.0,-105584000.0,-93961000.0
Net Income,-119763000.0,-82508000.0,-105584000.0,-93961000.0
Net Income Including Noncontrolling Interests,-119763000.0,-82508000.0,-105584000.0,-93961000.0
Net Income Continuous Operations,-119763000.0,-82508000.0,-105584000.0,-93961000.0
Pretax Income,-119763000.0,-82508000.0,-105584000.0,-93961000.0
Other Income Expense,-56600000.0,-243000.0,-521000.0,-54000.0
Other Non Operating Income Expenses,-27000.0,-177000.0,-521000.0,-54000.0
Gain On Sale Of Security,-56573000.0,-66000.0,,
Net Non Operating Interest Income Expense,1372000.0,685000.0,555000.0,559000.0
Total Other Finance Cost,,-685000.0,-555000.0,-559000.0
Interest Income Non Operating,1372000.0,685000.0,,
Operating Income,-64535000.0,-82950000.0,-105618000.0,-94466000.0
Operating Expense,74528000.0,82950000.0,105618000.0,94466000.0
Research And Development,53905000.0,55634000.0,62570000.0,61788000.0
Selling General And Administration,20623000.0,27316000.0,43048000.0,32678000.0
General And Administrative Expense,20623000.0,27316000.0,43048000.0,32678000.0
Other Gand A,10280000.0,12554000.0,23614000.0,17817000.0
Insurance And Claims,2274000.0,3682000.0,4399000.0,3764000.0
Salaries And Wages,8069000.0,11080000.0,15035000.0,11097000.0
Total Revenue,9993000.0,0.0,0.0,0.0
Operating Revenue,9993000.0,0.0,0.0,0.0
