,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,5181697.0,3570729.0,3564016.0,3402207.0
Share Issued,5181697.0,3570729.0,3564016.0,3402207.0
Net Debt,1053149.0,4630689.0,,
Total Debt,3283217.0,6854566.0,217167.0,2692325.0
Tangible Book Value,24698889.0,14959389.0,22727089.0,40869294.0
Invested Capital,27904736.0,22225328.0,23607345.0,43841436.0
Working Capital,377339.0,-5435480.0,8311032.0,29788121.0
Net Tangible Assets,24698889.0,14959389.0,22727089.0,40869294.0
Capital Lease Obligations,224717.0,341332.0,217167.0,685040.0
Common Stock Equity,24846236.0,15712094.0,23607345.0,41834151.0
Total Capitalization,27904736.0,16212094.0,23607345.0,43841436.0
Total Equity Gross Minority Interest,15383353.0,7833305.0,17506122.0,38152293.0
Minority Interest,-9462883.0,-7878789.0,-6101223.0,-3681858.0
Stockholders Equity,24846236.0,15712094.0,23607345.0,41834151.0
Gains Losses Not Affecting Retained Earnings,-10623.0,33807.0,-2019.0,53296.0
Other Equity Adjustments,-10623.0,33807.0,-2019.0,53296.0
Retained Earnings,-68161722.0,-65337075.0,-55537515.0,-30489126.0
Additional Paid In Capital,93018528.0,45308080.0,43506717.0,38247903.0
Capital Stock,53.0,35707282.0,35640162.0,34022078.0
Common Stock,53.0,35707282.0,35640162.0,34022078.0
Total Liabilities Net Minority Interest,5256738.0,13034066.0,4401121.0,6079023.0
Total Non Current Liabilities Net Minority Interest,3157985.0,530784.0,23853.0,2210329.0
Long Term Debt And Capital Lease Obligation,3157985.0,530784.0,23853.0,2210329.0
Long Term Capital Lease Obligation,99485.0,30784.0,23853.0,203044.0
Long Term Debt,3058500.0,500000.0,,2007285.0
Current Liabilities,2098753.0,12503282.0,4377268.0,3868694.0
Current Deferred Liabilities,,,,0.0
Current Debt And Capital Lease Obligation,125232.0,6323782.0,193314.0,481996.0
Current Capital Lease Obligation,125232.0,310548.0,193314.0,481996.0
Current Debt,,6013234.0,,
Other Current Borrowings,,3013234.0,,
Line Of Credit,0.0,3000000.0,0.0,
Payables And Accrued Expenses,1973521.0,6179500.0,4183954.0,3386698.0
Current Accrued Expenses,15913.0,119835.0,135646.0,87378.0
Payables,1957608.0,6059665.0,4048308.0,3299320.0
Other Payable,1878428.0,6046972.0,4036919.0,3153394.0
Dueto Related Parties Current,79180.0,12693.0,11389.0,145926.0
Total Assets,20640091.0,20867371.0,21907243.0,44231316.0
Total Non Current Assets,18163999.0,13799569.0,9218943.0,10574501.0
Non Current Prepaid Assets,71823.0,127303.0,149175.0,149175.0
Duefrom Related Parties Non Current,,,,0.0
Investments And Advances,16098846.0,9744958.0,4156907.0,4079707.0
Other Investments,,,,4079707.0
Goodwill And Other Intangible Assets,147347.0,752705.0,880256.0,964857.0
Other Intangible Assets,147347.0,752705.0,880256.0,964857.0
Net PPE,1845983.0,3174603.0,4032605.0,5380762.0
Accumulated Depreciation,-3687336.0,-4570455.0,-3478342.0,-2393266.0
Gross PPE,5533319.0,7745058.0,7510947.0,7774028.0
Leases,543975.0,543975.0,542514.0,542514.0
Construction In Progress,0.0,2544.0,2046219.0,2046219.0
Other Properties,4336764.0,6229072.0,4179064.0,4058538.0
Machinery Furniture Equipment,470523.0,622467.0,588711.0,579368.0
Buildings And Improvements,182057.0,347000.0,154439.0,547389.0
Properties,0.0,0.0,0.0,0.0
Current Assets,2476092.0,7067802.0,12688300.0,33656815.0
Other Current Assets,,,,1539.0
Hedging Assets Current,,,0.0,4289.0
Restricted Cash,0.0,3130335.0,130270.0,130125.0
Prepaid Assets,399796.0,539256.0,522273.0,1260491.0
Inventory,0.0,27722.0,35775.0,39133.0
Receivables,70945.0,1385463.0,3632150.0,341063.0
Other Receivables,22275.0,205404.0,147585.0,278842.0
Duefrom Related Parties Current,961.0,129677.0,47754.0,0.0
Loans Receivable,0.0,875956.0,3358089.0,0.0
Accounts Receivable,47709.0,174426.0,78722.0,62221.0
Cash Cash Equivalents And Short Term Investments,2005351.0,1985026.0,8367832.0,31880175.0
Other Short Term Investments,0.0,102481.0,236615.0,28384944.0
Cash And Cash Equivalents,2005351.0,1882545.0,8131217.0,3495231.0
Cash Financial,2005351.0,1882545.0,8131217.0,3495231.0
