,2024-02-29,2023-02-28,2022-02-28,2021-02-28
Tax Effect Of Unusual Items,0.0,0.0,-10389330.0,-22211873.0
Tax Rate For Calcs,0.229,0.107,0.21,0.317
Normalized EBITDA,177510000.0,166684000.0,117102000.0,148528000.0
Total Unusual Items,0.0,0.0,-49473000.0,-70069000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,-49473000.0,-70069000.0
Net Income From Continuing Operation Net Minority Interest,99613000.0,104107000.0,3486000.0,15436000.0
Reconciled Depreciation,41588000.0,42403000.0,49993000.0,51440000.0
Reconciled Cost Of Revenue,1049814000.0,1105423000.0,1039816000.0,955084000.0
EBITDA,177510000.0,166684000.0,67629000.0,78459000.0
EBIT,135922000.0,124281000.0,17636000.0,27019000.0
Net Interest Income,-6669000.0,-7660000.0,-3767000.0,-4408000.0
Interest Expense,6669000.0,7660000.0,3767000.0,4408000.0
Normalized Income,99613000.0,104107000.0,42569670.0,63293127.0
Net Income From Continuing And Discontinued Operation,99613000.0,104107000.0,3486000.0,15436000.0
Total Expenses,1283109000.0,1314908000.0,1242459000.0,1135178000.0
Total Operating Income As Reported,133833000.0,125788000.0,22045000.0,25527000.0
Diluted Average Shares,22091000.0,22416000.0,25292000.0,26304000.0
Basic Average Shares,21871000.0,22007000.0,24920000.0,25955000.0
Diluted EPS,4.51,4.64,0.14,0.59
Basic EPS,4.55,4.73,0.14,0.59
Diluted NI Availto Com Stockholders,99613000.0,104107000.0,3486000.0,15436000.0
Net Income Common Stockholders,99613000.0,104107000.0,3486000.0,15436000.0
Net Income,99613000.0,104107000.0,3486000.0,15436000.0
Net Income Including Noncontrolling Interests,99613000.0,104107000.0,3486000.0,15436000.0
Net Income Continuous Operations,99613000.0,104107000.0,3486000.0,15436000.0
Tax Provision,29640000.0,12514000.0,10383000.0,7175000.0
Pretax Income,129253000.0,116621000.0,13869000.0,22611000.0
Other Income Expense,2089000.0,-1507000.0,-53882000.0,-68577000.0
Other Non Operating Income Expenses,2089000.0,-1507000.0,-4409000.0,1492000.0
Special Income Charges,0.0,0.0,-49473000.0,-70069000.0
Impairment Of Capital Assets,0.0,0.0,49473000.0,70069000.0
Net Non Operating Interest Income Expense,-6669000.0,-7660000.0,-3767000.0,-4408000.0
Interest Expense Non Operating,6669000.0,7660000.0,3767000.0,4408000.0
Operating Income,133833000.0,125788000.0,71518000.0,95596000.0
Operating Expense,233295000.0,209485000.0,202643000.0,180094000.0
Selling General And Administration,233295000.0,209485000.0,202643000.0,180094000.0
Gross Profit,367128000.0,335273000.0,274161000.0,275690000.0
Cost Of Revenue,1049814000.0,1105423000.0,1039816000.0,955084000.0
Total Revenue,1416942000.0,1440696000.0,1313977000.0,1230774000.0
Operating Revenue,1416942000.0,1440696000.0,1313977000.0,1230774000.0
