,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.21,0.27,
Normalized EBITDA,155464000.0,29951000.0,-38363000.0,20353000.0,
Net Income From Continuing Operation Net Minority Interest,204068000.0,2702000.0,-68119000.0,1028000.0,
Reconciled Depreciation,19820000.0,28632000.0,34007000.0,32231000.0,
Reconciled Cost Of Revenue,281792000.0,238432000.0,190938000.0,142558000.0,
EBITDA,155464000.0,29951000.0,-38363000.0,20353000.0,
EBIT,135644000.0,963000.0,-72370000.0,-11878000.0,
Net Interest Income,13981000.0,7031000.0,1184000.0,501000.0,
Interest Income,13981000.0,7031000.0,1184000.0,501000.0,
Normalized Income,204068000.0,2702000.0,-68119000.0,1028000.0,
Net Income From Continuing And Discontinued Operation,204068000.0,2702000.0,-68119000.0,1028000.0,
Total Expenses,658558000.0,619482000.0,544253000.0,371248000.0,
Total Operating Income As Reported,135644000.0,963000.0,-72370000.0,-11878000.0,
Diluted Average Shares,36782000.0,36417000.0,35010000.0,35701000.0,
Basic Average Shares,36252000.0,35629000.0,35010000.0,34578000.0,
Diluted EPS,5.55,0.07,-1.95,0.03,
Basic EPS,5.63,0.08,-1.95,0.03,
Diluted NI Availto Com Stockholders,204056000.0,2702000.0,-68119000.0,1028000.0,
Net Income Common Stockholders,204056000.0,2702000.0,-68119000.0,1028000.0,
Otherunder Preferred Stock Dividend,12000.0,0.0,0.0,,
Net Income,204068000.0,2702000.0,-68119000.0,1028000.0,
Net Income Including Noncontrolling Interests,204068000.0,2702000.0,-68119000.0,1028000.0,
Net Income Continuous Operations,204068000.0,2702000.0,-68119000.0,1028000.0,
Tax Provision,-53746000.0,5295000.0,1402000.0,706000.0,
Pretax Income,150322000.0,7997000.0,-66717000.0,1734000.0,
Other Income Expense,697000.0,3000.0,4469000.0,13111000.0,
Other Non Operating Income Expenses,697000.0,3000.0,4469000.0,13111000.0,
Net Non Operating Interest Income Expense,13981000.0,7031000.0,1184000.0,501000.0,
Total Other Finance Cost,,,-1184000.0,-501000.0,1849000.0
Interest Income Non Operating,13981000.0,7031000.0,1184000.0,501000.0,
Operating Income,135644000.0,963000.0,-72370000.0,-11878000.0,
Operating Expense,376491000.0,381406000.0,352427000.0,227304000.0,
Depreciation Amortization Depletion Income Statement,19545000.0,28988000.0,33119000.0,30845000.0,
Depreciation And Amortization In Income Statement,19545000.0,28988000.0,33119000.0,30845000.0,
Research And Development,160375000.0,151364000.0,111118000.0,65980000.0,
Selling General And Administration,196571000.0,201054000.0,208190000.0,130479000.0,
Selling And Marketing Expense,110597000.0,107602000.0,107398000.0,73200000.0,
General And Administrative Expense,85974000.0,93452000.0,100792000.0,57279000.0,
Other Gand A,85974000.0,93452000.0,100792000.0,57279000.0,
Gross Profit,512135000.0,382369000.0,280057000.0,215426000.0,
Cost Of Revenue,282067000.0,238076000.0,191826000.0,143944000.0,
Total Revenue,794202000.0,620445000.0,471883000.0,359370000.0,
Operating Revenue,785616000.0,610790000.0,460177000.0,346437000.0,
