,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,1057264000.0,412111000.0,360461000.0,219642000.0
Repurchase Of Capital Stock,-1153593000.0,-338880000.0,0.0,-1766000.0
Repayment Of Debt,-518164000.0,-49893000.0,-746736000.0,-74003000.0
Issuance Of Debt,395281000.0,0.0,2344000000.0,481273000.0
Issuance Of Capital Stock,0.0,0.0,1745228000.0,9318000.0
Capital Expenditure,-4246000.0,-662000.0,-1390000.0,-3241000.0
Interest Paid Supplemental Data,248828000.0,165959000.0,76695000.0,59360000.0
Income Tax Paid Supplemental Data,75433000.0,86264000.0,90616000.0,12666000.0
End Cash Position,502152000.0,1080484000.0,2570504000.0,317235000.0
Beginning Cash Position,1080484000.0,2570504000.0,317235000.0,396247000.0
Effect Of Exchange Rate Changes,778000.0,-4477000.0,-3198000.0,141000.0
Changes In Cash,-579110000.0,-1485543000.0,2256467000.0,-79153000.0
Financing Cash Flow,-1562791000.0,-526848000.0,3109546000.0,377855000.0
Cash Flow From Continuing Financing Activities,-1562791000.0,-526848000.0,3109546000.0,377855000.0
Net Other Financing Charges,-312103000.0,-169093000.0,-266979000.0,-39270000.0
Proceeds From Stock Option Exercised,25788000.0,31018000.0,34033000.0,2303000.0
Net Common Stock Issuance,-1153593000.0,-338880000.0,1745228000.0,7552000.0
Common Stock Payments,-1153593000.0,-338880000.0,0.0,-1766000.0
Common Stock Issuance,0.0,0.0,1745228000.0,9318000.0
Net Issuance Payments Of Debt,-122883000.0,-49893000.0,1597264000.0,407270000.0
Net Long Term Debt Issuance,-122883000.0,-49893000.0,1597264000.0,407270000.0
Long Term Debt Payments,-518164000.0,-49893000.0,-746736000.0,-74003000.0
Long Term Debt Issuance,395281000.0,0.0,2344000000.0,481273000.0
Investing Cash Flow,-77829000.0,-1371468000.0,-1214930000.0,-679891000.0
Cash Flow From Continuing Investing Activities,-77829000.0,-1371468000.0,-1214930000.0,-679891000.0
Net Other Investing Changes,8250000.0,41312000.0,12009000.0,
Net Investment Purchase And Sale,-17934000.0,-66342000.0,-15000000.0,-2000000.0
Purchase Of Investment,-17934000.0,-66342000.0,-15000000.0,-2000000.0
Net Business Purchase And Sale,-63899000.0,-1345776000.0,-1210549000.0,-674650000.0
Purchase Of Business,-63899000.0,-1345776000.0,-1210549000.0,-674650000.0
Net PPE Purchase And Sale,-4246000.0,-662000.0,-1390000.0,-3241000.0
Sale Of PPE,,37000000.0,0.0,0.0
Purchase Of PPE,-4246000.0,-662000.0,-1390000.0,-3241000.0
Capital Expenditure Reported,,-5949000.0,-4067000.0,0.0
Operating Cash Flow,1061510000.0,412773000.0,361851000.0,222883000.0
Cash Flow From Continuing Operating Activities,1061510000.0,412773000.0,361851000.0,222883000.0
Change In Working Capital,-208674000.0,-292439000.0,-284296000.0,-67036000.0
Change In Other Working Capital,13857000.0,-14711000.0,-13907000.0,35488000.0
Change In Other Current Liabilities,-18612000.0,-18898000.0,-26854000.0,-8812000.0
Change In Other Current Assets,-121688000.0,-77343000.0,-45938000.0,-19092000.0
Change In Payables And Accrued Expense,191328000.0,-2933000.0,101675000.0,51903000.0
Change In Accrued Expense,92754000.0,-6412000.0,3063000.0,2783000.0
Change In Payable,98574000.0,3479000.0,98612000.0,49120000.0
Change In Account Payable,98574000.0,3479000.0,98612000.0,49120000.0
Change In Prepaid Assets,-12280000.0,-3725000.0,-97324000.0,-13289000.0
Change In Receivables,-261279000.0,-174829000.0,-201948000.0,-113234000.0
Changes In Account Receivables,-261279000.0,-174829000.0,-201948000.0,-113234000.0
Other Non Cash Items,33405000.0,31571000.0,46569000.0,98515000.0
Stock Based Compensation,363107000.0,191612000.0,133177000.0,62387000.0
Unrealized Gain Loss On Investment Securities,,,-8841000.0,1500000.0
Asset Impairment Charge,27953000.0,127892000.0,0.0,0.0
Depreciation Amortization Depletion,489008000.0,547084000.0,431063000.0,254951000.0
Depreciation And Amortization,489008000.0,547084000.0,431063000.0,254951000.0
Amortization Cash Flow,489008000.0,547084000.0,431063000.0,254951000.0
Amortization Of Intangibles,489008000.0,547084000.0,431063000.0,254951000.0
Operating Gains Losses,,,16502000.0,-3583000.0
Gain Loss On Investment Securities,,,,-5680000.0
Net Foreign Currency Exchange Gain Loss,,,-1734000.0,2097000.0
Net Income From Continuing Operations,356711000.0,-192947000.0,35338000.0,-125934000.0
