,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-12270701.0,-25011136.0,-37686179.0,-41828381.0
Issuance Of Capital Stock,5788918.0,682973.0,1538645.0,0.0
Capital Expenditure,-93093.0,,,-25709.0
End Cash Position,21647537.0,28786647.0,53076052.0,89017686.0
Beginning Cash Position,28786647.0,53076052.0,89017686.0,130088869.0
Effect Of Exchange Rate Changes,-8399.0,38758.0,-2467.0,606249.0
Changes In Cash,-7130711.0,-24328163.0,-35939167.0,-41677432.0
Financing Cash Flow,5139990.0,682973.0,1747012.0,150949.0
Cash Flow From Continuing Financing Activities,5139990.0,682973.0,1747012.0,150949.0
Net Other Financing Charges,-648928.0,,,
Proceeds From Stock Option Exercised,0.0,0.0,208367.0,150949.0
Net Preferred Stock Issuance,,,0.0,0.0
Preferred Stock Issuance,,,0.0,0.0
Net Common Stock Issuance,5788918.0,682973.0,1538645.0,0.0
Common Stock Issuance,5788918.0,682973.0,1538645.0,0.0
Investing Cash Flow,-93093.0,0.0,0.0,-25709.0
Cash Flow From Continuing Investing Activities,-93093.0,0.0,0.0,-25709.0
Net PPE Purchase And Sale,-93093.0,0.0,0.0,-25709.0
Purchase Of PPE,-93093.0,0.0,0.0,-25709.0
Operating Cash Flow,-12177608.0,-25011136.0,-37686179.0,-41802672.0
Cash Flow From Continuing Operating Activities,-12177608.0,-25011136.0,-37686179.0,-41802672.0
Change In Working Capital,1618711.0,-1758579.0,-8326894.0,5573255.0
Change In Other Working Capital,528974.0,,,
Change In Other Current Liabilities,0.0,-186702.0,-268728.0,-209794.0
Change In Payables And Accrued Expense,637743.0,-3761963.0,-7948828.0,6255451.0
Change In Accrued Expense,-189720.0,-2903450.0,-5218241.0,3928684.0
Change In Payable,827463.0,-858513.0,-2730587.0,2326767.0
Change In Account Payable,827463.0,-858513.0,-2730587.0,2326767.0
Change In Prepaid Assets,451994.0,2190086.0,-109338.0,-472402.0
Other Non Cash Items,,72523293.0,,
Stock Based Compensation,444459.0,16981266.0,7813743.0,4983023.0
Depreciation Amortization Depletion,7052.0,186445.0,271677.0,229610.0
Depreciation And Amortization,7052.0,186445.0,271677.0,229610.0
Depreciation,7052.0,186445.0,271677.0,229610.0
Operating Gains Losses,38926.0,-281534.0,-317402.0,890252.0
Net Foreign Currency Exchange Gain Loss,38926.0,-281534.0,-317402.0,890252.0
Net Income From Continuing Operations,-14286756.0,-112662027.0,-37127303.0,-53478812.0
