,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,7666000.0,3785000.0,-3004000.0,17139000.0
Repurchase Of Capital Stock,-4002000.0,-3882000.0,-4408000.0,-2666000.0
Capital Expenditure,-792000.0,-492000.0,-2524000.0,-1135000.0
Income Tax Paid Supplemental Data,1524000.0,443000.0,1824000.0,4136000.0
End Cash Position,20378000.0,16290000.0,16307000.0,23292000.0
Beginning Cash Position,16290000.0,16307000.0,23292000.0,6548000.0
Changes In Cash,4088000.0,-17000.0,-6985000.0,16744000.0
Financing Cash Flow,-3578000.0,-3802000.0,-3981000.0,-668000.0
Cash Flow From Continuing Financing Activities,-3578000.0,-3802000.0,-3981000.0,-668000.0
Net Other Financing Charges,-40000.0,,,
Proceeds From Stock Option Exercised,464000.0,80000.0,427000.0,1998000.0
Net Common Stock Issuance,-4002000.0,-3882000.0,-4408000.0,-2666000.0
Common Stock Payments,-4002000.0,-3882000.0,-4408000.0,-2666000.0
Investing Cash Flow,-792000.0,-492000.0,-2524000.0,-862000.0
Cash Flow From Continuing Investing Activities,-792000.0,-492000.0,-2524000.0,-862000.0
Net Investment Purchase And Sale,,,0.0,273000.0
Sale Of Investment,,,0.0,273000.0
Net PPE Purchase And Sale,-792000.0,-492000.0,-2524000.0,-1135000.0
Purchase Of PPE,-792000.0,-492000.0,-2524000.0,-1135000.0
Operating Cash Flow,8458000.0,4277000.0,-480000.0,18274000.0
Cash Flow From Continuing Operating Activities,8428000.0,4277000.0,-480000.0,18274000.0
Change In Working Capital,3199000.0,-775000.0,-8912000.0,-8760000.0
Change In Other Working Capital,,,-209000.0,209000.0
Change In Other Current Liabilities,-785000.0,-926000.0,-886000.0,367000.0
Change In Payables And Accrued Expense,398000.0,-271000.0,-2998000.0,3355000.0
Change In Prepaid Assets,-1108000.0,2043000.0,-856000.0,-2500000.0
Change In Inventory,4266000.0,572000.0,-8220000.0,-5446000.0
Change In Receivables,428000.0,-2193000.0,4257000.0,-4745000.0
Changes In Account Receivables,428000.0,-2193000.0,4257000.0,-4745000.0
Other Non Cash Items,774000.0,923000.0,887000.0,-357000.0
Stock Based Compensation,170000.0,147000.0,315000.0,375000.0
Deferred Tax,-322000.0,-27000.0,228000.0,47000.0
Deferred Income Tax,-322000.0,-27000.0,228000.0,47000.0
Depreciation Amortization Depletion,925000.0,814000.0,817000.0,729000.0
Depreciation And Amortization,925000.0,814000.0,817000.0,729000.0
Operating Gains Losses,-477000.0,-87000.0,-571000.0,-648000.0
Earnings Losses From Equity Investments,-477000.0,-87000.0,-571000.0,-710000.0
Gain Loss On Investment Securities,,,,62000.0
Net Income From Continuing Operations,4189000.0,3282000.0,6756000.0,26888000.0
