,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1204848.33363,904299.49604,-1730970.0,250560.0
Tax Rate For Calcs,0.029483,0.283657,0.27,0.27
Normalized EBITDA,28610000.0,25210000.0,26892000.0,30461000.0
Total Unusual Items,-40866000.0,3188000.0,-6411000.0,928000.0
Total Unusual Items Excluding Goodwill,-40866000.0,3188000.0,-6411000.0,928000.0
Net Income From Continuing Operation Net Minority Interest,-39928000.0,3416000.0,-3861000.0,7970000.0
Reconciled Depreciation,17674000.0,17408000.0,17877000.0,18575000.0
Reconciled Cost Of Revenue,347781000.0,327996000.0,278805000.0,257513000.0
EBITDA,-12256000.0,28398000.0,20481000.0,31389000.0
EBIT,-29930000.0,10990000.0,2604000.0,12814000.0
Net Interest Income,-9347000.0,-5434000.0,-3599000.0,-4114000.0
Interest Expense,9347000.0,5434000.0,3599000.0,4114000.0
Normalized Income,-266848.33363,1132299.49604,819030.0,7292560.0
Net Income From Continuing And Discontinued Operation,-39928000.0,3416000.0,-3861000.0,7970000.0
Total Expenses,411319000.0,382379000.0,342680000.0,321630000.0
Total Operating Income As Reported,-34574000.0,2778000.0,-4782000.0,6446000.0
Diluted Average Shares,19617000.0,19444000.0,18953000.0,14636000.0
Basic Average Shares,19617000.0,19319000.0,18953000.0,14272000.0
Diluted EPS,-2.04,0.18,-0.2,0.54
Basic EPS,-2.04,0.18,-0.2,0.56
Diluted NI Availto Com Stockholders,-39928000.0,3416000.0,-3861000.0,7970000.0
Net Income Common Stockholders,-39928000.0,3416000.0,-3861000.0,7970000.0
Net Income,-39928000.0,3416000.0,-3861000.0,7970000.0
Minority Interests,-1809000.0,-564000.0,-561000.0,-1200000.0
Net Income Including Noncontrolling Interests,-38119000.0,3980000.0,-3300000.0,9170000.0
Net Income Discontinuous Operations,,,,0.0
Net Income Continuous Operations,-38119000.0,3980000.0,-3300000.0,9170000.0
Tax Provision,-1158000.0,1576000.0,2305000.0,-470000.0
Pretax Income,-39277000.0,5556000.0,-995000.0,8700000.0
Other Income Expense,-40951000.0,3180000.0,364000.0,5900000.0
Other Non Operating Income Expenses,-85000.0,-8000.0,6775000.0,4972000.0
Special Income Charges,-40575000.0,1520000.0,-7022000.0,-468000.0
Gain On Sale Of Ppe,121000.0,-706000.0,-361000.0,-185000.0
Other Special Charges,40696000.0,-2226000.0,6661000.0,283000.0
Impairment Of Capital Assets,,,,0.0
Gain On Sale Of Security,-291000.0,1668000.0,611000.0,1396000.0
Net Non Operating Interest Income Expense,-9347000.0,-5434000.0,-3599000.0,-4114000.0
Interest Expense Non Operating,9347000.0,5434000.0,3599000.0,4114000.0
Operating Income,11021000.0,7810000.0,2240000.0,6914000.0
Operating Expense,63538000.0,54383000.0,63875000.0,64117000.0
Depreciation Amortization Depletion Income Statement,17674000.0,17408000.0,17877000.0,18575000.0
Depreciation And Amortization In Income Statement,17674000.0,17408000.0,17877000.0,18575000.0
Selling General And Administration,45864000.0,36975000.0,45998000.0,45542000.0
General And Administrative Expense,45864000.0,36975000.0,,
Other Gand A,50884000.0,43527000.0,,
Salaries And Wages,-5020000.0,-6552000.0,,
Gross Profit,74559000.0,62193000.0,66115000.0,71031000.0
Cost Of Revenue,347781000.0,327996000.0,278805000.0,257513000.0
Total Revenue,422340000.0,390189000.0,344920000.0,328544000.0
Operating Revenue,422340000.0,390189000.0,344920000.0,328544000.0
