,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-44500.4,0.0,-16586.4,0.0
Tax Rate For Calcs,0.0322,0.0002,0.0012,0.0
Normalized EBITDA,2564000.0,-39580000.0,-31292000.0,-39318000.0
Total Unusual Items,-1382000.0,0.0,-13822000.0,0.0
Total Unusual Items Excluding Goodwill,-1382000.0,0.0,-13822000.0,0.0
Net Income From Continuing Operation Net Minority Interest,-7870000.0,-54410000.0,-70539000.0,-55783000.0
Reconciled Depreciation,1345000.0,2387000.0,2964000.0,3443000.0
Reconciled Cost Of Revenue,20831000.0,19386000.0,14989000.0,12964000.0
EBITDA,1182000.0,-39580000.0,-45114000.0,-39318000.0
EBIT,-163000.0,-41967000.0,-48078000.0,-42761000.0
Net Interest Income,8859000.0,-12344000.0,-22038000.0,-12890000.0
Interest Expense,7462000.0,12443000.0,22461000.0,13022000.0
Interest Income,16321000.0,99000.0,423000.0,132000.0
Normalized Income,-6532500.4,-54410000.0,-56733586.4,-55783000.0
Net Income From Continuing And Discontinued Operation,-7870000.0,-54410000.0,-70539000.0,-55783000.0
Total Expenses,65685000.0,89746000.0,85511000.0,88742000.0
Total Operating Income As Reported,-15102000.0,-42066000.0,-34679000.0,-42893000.0
Diluted Average Shares,61255864.0,48734377.0,38077660.0,33651127.0
Basic Average Shares,61255864.0,48734377.0,38077660.0,33651127.0
Diluted EPS,-0.13,-1.12,-1.85,-1.66
Basic EPS,-0.13,-1.12,-1.85,-1.66
Diluted NI Availto Com Stockholders,-7870000.0,-54410000.0,-70539000.0,-55783000.0
Net Income Common Stockholders,-7870000.0,-54410000.0,-70539000.0,-55783000.0
Net Income,-7870000.0,-54410000.0,-70539000.0,-55783000.0
Net Income Including Noncontrolling Interests,-7870000.0,-54410000.0,-70539000.0,-55783000.0
Net Income Continuous Operations,-7870000.0,-54410000.0,-70539000.0,-55783000.0
Tax Provision,245000.0,0.0,0.0,0.0
Pretax Income,-7625000.0,-54410000.0,-70539000.0,-55783000.0
Other Income Expense,-1382000.0,,-13822000.0,
Special Income Charges,-1382000.0,0.0,-13822000.0,0.0
Other Special Charges,1382000.0,,13822000.0,
Net Non Operating Interest Income Expense,8859000.0,-12344000.0,-22038000.0,-12890000.0
Interest Expense Non Operating,7462000.0,12443000.0,22461000.0,13022000.0
Interest Income Non Operating,16321000.0,99000.0,423000.0,132000.0
Operating Income,-15102000.0,-42066000.0,-34679000.0,-42893000.0
Operating Expense,44854000.0,70360000.0,70522000.0,75778000.0
Research And Development,13104000.0,17481000.0,17047000.0,19886000.0
Selling General And Administration,31750000.0,52879000.0,53475000.0,55892000.0
Gross Profit,29752000.0,28294000.0,35843000.0,32885000.0
Cost Of Revenue,20831000.0,19386000.0,14989000.0,12964000.0
Total Revenue,50583000.0,47680000.0,50832000.0,45849000.0
Operating Revenue,50583000.0,47680000.0,50832000.0,45849000.0
