,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.0,0.27,0.27
Net Income From Continuing Operation Net Minority Interest,56352000.0,-46105000.0,37135000.0,7377904.0
Net Interest Income,42709000.0,38211000.0,36751000.0,34536173.0
Interest Expense,7730000.0,5697000.0,2797000.0,2328285.0
Interest Income,50439000.0,43908000.0,39548000.0,36864458.0
Normalized Income,56352000.0,-46105000.0,37135000.0,7377904.0
Net Income From Continuing And Discontinued Operation,56352000.0,-46105000.0,37135000.0,7377904.0
Diluted Average Shares,,22937811.0,22922840.0,22357285.0
Basic Average Shares,,22937811.0,22922840.0,22357285.0
Diluted EPS,,-2.01,1.62,0.33
Basic EPS,,-2.01,1.62,0.33
Diluted NI Availto Com Stockholders,56352000.0,-46105000.0,37135000.0,7377904.0
Net Income Common Stockholders,56352000.0,-46105000.0,37135000.0,7377904.0
Net Income,56352000.0,-46105000.0,37135000.0,7377904.0
Net Income Including Noncontrolling Interests,56352000.0,-46105000.0,37135000.0,7377904.0
Net Income Continuous Operations,56352000.0,-46105000.0,37135000.0,7377904.0
Pretax Income,56352000.0,-46105000.0,37135000.0,7377904.0
Gain On Sale Of Security,-18181000.0,-19815000.0,5694000.0,-31135242.0
Operating Expense,3349000.0,2682000.0,2633000.0,2519085.0
Other Operating Expenses,524000.0,272000.0,592000.0,522328.0
Selling General And Administration,2825000.0,2410000.0,2041000.0,1996757.0
General And Administrative Expense,2825000.0,2410000.0,2041000.0,1996757.0
Total Revenue,59701000.0,-43423000.0,39768000.0,9896989.0
Operating Revenue,59701000.0,-43423000.0,39768000.0,9896989.0
