,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,84290000.0,-189466000.0,7906000.0
Repayment Of Debt,-138645000.0,-17287000.0,-1280024000.0
Issuance Of Debt,131619000.0,878000.0,1195575000.0
Capital Expenditure,-137408000.0,-151107000.0,-139003000.0
Interest Paid Supplemental Data,81610000.0,90847000.0,100217000.0
Income Tax Paid Supplemental Data,19433000.0,55818000.0,32161000.0
End Cash Position,437577000.0,456124000.0,718236000.0
Beginning Cash Position,456124000.0,718236000.0,991493000.0
Changes In Cash,-18547000.0,-262112000.0,-273257000.0
Financing Cash Flow,-102262000.0,-270331000.0,-283907000.0
Cash Flow From Continuing Financing Activities,-102262000.0,-270331000.0,-283907000.0
Net Other Financing Charges,-95236000.0,-79111000.0,-137332000.0
Cash Dividends Paid,0.0,-174811000.0,-62126000.0
Common Stock Dividend Paid,0.0,-174811000.0,-62126000.0
Net Issuance Payments Of Debt,-7026000.0,-16409000.0,-84449000.0
Net Short Term Debt Issuance,0.0,0.0,0.0
Short Term Debt Payments,-125000000.0,0.0,0.0
Short Term Debt Issuance,125000000.0,0.0,0.0
Net Long Term Debt Issuance,-7026000.0,-16409000.0,-84449000.0
Long Term Debt Payments,-13645000.0,-17287000.0,-1280024000.0
Long Term Debt Issuance,6619000.0,878000.0,1195575000.0
Investing Cash Flow,-137983000.0,46578000.0,-136259000.0
Cash Flow From Continuing Investing Activities,-137983000.0,46578000.0,-136259000.0
Net Other Investing Changes,-575000.0,-8686000.0,1470000.0
Net Investment Properties Purchase And Sale,0.0,0.0,3558000.0
Sale Of Investment Properties,0.0,0.0,3558000.0
Net Business Purchase And Sale,0.0,206371000.0,-2284000.0
Sale Of Business,0.0,206371000.0,645000.0
Purchase Of Business,0.0,0.0,-2929000.0
Net PPE Purchase And Sale,-137408000.0,-151107000.0,-139003000.0
Purchase Of PPE,-137408000.0,-151107000.0,-139003000.0
Operating Cash Flow,221698000.0,-38359000.0,146909000.0
Cash Flow From Continuing Operating Activities,221698000.0,-38359000.0,146909000.0
Change In Working Capital,-56311000.0,-9739000.0,-89551000.0
Change In Other Working Capital,,-1106000.0,-72888000.0
Change In Payables And Accrued Expense,159729000.0,-4468000.0,119934000.0
Change In Accrued Expense,22905000.0,-18891000.0,10581000.0
Change In Payable,136824000.0,14423000.0,109353000.0
Change In Account Payable,136824000.0,14423000.0,109353000.0
Change In Prepaid Assets,-36606000.0,8348000.0,-34401000.0
Change In Inventory,1665000.0,4671000.0,-5731000.0
Change In Receivables,-181099000.0,-17184000.0,-96465000.0
Changes In Account Receivables,-181099000.0,-17184000.0,-96465000.0
Other Non Cash Items,4943000.0,-471375000.0,-165259000.0
Stock Based Compensation,904000.0,611000.0,549000.0
Deferred Tax,3996000.0,46115000.0,-30646000.0
Deferred Income Tax,3996000.0,46115000.0,-30646000.0
Depreciation Amortization Depletion,140842000.0,138173000.0,137204000.0
Depreciation And Amortization,140842000.0,138173000.0,137204000.0
Operating Gains Losses,-1653000.0,-7515000.0,50036000.0
Earnings Losses From Equity Investments,-1653000.0,-7515000.0,-2906000.0
Net Income From Continuing Operations,128977000.0,265371000.0,244576000.0
