,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,9004920.0,677220.0,63894.0,36403.0
Share Issued,9004920.0,677220.0,63894.0,36403.0
Net Debt,2308779.0,245889.0,3885133.0,5532733.0
Total Debt,5403042.0,2579972.0,3902740.0,5593632.0
Tangible Book Value,4995622.0,7152944.0,-4170754.0,-5012437.0
Invested Capital,10452097.0,11955587.0,-268014.0,581195.0
Working Capital,3512846.0,5686066.0,-4171277.0,-4726654.0
Net Tangible Assets,4995822.0,7153119.0,-4170377.0,-5012437.0
Capital Lease Obligations,1946567.0,1977329.0,0.0,
Common Stock Equity,6995622.0,11352944.0,-4170754.0,-5012437.0
Preferred Stock Equity,200.0,175.0,377.0,
Total Capitalization,6995822.0,11353119.0,-4170377.0,-4714547.0
Total Equity Gross Minority Interest,6995822.0,11353119.0,-4170377.0,-5012437.0
Stockholders Equity,6995822.0,11353119.0,-4170377.0,-5012437.0
Retained Earnings,-45213594.0,-34112810.0,-26969657.0,-20870713.0
Additional Paid In Capital,52200211.0,45465077.0,22797306.0,15857366.0
Capital Stock,9205.0,852.0,1974.0,910.0
Common Stock,9005.0,677.0,1597.0,910.0
Preferred Stock,200.0,175.0,377.0,0.0
Total Liabilities Net Minority Interest,7652886.0,5207442.0,5138976.0,6133800.0
Total Non Current Liabilities Net Minority Interest,907486.0,984833.0,0.0,297890.0
Long Term Debt And Capital Lease Obligation,907486.0,984833.0,0.0,297890.0
Long Term Capital Lease Obligation,907486.0,984833.0,0.0,
Long Term Debt,,,,297890.0
Current Liabilities,6745400.0,4222609.0,5138976.0,5835910.0
Current Debt And Capital Lease Obligation,4495556.0,1595139.0,3902740.0,5295742.0
Current Capital Lease Obligation,1039081.0,992496.0,0.0,
Current Debt,3456475.0,602643.0,3902740.0,5295742.0
Other Current Borrowings,45332.0,,10373.0,607997.0
Line Of Credit,1456929.0,0.0,,
Current Notes Payable,1954214.0,602643.0,3892367.0,4687745.0
Payables And Accrued Expenses,2249844.0,2627470.0,1236236.0,540168.0
Current Accrued Expenses,271076.0,322393.0,203972.0,
Interest Payable,,103919.0,203972.0,
Payables,1978768.0,2305077.0,1032264.0,
Accounts Payable,1978768.0,2305077.0,1032264.0,
Total Assets,14648708.0,16560561.0,968599.0,1121363.0
Total Non Current Assets,4390462.0,6651886.0,900.0,12107.0
Non Current Prepaid Assets,,,,6841.0
Investments And Advances,,,0.0,0.0
Goodwill And Other Intangible Assets,2000000.0,4200000.0,0.0,
Net PPE,2390462.0,2451886.0,900.0,12107.0
Accumulated Depreciation,-428543.0,-359334.0,-309247.0,-304881.0
Gross PPE,2819005.0,2811220.0,310147.0,316988.0
Construction In Progress,83400.0,18032.0,0.0,6841.0
Other Properties,1946567.0,1977329.0,32261.0,32261.0
Machinery Furniture Equipment,789038.0,815859.0,310147.0,310147.0
Current Assets,10258246.0,9908675.0,967699.0,1109256.0
Prepaid Assets,506016.0,516736.0,163492.0,189804.0
Inventory,5787993.0,7421696.0,685854.0,681709.0
Finished Goods,5787993.0,7421696.0,685854.0,681709.0
Receivables,2816541.0,1613489.0,100746.0,176844.0
Accounts Receivable,2816541.0,1613489.0,100746.0,176844.0
Cash Cash Equivalents And Short Term Investments,1147696.0,356754.0,17607.0,60899.0
Cash And Cash Equivalents,1147696.0,356754.0,17607.0,60899.0
