,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,76247370.0,66777620.0,65084992.0,40522762.0
Share Issued,76247370.0,66777620.0,65084992.0,40522762.0
Net Debt,42290518.0,831497.0,3531452.0,20085856.0
Total Debt,57832100.0,23493415.0,15724437.0,30703351.0
Tangible Book Value,223844.0,284696.0,-2345408.0,-20005500.0
Invested Capital,45181000.0,11989625.0,12678746.0,10697851.0
Working Capital,16814931.0,-14665924.0,-1237263.0,-9718043.0
Net Tangible Assets,223844.0,284696.0,-2345408.0,-20005500.0
Capital Lease Obligations,12874944.0,11788486.0,700283.0,0.0
Common Stock Equity,223844.0,284696.0,-2345408.0,-20005500.0
Total Capitalization,44376344.0,284696.0,6823481.0,-373841.0
Total Equity Gross Minority Interest,223844.0,284696.0,-2345408.0,-20005500.0
Stockholders Equity,223844.0,284696.0,-2345408.0,-20005500.0
Retained Earnings,-178694329.0,-167239243.0,-165793571.0,-133289248.0
Additional Paid In Capital,178910546.0,167517259.0,163441655.0,113279452.0
Capital Stock,7627.0,6680.0,6508.0,4296.0
Common Stock,7627.0,6680.0,6508.0,4296.0
Preferred Stock,,,,0.0
Total Liabilities Net Minority Interest,91522320.0,55631653.0,45218110.0,58420895.0
Total Non Current Liabilities Net Minority Interest,73451758.0,28198276.0,28682904.0,37486963.0
Other Non Current Liabilities,21288799.0,20295634.0,18965538.0,17855304.0
Long Term Debt And Capital Lease Obligation,52162959.0,7902642.0,9717366.0,19631659.0
Long Term Capital Lease Obligation,8010459.0,7902642.0,548477.0,0.0
Long Term Debt,44152500.0,,9168889.0,19631659.0
Long Term Provisions,,,,15528135.0
Current Liabilities,18070562.0,27433377.0,16535206.0,20933932.0
Other Current Liabilities,200000.0,,,
Current Debt And Capital Lease Obligation,5669141.0,15590773.0,6007071.0,11071692.0
Current Capital Lease Obligation,4864485.0,3885844.0,151806.0,
Current Debt,804656.0,11704929.0,5855265.0,11071692.0
Other Current Borrowings,804656.0,11704929.0,5855265.0,10997692.0
Current Notes Payable,,,74000.0,74000.0
Current Provisions,,,,2327169.0
Payables And Accrued Expenses,12201421.0,11842604.0,10528135.0,9862240.0
Current Accrued Expenses,512558.0,106886.0,1325286.0,1043519.0
Interest Payable,512558.0,106886.0,1325286.0,1043519.0
Payables,11688863.0,11735718.0,9202849.0,8818721.0
Other Payable,2607942.0,2524243.0,1950567.0,3850781.0
Dueto Related Parties Current,2371697.0,4295232.0,4006716.0,679146.0
Accounts Payable,6709224.0,4916243.0,3245566.0,4288794.0
Total Assets,91746164.0,55916349.0,42872702.0,38415395.0
Total Non Current Assets,59290968.0,43148896.0,27574759.0,27199506.0
Other Non Current Assets,6798029.0,2122263.0,1095411.0,583708.0
Non Current Note Receivables,99022.0,99022.0,350000.0,4117139.0
Investments And Advances,18780000.0,18780000.0,2500000.0,0.0
Long Term Equity Investment,18780000.0,18780000.0,2500000.0,0.0
Net PPE,33613917.0,22147611.0,23629348.0,22498659.0
Accumulated Depreciation,-6487347.0,-5199480.0,-15953575.0,-12726809.0
Gross PPE,40101264.0,27347091.0,39582923.0,35225468.0
Construction In Progress,7323609.0,0.0,108122.0,0.0
Other Properties,18276913.0,13033889.0,13615325.0,9365993.0
Machinery Furniture Equipment,,0.0,11591274.0,11591273.0
Land And Improvements,1617435.0,1617435.0,1572435.0,1572435.0
Current Assets,34885493.0,12767453.0,15297943.0,11215889.0
Other Current Assets,1867651.0,786576.0,,
Restricted Cash,30297204.0,0.0,,
Prepaid Assets,,786576.0,629605.0,175000.0
Inventory,54000.0,446690.0,0.0,150504.0
Receivables,0.0,660755.0,3175636.0,272890.0
Other Receivables,,,,234240.0
Accounts Receivable,0.0,660755.0,3175636.0,38650.0
Cash Cash Equivalents And Short Term Investments,2666638.0,10873432.0,11492702.0,10617495.0
Cash And Cash Equivalents,2666638.0,10873432.0,11492702.0,10617495.0
Cash Financial,2666638.0,10873432.0,11492702.0,10617495.0
