,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Preferred Shares Number,,,,12400000.0
Ordinary Shares Number,190559818.0,177381947.0,171841216.0,147182562.0
Share Issued,190559818.0,177381947.0,171841216.0,147182562.0
Net Debt,13938593000.0,12028992000.0,10896295000.0,9660794000.0
Total Debt,15755950000.0,13334236000.0,12494216000.0,10903219000.0
Tangible Book Value,-289072000.0,-618637000.0,-385563000.0,301789000.0
Invested Capital,17329777000.0,14732859000.0,14114368000.0,11617907000.0
Working Capital,-1020222000.0,-1222078000.0,-1467281000.0,-6146000.0
Net Tangible Assets,-289072000.0,-618637000.0,-385563000.0,600550000.0
Capital Lease Obligations,319572000.0,190616000.0,205075000.0,180236000.0
Common Stock Equity,1893399000.0,1589239000.0,1825227000.0,894924000.0
Preferred Stock Equity,,,,298761000.0
Total Capitalization,17204536000.0,14564813000.0,13986597000.0,11794759000.0
Total Equity Gross Minority Interest,4474313000.0,3798618000.0,3814426000.0,2471774000.0
Minority Interest,2580914000.0,2209379000.0,1989199000.0,1278089000.0
Stockholders Equity,1893399000.0,1589239000.0,1825227000.0,1193685000.0
Gains Losses Not Affecting Retained Earnings,-5630000.0,-14986000.0,-1855000.0,483000.0
Other Equity Adjustments,-5630000.0,-14986000.0,-1855000.0,483000.0
Retained Earnings,-495083000.0,-369475000.0,-89382000.0,-151824000.0
Additional Paid In Capital,2391036000.0,1970754000.0,1913559000.0,1043669000.0
Capital Stock,3076000.0,2946000.0,2905000.0,301357000.0
Common Stock,3076000.0,2946000.0,2905000.0,2596000.0
Preferred Stock,,,0.0,298761000.0
Total Liabilities Net Minority Interest,20256187000.0,18204221000.0,17790738000.0,12697218000.0
Total Non Current Liabilities Net Minority Interest,16465004000.0,14782731000.0,13772675000.0,11003603000.0
Preferred Securities Outside Stock Equity,547036000.0,1106411000.0,1096008000.0,100366000.0
Employee Benefits,287259000.0,510130000.0,310222000.0,121927000.0
Long Term Debt And Capital Lease Obligation,15630709000.0,13166190000.0,12366445000.0,10781310000.0
Long Term Capital Lease Obligation,319572000.0,190616000.0,205075000.0,180236000.0
Long Term Debt,15311137000.0,12975574000.0,12161370000.0,10601074000.0
Current Liabilities,3791183000.0,3421490000.0,4018063000.0,1693615000.0
Current Debt And Capital Lease Obligation,125241000.0,168046000.0,127771000.0,121909000.0
Current Debt,125241000.0,168046000.0,127771000.0,121909000.0
Line Of Credit,125241000.0,168046000.0,127771000.0,121909000.0
Payables And Accrued Expenses,3665942000.0,3253444000.0,3890292000.0,1571706000.0
Payables,3665942000.0,3253444000.0,3890292000.0,1571706000.0
Other Payable,2998727000.0,2596402000.0,3308808000.0,1309407000.0
Dueto Related Parties Current,243808000.0,256835000.0,198553000.0,100186000.0
Accounts Payable,423407000.0,400207000.0,382931000.0,162113000.0
Total Assets,24730500000.0,22002839000.0,21605164000.0,15168992000.0
Total Non Current Assets,21959539000.0,19803427000.0,19054382000.0,13481524000.0
Other Non Current Assets,157451000.0,111623000.0,64340000.0,42891000.0
Non Current Deferred Assets,21549000.0,68933000.0,39398000.0,70026000.0
Non Current Deferred Taxes Assets,21549000.0,68933000.0,39398000.0,70026000.0
Investments And Advances,19226519000.0,17179367000.0,16500942000.0,12559856000.0
Other Investments,19226519000.0,17179367000.0,16500942000.0,12559856000.0
Investmentin Financial Assets,,,1000285000.0,0.0
Available For Sale Securities,,,1000285000.0,
Goodwill And Other Intangible Assets,2182471000.0,2207876000.0,2210790000.0,593135000.0
Other Intangible Assets,1058495000.0,1208220000.0,1422818000.0,222088000.0
Goodwill,1123976000.0,999656000.0,787972000.0,371047000.0
Net PPE,371549000.0,235628000.0,238912000.0,215616000.0
Accumulated Depreciation,-115956000.0,-103889000.0,-88428000.0,-72155000.0
Gross PPE,487505000.0,339517000.0,327340000.0,287771000.0
Leases,134272000.0,84820000.0,74677000.0,57505000.0
Other Properties,249326000.0,155950000.0,167652000.0,154742000.0
Machinery Furniture Equipment,103907000.0,98747000.0,85011000.0,75524000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,2770961000.0,2199412000.0,2550782000.0,1687469000.0
Receivables,1273176000.0,1084784000.0,1157936000.0,625280000.0
Other Receivables,220896000.0,184371000.0,317482000.0,151638000.0
Duefrom Related Parties Current,910897000.0,774261000.0,677617000.0,423059000.0
Taxes Receivable,12627000.0,5249000.0,3080000.0,5089000.0
Accounts Receivable,128756000.0,120903000.0,159757000.0,45494000.0
Cash Cash Equivalents And Short Term Investments,1497785000.0,1114628000.0,1392846000.0,1062189000.0
Cash And Cash Equivalents,1497785000.0,1114628000.0,1392846000.0,1062189000.0
