,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,0.0,,,
Ordinary Shares Number,141358605.0,140595995.0,139894060.0,139295867.0
Share Issued,141358605.0,140595995.0,139894060.0,139295867.0
Net Debt,6729387000.0,6748237000.0,5666581000.0,4195267000.0
Total Debt,6954825000.0,6970267000.0,6009687000.0,4520765000.0
Tangible Book Value,2208665000.0,2354436000.0,2294558000.0,2270461000.0
Invested Capital,9163490000.0,9324703000.0,8304245000.0,6791226000.0
Net Tangible Assets,2208733000.0,2354504000.0,2294626000.0,2270529000.0
Common Stock Equity,2208665000.0,2354436000.0,2294558000.0,2270461000.0
Preferred Stock Equity,68000.0,68000.0,68000.0,68000.0
Total Capitalization,3611749000.0,4015469000.0,4144983000.0,3341629000.0
Total Equity Gross Minority Interest,2208733000.0,2354504000.0,2294626000.0,2270529000.0
Stockholders Equity,2208733000.0,2354504000.0,2294626000.0,2270529000.0
Retained Earnings,-520237000.0,-363877000.0,-427883000.0,-438724000.0
Additional Paid In Capital,2727488000.0,2716907000.0,2721042000.0,2707792000.0
Capital Stock,1482000.0,1474000.0,1467000.0,1461000.0
Common Stock,1414000.0,1406000.0,1399000.0,1393000.0
Preferred Stock,68000.0,68000.0,68000.0,68000.0
Total Liabilities Net Minority Interest,7087997000.0,7213848000.0,6122069000.0,4669491000.0
Derivative Product Liabilities,25820000.0,138620000.0,21420000.0,31241000.0
Long Term Debt And Capital Lease Obligation,1403016000.0,1660965000.0,1850357000.0,1071100000.0
Long Term Debt,1403016000.0,1660965000.0,1850357000.0,1071100000.0
Long Term Provisions,4017000.0,4347000.0,3106000.0,3365000.0
Current Debt And Capital Lease Obligation,5551809000.0,5309302000.0,4159330000.0,3449665000.0
Current Debt,5551809000.0,5309302000.0,4159330000.0,3449665000.0
Line Of Credit,5551809000.0,5309302000.0,4159330000.0,3449665000.0
Payables And Accrued Expenses,93972000.0,86874000.0,78772000.0,76345000.0
Payables,93972000.0,86874000.0,78772000.0,76345000.0
Dividends Payable,53407000.0,53203000.0,52833000.0,52768000.0
Accounts Payable,31012000.0,23943000.0,16166000.0,13979000.0
Total Assets,9296730000.0,9568352000.0,8416695000.0,6940020000.0
Receivables,72354000.0,65383000.0,41219000.0,40559000.0
Accounts Receivable,72354000.0,65383000.0,41219000.0,40559000.0
Cash And Cash Equivalents,225438000.0,222030000.0,343106000.0,325498000.0
Cash Cash Equivalents And Federal Funds Sold,225438000.0,222030000.0,343106000.0,325498000.0
