,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,451304000.0,515955000.0,309189000.0,279544000.0
Repurchase Of Capital Stock,-19432000.0,0.0,-1090000.0,0.0
Repayment Of Debt,-154425000.0,-43571000.0,-216039000.0,-324673000.0
Issuance Of Debt,75000000.0,27500000.0,55340000.0,130805000.0
Issuance Of Capital Stock,,,,0.0
Capital Expenditure,-379338000.0,-286394000.0,-122984000.0,-121101000.0
Interest Paid Supplemental Data,37126000.0,34844000.0,36402000.0,36402000.0
Income Tax Paid Supplemental Data,13615000.0,23794000.0,11000.0,12000.0
End Cash Position,59813000.0,296023000.0,122403000.0,55574000.0
Beginning Cash Position,296023000.0,122403000.0,55574000.0,36482000.0
Changes In Cash,-236210000.0,173620000.0,66829000.0,19092000.0
Financing Cash Flow,-507119000.0,-225391000.0,-222656000.0,-256429000.0
Cash Flow From Continuing Financing Activities,-507119000.0,-225391000.0,-222656000.0,-256429000.0
Net Other Financing Charges,-36432000.0,-12973000.0,-9799000.0,-10808000.0
Proceeds From Stock Option Exercised,-26683000.0,0.0,0.0,0.0
Cash Dividends Paid,-364579000.0,-196347000.0,-52158000.0,-51753000.0
Common Stock Dividend Paid,,-196347000.0,-52158000.0,-51753000.0
Net Preferred Stock Issuance,,,,0.0
Preferred Stock Issuance,,,,0.0
Net Common Stock Issuance,-19432000.0,0.0,-1090000.0,0.0
Common Stock Payments,-19432000.0,0.0,-1090000.0,0.0
Net Issuance Payments Of Debt,-79425000.0,-16071000.0,-160699000.0,-193868000.0
Net Short Term Debt Issuance,0.0,0.0,-87500000.0,-167500000.0
Short Term Debt Payments,0.0,0.0,-107840000.0,-237500000.0
Short Term Debt Issuance,0.0,0.0,20340000.0,70000000.0
Net Long Term Debt Issuance,-79425000.0,-16071000.0,-73199000.0,-26368000.0
Long Term Debt Payments,-154425000.0,-43571000.0,-108199000.0,-87173000.0
Long Term Debt Issuance,75000000.0,27500000.0,35000000.0,60805000.0
Investing Cash Flow,-559733000.0,-403338000.0,-142688000.0,-125124000.0
Cash Flow From Continuing Investing Activities,-559733000.0,-403338000.0,-142688000.0,-125124000.0
Net Other Investing Changes,-28344000.0,34293000.0,3537000.0,-7785000.0
Dividends Received Cfi,,,943000.0,988000.0
Net Investment Purchase And Sale,-49560000.0,-42000000.0,0.0,0.0
Sale Of Investment,,,0.0,0.0
Purchase Of Investment,-49560000.0,-42000000.0,0.0,0.0
Net Business Purchase And Sale,-106201000.0,-116705000.0,-30960000.0,0.0
Purchase Of Business,-106201000.0,-116705000.0,-30960000.0,0.0
Net PPE Purchase And Sale,3710000.0,7468000.0,7719000.0,3762000.0
Sale Of PPE,3710000.0,7468000.0,7719000.0,3762000.0
Purchase Of PPE,,0.0,-30960000.0,0.0
Capital Expenditure Reported,-379338000.0,-286394000.0,-122984000.0,-121101000.0
Operating Cash Flow,830642000.0,802349000.0,432173000.0,400645000.0
Cash Flow From Continuing Operating Activities,830642000.0,802349000.0,432173000.0,400645000.0
Dividend Received Cfo,2567000.0,5634000.0,2130000.0,907000.0
Change In Working Capital,-122761000.0,-110295000.0,-19426000.0,47790000.0
Change In Other Working Capital,-2037000.0,20045000.0,-5114000.0,-2428000.0
Change In Payables And Accrued Expense,6143000.0,22578000.0,20495000.0,-23047000.0
Change In Accrued Expense,-9739000.0,2818000.0,8281000.0,-8051000.0
Change In Payable,15882000.0,19760000.0,12214000.0,-14996000.0
Change In Account Payable,17842000.0,14580000.0,19481000.0,-24282000.0
Change In Tax Payable,-1960000.0,5180000.0,-7267000.0,9286000.0
Change In Income Tax Payable,-1960000.0,5180000.0,-7267000.0,9286000.0
Change In Prepaid Assets,-6576000.0,-15966000.0,-7312000.0,-10204000.0
Change In Inventory,-78004000.0,-20138000.0,-4673000.0,30522000.0
Change In Receivables,-42287000.0,-116814000.0,-22822000.0,52947000.0
Changes In Account Receivables,-41210000.0,-108893000.0,-25931000.0,56172000.0
Other Non Cash Items,44555000.0,5677000.0,3970000.0,13909000.0
Stock Based Compensation,12864000.0,11029000.0,5709000.0,3345000.0
Asset Impairment Charge,,0.0,0.0,157003000.0
Deferred Tax,-8973000.0,34775000.0,349000.0,112000.0
Deferred Income Tax,-8973000.0,34775000.0,349000.0,112000.0
Depreciation Amortization Depletion,267982000.0,276670000.0,264794000.0,313387000.0
Operating Gains Losses,-1762000.0,-9299000.0,-8722000.0,-6757000.0
Earnings Losses From Equity Investments,1468000.0,-5634000.0,-2130000.0,-907000.0
Gain Loss On Sale Of PPE,-3230000.0,-3665000.0,-6592000.0,-5850000.0
Net Income From Continuing Operations,636170000.0,588158000.0,183369000.0,-129051000.0
