,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Treasury Shares Number,2020053.0,2020053.0,2020053.0,2020053.0
Ordinary Shares Number,41304649.0,40626583.0,34363884.0,33186603.0
Share Issued,43324702.0,42646636.0,36383937.0,35206656.0
Net Debt,,78227000.0,89652000.0,152145634.0
Total Debt,93986000.0,184623000.0,372551000.0,409713125.0
Tangible Book Value,537401000.0,469399000.0,291954000.0,320334946.0
Invested Capital,583427000.0,598195000.0,437055000.0,530845910.0
Working Capital,92939000.0,104809000.0,35716000.0,39643457.0
Net Tangible Assets,574444000.0,506442000.0,328997000.0,320334946.0
Capital Lease Obligations,47960000.0,55827000.0,227450000.0,199202161.0
Common Stock Equity,537401000.0,469399000.0,291954000.0,320334946.0
Preferred Stock Equity,37043000.0,37043000.0,37043000.0,
Total Capitalization,614034000.0,622311000.0,458995000.0,508389514.0
Total Equity Gross Minority Interest,574444000.0,506442000.0,328997000.0,320334946.0
Stockholders Equity,574444000.0,506442000.0,328997000.0,320334946.0
Gains Losses Not Affecting Retained Earnings,0.0,1468000.0,1044000.0,-729135.0
Other Equity Adjustments,,1468000.0,1044000.0,-729135.0
Treasury Stock,15636000.0,15636000.0,15636000.0,15635765.0
Retained Earnings,81388000.0,15135000.0,-119920000.0,-81833204.0
Additional Paid In Capital,471216000.0,468006000.0,426102000.0,418180983.0
Capital Stock,37476000.0,37469000.0,37407000.0,352067.0
Common Stock,433000.0,426000.0,364000.0,352067.0
Preferred Stock,37043000.0,37043000.0,37043000.0,0.0
Total Liabilities Net Minority Interest,116507000.0,217417000.0,395535000.0,431672909.0
Total Non Current Liabilities Net Minority Interest,82668000.0,164488000.0,337034000.0,368772922.0
Other Non Current Liabilities,954000.0,1007000.0,943000.0,
Derivative Product Liabilities,,,0.0,433974.0
Long Term Debt And Capital Lease Obligation,81714000.0,163481000.0,336091000.0,368338948.0
Long Term Capital Lease Obligation,42124000.0,47612000.0,206093000.0,180284380.0
Long Term Debt,39590000.0,115869000.0,129998000.0,188054568.0
Current Liabilities,33839000.0,52929000.0,58501000.0,62899987.0
Other Current Liabilities,,,,397418.0
Current Deferred Liabilities,347000.0,1220000.0,2070000.0,0.0
Current Deferred Revenue,347000.0,1220000.0,2070000.0,0.0
Current Debt And Capital Lease Obligation,12272000.0,21142000.0,36460000.0,41374177.0
Current Capital Lease Obligation,5836000.0,8215000.0,21357000.0,18917781.0
Current Debt,6436000.0,12927000.0,15103000.0,22456396.0
Other Current Borrowings,6436000.0,12927000.0,15103000.0,22456396.0
Payables And Accrued Expenses,21220000.0,30567000.0,19971000.0,21128392.0
Current Accrued Expenses,19204000.0,21753000.0,11393000.0,12003071.0
Interest Payable,939000.0,863000.0,651000.0,769304.0
Payables,2016000.0,8814000.0,8578000.0,9125321.0
Accounts Payable,2016000.0,8814000.0,8578000.0,9125321.0
Total Assets,690951000.0,723859000.0,724532000.0,752007855.0
Total Non Current Assets,564173000.0,566121000.0,630315000.0,649464411.0
Non Current Prepaid Assets,,,2032894.0,2568874.0
Non Current Deferred Assets,14857000.0,7433000.0,8879000.0,10216090.0
Non Current Accounts Receivable,,,2880000.0,2880000.0
Financial Assets,,0.0,982000.0,0.0
Investments And Advances,11186000.0,11219000.0,11082000.0,
Long Term Equity Investment,11186000.0,11219000.0,11082000.0,
Net PPE,538130000.0,547469000.0,606492000.0,633799447.0
Accumulated Depreciation,-237500000.0,-210000000.0,-201700000.0,-171900000.0
Gross PPE,775630000.0,757469000.0,808192000.0,805699447.0
Construction In Progress,9587000.0,5530000.0,2033000.0,
Other Properties,,10561000.0,1232000.0,1662510.0
Machinery Furniture Equipment,,,12981579.0,2378632.0
Buildings And Improvements,1007000.0,993000.0,,
Current Assets,126778000.0,157738000.0,94217000.0,102543444.0
Other Current Assets,4348000.0,4521000.0,3511000.0,3683910.0
Hedging Assets Current,0.0,4927000.0,307000.0,0.0
Assets Held For Sale Current,,,0.0,9895000.0
Prepaid Assets,6833000.0,2160000.0,3551000.0,2516646.0
Inventory,12558000.0,15718000.0,11095000.0,10274062.0
Receivables,56234000.0,79843000.0,20304000.0,17808496.0
Accounts Receivable,56234000.0,79843000.0,20304000.0,17808496.0
Allowance For Doubtful Accounts Receivable,-1600000.0,-2200000.0,-800000.0,-500000.0
Gross Accounts Receivable,57834000.0,82043000.0,21104000.0,18308496.0
Cash Cash Equivalents And Short Term Investments,46805000.0,50569000.0,55449000.0,58365330.0
Cash And Cash Equivalents,46805000.0,50569000.0,55449000.0,58365330.0
