,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,25206605.0,25206605.0,8855000.0,8855000.0,
Share Issued,25206605.0,25206605.0,8855000.0,8855000.0,
Tangible Book Value,612616487.0,482923785.0,167645298.0,197185390.0,
Net Tangible Assets,612616487.0,482923785.0,167645298.0,197185390.0,
Common Stock Equity,612616487.0,482923785.0,167645298.0,197185390.0,
Total Equity Gross Minority Interest,612616487.0,482923785.0,167645298.0,197185390.0,
Stockholders Equity,612616487.0,482923785.0,167645298.0,197185390.0,
Retained Earnings,20296673.0,4850001.0,-6800643.0,20227095.0,
Additional Paid In Capital,592290870.0,478048577.0,174437086.0,176949440.0,
Capital Stock,28944.0,25207.0,8855.0,8855.0,
Common Stock,28944.0,25207.0,8855.0,8855.0,
Total Liabilities Net Minority Interest,4453987.0,4351898.0,2144239.0,451998.0,
Payables,1377957.0,2756225.0,1586267.0,299900.0,
Other Payable,820973.0,2756225.0,294744.0,299900.0,
Accounts Payable,556984.0,,1291523.0,,2169178.0
Total Assets,617070474.0,487275683.0,169789537.0,197637388.0,
Investments And Advances,615734867.0,485884516.0,168023290.0,197185809.0,
Investmentin Financial Assets,615734867.0,485884516.0,168023290.0,197185809.0,
Available For Sale Securities,14371773.0,1755228.0,265480.0,496510.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,601363094.0,484129288.0,167757810.0,196689299.0,
Prepaid Assets,15206.0,28993.0,16687.0,8531.0,
Receivables,437792.0,871361.0,1413031.0,223911.0,
Taxes Receivable,824552.0,490813.0,152178.0,126544.0,
Cash And Cash Equivalents,58057.0,,184351.0,92593.0,
Cash Financial,58057.0,,184351.0,92593.0,
Cash Cash Equivalents And Federal Funds Sold,58057.0,,184351.0,92593.0,
