,2024-09-30,2023-09-30,2022-09-30,2021-09-30,2020-09-30
Ordinary Shares Number,47000000.0,51000000.0,54000000.0,57000000.0,
Share Issued,47000000.0,51000000.0,54000000.0,57000000.0,
Net Debt,1049000000.0,913000000.0,624000000.0,1760000000.0,
Total Debt,1468000000.0,1458000000.0,1383000000.0,2103000000.0,
Tangible Book Value,730000000.0,843000000.0,939000000.0,216000000.0,
Invested Capital,4217000000.0,4427000000.0,4490000000.0,4722000000.0,
Working Capital,705000000.0,1050000000.0,1215000000.0,783000000.0,
Net Tangible Assets,730000000.0,843000000.0,939000000.0,216000000.0,
Capital Lease Obligations,119000000.0,128000000.0,113000000.0,133000000.0,
Common Stock Equity,2868000000.0,3097000000.0,3220000000.0,2752000000.0,
Total Capitalization,4217000000.0,4411000000.0,4490000000.0,4348000000.0,
Total Equity Gross Minority Interest,2868000000.0,3097000000.0,3220000000.0,2752000000.0,
Stockholders Equity,2868000000.0,3097000000.0,3220000000.0,2752000000.0,
Gains Losses Not Affecting Retained Earnings,-448000000.0,-503000000.0,-569000000.0,-372000000.0,
Other Equity Adjustments,-448000000.0,-503000000.0,,,
Retained Earnings,3315000000.0,3595000000.0,3653000000.0,2796000000.0,
Additional Paid In Capital,0.0,4000000.0,135000000.0,327000000.0,
Capital Stock,1000000.0,1000000.0,1000000.0,1000000.0,
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0,
Total Liabilities Net Minority Interest,2777000000.0,2842000000.0,2993000000.0,3860000000.0,
Total Non Current Liabilities Net Minority Interest,2287000000.0,2386000000.0,2440000000.0,2926000000.0,
Other Non Current Liabilities,25000000.0,22000000.0,16000000.0,21000000.0,
Liabilities Heldfor Sale Non Current,,,,0.0,10000000.0
Employee Benefits,110000000.0,100000000.0,103000000.0,144000000.0,
Tradeand Other Payables Non Current,69000000.0,79000000.0,127000000.0,145000000.0,
Non Current Deferred Liabilities,57000000.0,173000000.0,201000000.0,268000000.0,
Non Current Deferred Taxes Liabilities,29000000.0,148000000.0,176000000.0,237000000.0,
Long Term Debt And Capital Lease Obligation,1448000000.0,1420000000.0,1364000000.0,1706000000.0,
Long Term Capital Lease Obligation,99000000.0,106000000.0,94000000.0,110000000.0,
Long Term Debt,1349000000.0,1314000000.0,1270000000.0,1596000000.0,
Long Term Provisions,578000000.0,592000000.0,629000000.0,642000000.0,
Current Liabilities,490000000.0,456000000.0,553000000.0,934000000.0,
Other Current Liabilities,,,,50000000.0,28000000.0
Current Debt And Capital Lease Obligation,20000000.0,38000000.0,19000000.0,397000000.0,
Current Capital Lease Obligation,20000000.0,22000000.0,19000000.0,23000000.0,
Current Debt,,16000000.0,,374000000.0,280000000.0
Other Current Borrowings,,16000000.0,,374000000.0,280000000.0
Payables And Accrued Expenses,470000000.0,418000000.0,534000000.0,487000000.0,
Current Accrued Expenses,256000000.0,208000000.0,269000000.0,251000000.0,
Payables,214000000.0,210000000.0,265000000.0,236000000.0,
Accounts Payable,214000000.0,210000000.0,265000000.0,236000000.0,
Total Assets,5645000000.0,5939000000.0,6213000000.0,6612000000.0,
Total Non Current Assets,4450000000.0,4433000000.0,4445000000.0,4895000000.0,
Other Non Current Assets,422000000.0,407000000.0,433000000.0,498000000.0,
Defined Pension Benefit,18000000.0,17000000.0,21000000.0,28000000.0,
Non Current Deferred Assets,305000000.0,109000000.0,105000000.0,122000000.0,
Non Current Deferred Taxes Assets,210000000.0,22000000.0,20000000.0,30000000.0,
Non Current Accounts Receivable,147000000.0,148000000.0,157000000.0,156000000.0,
Investments And Advances,3000000.0,3000000.0,3000000.0,4000000.0,
Long Term Equity Investment,3000000.0,3000000.0,3000000.0,4000000.0,
Goodwill And Other Intangible Assets,2138000000.0,2254000000.0,2281000000.0,2536000000.0,
Other Intangible Assets,757000000.0,892000000.0,969000000.0,1106000000.0,
Goodwill,1381000000.0,1362000000.0,1312000000.0,1430000000.0,
Net PPE,1417000000.0,1495000000.0,1445000000.0,1551000000.0,
Accumulated Depreciation,-2013000000.0,-1838000000.0,-1712000000.0,-1639000000.0,
Gross PPE,3430000000.0,3333000000.0,3157000000.0,3190000000.0,
Construction In Progress,181000000.0,227000000.0,130000000.0,194000000.0,
Other Properties,114000000.0,122000000.0,107000000.0,124000000.0,
Machinery Furniture Equipment,2513000000.0,2371000000.0,2324000000.0,2278000000.0,
Buildings And Improvements,473000000.0,467000000.0,458000000.0,452000000.0,
Land And Improvements,149000000.0,146000000.0,138000000.0,142000000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,1195000000.0,1506000000.0,1768000000.0,1717000000.0,
Other Current Assets,107000000.0,125000000.0,91000000.0,68000000.0,
Assets Held For Sale Current,,,0.0,597000000.0,63000000.0
Inventory,545000000.0,626000000.0,629000000.0,473000000.0,
Finished Goods,372000000.0,390000000.0,391000000.0,282000000.0,
Raw Materials,173000000.0,236000000.0,238000000.0,191000000.0,
Receivables,243000000.0,338000000.0,402000000.0,369000000.0,
Accounts Receivable,243000000.0,338000000.0,402000000.0,369000000.0,
Allowance For Doubtful Accounts Receivable,-2000000.0,-3000000.0,-4000000.0,-3000000.0,
Gross Accounts Receivable,245000000.0,341000000.0,406000000.0,372000000.0,
Cash Cash Equivalents And Short Term Investments,300000000.0,417000000.0,646000000.0,210000000.0,
Cash And Cash Equivalents,300000000.0,417000000.0,646000000.0,210000000.0,
