,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.211,0.239,0.245,0.163
Normalized EBITDA,149718000.0,297925000.0,255479000.0,123657000.0
Net Income From Continuing Operation Net Minority Interest,54623000.0,171886000.0,139791000.0,46077000.0
Reconciled Depreciation,73010000.0,69353000.0,65340000.0,60832000.0
Reconciled Cost Of Revenue,1368511000.0,1631161000.0,1410503000.0,1024169000.0
EBITDA,149718000.0,297925000.0,255479000.0,123657000.0
EBIT,76708000.0,228572000.0,190139000.0,62825000.0
Net Interest Income,-7485000.0,-2781000.0,-5023000.0,-7792000.0
Interest Expense,7485000.0,2781000.0,5023000.0,7792000.0
Normalized Income,54623000.0,171886000.0,139791000.0,46077000.0
Net Income From Continuing And Discontinued Operation,54623000.0,171886000.0,139791000.0,46077000.0
Total Expenses,1464049000.0,1718909000.0,1493488000.0,1095039000.0
Diluted Average Shares,28007630.0,29031107.0,29045186.0,28157062.0
Basic Average Shares,27302254.0,27969436.0,28152876.0,28048726.0
Diluted EPS,1.95,5.92,4.81,1.64
Basic EPS,2.0,6.15,4.97,1.64
Diluted NI Availto Com Stockholders,54623000.0,171886000.0,139791000.0,46077000.0
Net Income Common Stockholders,54623000.0,171886000.0,139791000.0,46077000.0
Net Income,54623000.0,171886000.0,139791000.0,46077000.0
Net Income Including Noncontrolling Interests,54623000.0,171886000.0,139791000.0,46077000.0
Net Income Continuous Operations,54623000.0,171886000.0,139791000.0,46077000.0
Tax Provision,14600000.0,53905000.0,45325000.0,8956000.0
Pretax Income,69223000.0,225791000.0,185116000.0,55033000.0
Other Income Expense,7158000.0,1841000.0,-998000.0,-53000.0
Other Non Operating Income Expenses,7158000.0,1841000.0,-998000.0,-53000.0
Net Non Operating Interest Income Expense,-7485000.0,-2781000.0,-5023000.0,-7792000.0
Interest Expense Non Operating,7485000.0,2781000.0,5023000.0,7792000.0
Operating Income,69550000.0,226731000.0,191137000.0,62878000.0
Operating Expense,95538000.0,87748000.0,82985000.0,70870000.0
Selling General And Administration,95538000.0,87748000.0,82985000.0,70870000.0
Gross Profit,165088000.0,314479000.0,274122000.0,133748000.0
Cost Of Revenue,1368511000.0,1631161000.0,1410503000.0,1024169000.0
Total Revenue,1533599000.0,1945640000.0,1684625000.0,1157917000.0
Operating Revenue,1533599000.0,1945640000.0,1684625000.0,1157917000.0
