,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,3247200000.0,7167500000.0,9905500000.0,3626800000.0
Repurchase Of Capital Stock,-1000000000.0,-4639700000.0,-8560300000.0,-1207500000.0
Repayment Of Debt,-752800000.0,-516200000.0,-12100000.0,-3300000.0
Issuance Of Debt,997800000.0,495600000.0,0.0,1486300000.0
Issuance Of Capital Stock,99400000.0,81800000.0,49000000.0,37900000.0
Capital Expenditure,-2196200000.0,-1319300000.0,-940300000.0,-1000800000.0
Interest Paid Supplemental Data,137800000.0,82200000.0,83000000.0,64100000.0
Income Tax Paid Supplemental Data,2568300000.0,1734600000.0,1235000000.0,650200000.0
End Cash Position,7004700000.0,7268300000.0,6951800000.0,6049400000.0
Beginning Cash Position,7268300000.0,6951800000.0,6049400000.0,3532300000.0
Effect Of Exchange Rate Changes,-13800000.0,-3100000.0,20300000.0,-5300000.0
Changes In Cash,-249800000.0,319600000.0,882100000.0,2522400000.0
Financing Cash Flow,-3003900000.0,-7138300000.0,-9891700000.0,-753000000.0
Cash Flow From Continuing Financing Activities,-3003900000.0,-7138300000.0,-9891700000.0,-753000000.0
Cash Dividends Paid,-2348300000.0,-2559800000.0,-1368300000.0,-1066400000.0
Common Stock Dividend Paid,-2348300000.0,-2559800000.0,-1368300000.0,-1066400000.0
Net Common Stock Issuance,-900600000.0,-4557900000.0,-8511300000.0,-1169600000.0
Common Stock Payments,-1000000000.0,-4639700000.0,-8560300000.0,-1207500000.0
Common Stock Issuance,99400000.0,81800000.0,49000000.0,37900000.0
Net Issuance Payments Of Debt,245000000.0,-20600000.0,-12100000.0,1483000000.0
Net Long Term Debt Issuance,245000000.0,-20600000.0,-12100000.0,1483000000.0
Long Term Debt Payments,-752800000.0,-516200000.0,-12100000.0,-3300000.0
Long Term Debt Issuance,997800000.0,495600000.0,0.0,1486300000.0
Investing Cash Flow,-2689300000.0,-1028900000.0,-72000000.0,-1352200000.0
Cash Flow From Continuing Investing Activities,-2689300000.0,-1028900000.0,-72000000.0,-1352200000.0
Net Other Investing Changes,-561500000.0,-240000000.0,-124400000.0,-12200000.0
Net Investment Purchase And Sale,102000000.0,530400000.0,663700000.0,-116400000.0
Sale Of Investment,125600000.0,864700000.0,1826400000.0,1359100000.0
Purchase Of Investment,-23600000.0,-334300000.0,-1162700000.0,-1475500000.0
Net Business Purchase And Sale,-33600000.0,0.0,329000000.0,-222800000.0
Sale Of Business,0.0,0.0,329000000.0,0.0
Purchase Of Business,-33600000.0,0.0,0.0,-222800000.0
Net Intangibles Purchase And Sale,-40600000.0,-37500000.0,-39600000.0,-38800000.0
Purchase Of Intangibles,-40600000.0,-37500000.0,-39600000.0,-38800000.0
Net PPE Purchase And Sale,-2155600000.0,-1281800000.0,-900700000.0,-962000000.0
Purchase Of PPE,-2155600000.0,-1281800000.0,-900700000.0,-962000000.0
Operating Cash Flow,5443400000.0,8486800000.0,10845800000.0,4627600000.0
Cash Flow From Continuing Operating Activities,5443400000.0,8486800000.0,10845800000.0,4627600000.0
Change In Working Capital,-3663600000.0,2441200000.0,4892400000.0,531600000.0
Change In Other Working Capital,-2504000000.0,6666300000.0,5744200000.0,1549500000.0
Change In Other Current Assets,-344300000.0,-864300000.0,-222200000.0,-75100000.0
Change In Payables And Accrued Expense,-39700000.0,845900000.0,1066200000.0,381800000.0
Change In Accrued Expense,222000000.0,439700000.0,347600000.0,47500000.0
Change In Payable,-261700000.0,406200000.0,718600000.0,334300000.0
Change In Account Payable,-261700000.0,406200000.0,718600000.0,334300000.0
Change In Inventory,-1646900000.0,-2080900000.0,-483200000.0,-706700000.0
Change In Receivables,871300000.0,-2125800000.0,-1212600000.0,-617900000.0
Changes In Account Receivables,959900000.0,-2338000000.0,-1754900000.0,507500000.0
Stock Based Compensation,134800000.0,68900000.0,117500000.0,53900000.0
Provisionand Write Offof Assets,485300000.0,278500000.0,180700000.0,192400000.0
Asset Impairment Charge,37500000.0,39300000.0,-15900000.0,5500000.0
Deferred Tax,-133600000.0,-564200000.0,-419600000.0,-211300000.0
Deferred Income Tax,-133600000.0,-564200000.0,-419600000.0,-211300000.0
Depreciation Amortization Depletion,739800000.0,583600000.0,471000000.0,490800000.0
Depreciation And Amortization,739800000.0,583600000.0,471000000.0,490800000.0
Operating Gains Losses,4200000.0,15300000.0,-263500000.0,11000000.0
Earnings Losses From Equity Investments,4200000.0,15300000.0,-49800000.0,11000000.0
Gain Loss On Sale Of Business,0.0,0.0,-213700000.0,0.0
Net Income From Continuing Operations,7839000000.0,5624200000.0,5883200000.0,3553700000.0
