,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-5887000.0,3995000.0,-1804000.0,-1942000.0
Repayment Of Debt,-1666000.0,-1179000.0,-3049000.0,-4190000.0
Issuance Of Capital Stock,,0.0,18098000.0,4685000.0
Capital Expenditure,-7375000.0,-7836000.0,-1913000.0,-2014000.0
Interest Paid Supplemental Data,227000.0,92000.0,92000.0,
Income Tax Paid Supplemental Data,37000.0,14000.0,589000.0,
End Cash Position,2688000.0,11245000.0,24765000.0,11713000.0
Beginning Cash Position,11245000.0,24765000.0,11713000.0,9625000.0
Effect Of Exchange Rate Changes,-2000.0,-101000.0,58000.0,-20000.0
Changes In Cash,-8555000.0,-13419000.0,12994000.0,2108000.0
Financing Cash Flow,3488000.0,-1149000.0,16092000.0,4203000.0
Cash Flow From Continuing Financing Activities,3488000.0,-1149000.0,16092000.0,4203000.0
Proceeds From Stock Option Exercised,5154000.0,30000.0,1043000.0,3708000.0
Net Common Stock Issuance,,0.0,18098000.0,4685000.0
Common Stock Issuance,,0.0,18098000.0,4685000.0
Net Issuance Payments Of Debt,-1666000.0,-1179000.0,-3049000.0,-4190000.0
Net Long Term Debt Issuance,-1666000.0,-1179000.0,-3049000.0,-4190000.0
Long Term Debt Payments,-1666000.0,-1179000.0,-3049000.0,-4190000.0
Investing Cash Flow,-13531000.0,-24101000.0,-3207000.0,-2167000.0
Cash From Discontinued Investing Activities,,,0.0,0.0
Cash Flow From Continuing Investing Activities,-13531000.0,-24101000.0,-3207000.0,-2167000.0
Net Other Investing Changes,-1156000.0,-1131000.0,-1294000.0,-231000.0
Net Investment Purchase And Sale,,,0.0,78000.0
Sale Of Investment,,,0.0,78000.0
Net Business Purchase And Sale,-5000000.0,-15134000.0,0.0,
Purchase Of Business,-5000000.0,-15134000.0,0.0,
Net PPE Purchase And Sale,-7375000.0,-7836000.0,-1913000.0,-2014000.0
Purchase Of PPE,-7375000.0,-7836000.0,-1913000.0,-2014000.0
Operating Cash Flow,1488000.0,11831000.0,109000.0,72000.0
Cash Flow From Continuing Operating Activities,1488000.0,11831000.0,109000.0,72000.0
Change In Working Capital,-4761000.0,1044000.0,-1548000.0,2551000.0
Change In Other Working Capital,,,-1000.0,
Change In Other Current Liabilities,,,0.0,-178000.0
Change In Payables And Accrued Expense,1868000.0,4339000.0,1273000.0,-2915000.0
Change In Payable,1868000.0,4339000.0,1273000.0,-2915000.0
Change In Account Payable,2832000.0,3603000.0,1240000.0,-2877000.0
Change In Tax Payable,-768000.0,863000.0,25000.0,-39000.0
Change In Income Tax Payable,-768000.0,863000.0,25000.0,-39000.0
Change In Prepaid Assets,-225000.0,-904000.0,-203000.0,-157000.0
Change In Inventory,-2931000.0,-998000.0,-3664000.0,4150000.0
Change In Receivables,-3473000.0,-1393000.0,1047000.0,1651000.0
Changes In Account Receivables,-631000.0,-1464000.0,-680000.0,1211000.0
Other Non Cash Items,123000.0,306000.0,34000.0,48000.0
Stock Based Compensation,2269000.0,2024000.0,1469000.0,1857000.0
Unrealized Gain Loss On Investment Securities,931000.0,2103000.0,423000.0,124000.0
Asset Impairment Charge,414000.0,330000.0,0.0,
Deferred Tax,-525000.0,3440000.0,412000.0,-1569000.0
Deferred Income Tax,-525000.0,3440000.0,412000.0,-1569000.0
Depreciation Amortization Depletion,2919000.0,2186000.0,2116000.0,1917000.0
Operating Gains Losses,-424000.0,-2698000.0,-740000.0,2795000.0
Gain Loss On Investment Securities,-478000.0,-2395000.0,-475000.0,3383000.0
Net Foreign Currency Exchange Gain Loss,54000.0,-303000.0,-265000.0,-588000.0
Net Income From Continuing Operations,542000.0,3096000.0,-2057000.0,-7651000.0
