,2023-12-31,2022-12-31
Free Cash Flow,-7743735.0,-7413057.0
Repayment Of Debt,-706813.0,-13046.0
Issuance Of Debt,526282.0,0.0
Issuance Of Capital Stock,14129495.0,8119959.0
Capital Expenditure,-2331343.0,-4473164.0
End Cash Position,7908181.0,2389140.0
Beginning Cash Position,2389140.0,2953721.0
Effect Of Exchange Rate Changes,-867.0,207424.0
Changes In Cash,5519908.0,-772005.0
Financing Cash Flow,13385491.0,6641452.0
Cash Flow From Continuing Financing Activities,13385491.0,6641452.0
Net Other Financing Charges,-563473.0,-1465461.0
Net Common Stock Issuance,14129495.0,8119959.0
Common Stock Issuance,14129495.0,8119959.0
Net Issuance Payments Of Debt,-180531.0,-13046.0
Net Short Term Debt Issuance,-170930.0,0.0
Short Term Debt Payments,-697212.0,0.0
Short Term Debt Issuance,526282.0,0.0
Net Long Term Debt Issuance,-9601.0,-13046.0
Long Term Debt Payments,-9601.0,-13046.0
Investing Cash Flow,-2453191.0,-4473164.0
Cash Flow From Continuing Investing Activities,-2453191.0,-4473164.0
Net Business Purchase And Sale,-121848.0,0.0
Purchase Of Business,-121848.0,0.0
Net PPE Purchase And Sale,-2331343.0,-4473164.0
Purchase Of PPE,-2331343.0,-4473164.0
Operating Cash Flow,-5412392.0,-2939893.0
Cash Flow From Continuing Operating Activities,-5412392.0,-2939893.0
Change In Working Capital,1159728.0,33890.0
Change In Other Working Capital,882000.0,
Change In Other Current Liabilities,18877.0,-37399.0
Change In Other Current Assets,-59324.0,-146435.0
Change In Payables And Accrued Expense,626320.0,889648.0
Change In Accrued Expense,873705.0,319048.0
Change In Payable,-247385.0,570600.0
Change In Account Payable,-224598.0,570600.0
Change In Tax Payable,-22787.0,0.0
Change In Income Tax Payable,-22787.0,0.0
Change In Prepaid Assets,-546097.0,-671924.0
Change In Receivables,237952.0,0.0
Changes In Account Receivables,237952.0,0.0
Other Non Cash Items,774228.0,122570.0
Stock Based Compensation,8743799.0,1999313.0
Unrealized Gain Loss On Investment Securities,194540.0,-150527.0
Deferred Tax,16655.0,0.0
Deferred Income Tax,16655.0,0.0
Depreciation Amortization Depletion,37433.0,0.0
Depreciation And Amortization,37433.0,0.0
Depreciation,37433.0,0.0
Operating Gains Losses,-44649.0,
Net Foreign Currency Exchange Gain Loss,-44649.0,0.0
Net Income From Continuing Operations,-16294126.0,-4945139.0
