,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,48976000.0,78324000.0,5470000.0,-65582000.0
Repurchase Of Capital Stock,-7898000.0,-838000.0,-418000.0,-866000.0
Repayment Of Debt,-10500000.0,-70750000.0,-9835000.0,-454256000.0
Issuance Of Debt,0.0,70000000.0,0.0,
Issuance Of Capital Stock,0.0,7020000.0,44861000.0,88000.0
Capital Expenditure,-628000.0,-274000.0,-53000.0,-10000.0
Interest Paid Supplemental Data,3651000.0,7752000.0,10124000.0,17598000.0
Income Tax Paid Supplemental Data,4031000.0,,0.0,
End Cash Position,73441000.0,64941000.0,36810000.0,20786000.0
Beginning Cash Position,64941000.0,36810000.0,20786000.0,42107000.0
Changes In Cash,8500000.0,28131000.0,16024000.0,-21321000.0
Financing Cash Flow,-44201000.0,-7794000.0,29026000.0,-468550000.0
Cash Flow From Continuing Financing Activities,-44201000.0,-7794000.0,29026000.0,-468550000.0
Net Other Financing Charges,-25803000.0,-13226000.0,-5775000.0,-13516000.0
Proceeds From Stock Option Exercised,,34000.0,193000.0,0.0
Net Common Stock Issuance,-7898000.0,6182000.0,44443000.0,-778000.0
Common Stock Payments,-7898000.0,-838000.0,-418000.0,-866000.0
Common Stock Issuance,0.0,7020000.0,44861000.0,88000.0
Net Issuance Payments Of Debt,-10500000.0,-750000.0,-9835000.0,-454256000.0
Net Long Term Debt Issuance,-10500000.0,-750000.0,-9835000.0,-454256000.0
Long Term Debt Payments,-10500000.0,-70750000.0,-9835000.0,-454256000.0
Long Term Debt Issuance,0.0,70000000.0,0.0,
Investing Cash Flow,3097000.0,-42673000.0,-18525000.0,512801000.0
Cash Flow From Continuing Investing Activities,3097000.0,-42673000.0,-18525000.0,512801000.0
Net Investment Purchase And Sale,2194000.0,0.0,0.0,6000000.0
Sale Of Investment,2194000.0,0.0,0.0,6000000.0
Net Business Purchase And Sale,1531000.0,-42399000.0,-18472000.0,506811000.0
Sale Of Business,1950000.0,0.0,0.0,506811000.0
Purchase Of Business,-419000.0,-42399000.0,-18472000.0,0.0
Net PPE Purchase And Sale,-628000.0,-274000.0,-53000.0,-10000.0
Purchase Of PPE,-628000.0,-274000.0,-53000.0,-10000.0
Operating Cash Flow,49604000.0,78598000.0,5523000.0,-65572000.0
Cash Flow From Continuing Operating Activities,49604000.0,78598000.0,5523000.0,-65572000.0
Change In Working Capital,140000.0,-13014000.0,-31294000.0,-44212000.0
Change In Other Working Capital,,,522000.0,-8973000.0
Change In Payables And Accrued Expense,-42387000.0,-13444000.0,-39151000.0,-65545000.0
Change In Accrued Expense,-13039000.0,-3331000.0,-10452000.0,-29066000.0
Change In Interest Payable,-726000.0,-95000.0,,-7910000.0
Change In Payable,-29348000.0,-10113000.0,-28699000.0,-36479000.0
Change In Account Payable,-29348000.0,-10113000.0,-28699000.0,-36479000.0
Change In Prepaid Assets,-1169000.0,8019000.0,3600000.0,10797000.0
Change In Inventory,-4973000.0,-6593000.0,4268000.0,-291000.0
Change In Receivables,48669000.0,-996000.0,-11000.0,19800000.0
Changes In Account Receivables,48669000.0,-996000.0,-11000.0,19800000.0
Other Non Cash Items,-15109000.0,19243000.0,4108000.0,10809000.0
Stock Based Compensation,9158000.0,7504000.0,3545000.0,10924000.0
Provisionand Write Offof Assets,3288000.0,3265000.0,1368000.0,3817000.0
Asset Impairment Charge,279639000.0,0.0,0.0,17432000.0
Deferred Tax,76201000.0,-80375000.0,0.0,-8424000.0
Deferred Income Tax,76201000.0,-80375000.0,0.0,-8424000.0
Depreciation Amortization Depletion,28229000.0,33396000.0,29077000.0,26431000.0
Depreciation And Amortization,28229000.0,33396000.0,29077000.0,26431000.0
Depreciation,28229000.0,33396000.0,29077000.0,26431000.0
Operating Gains Losses,,-1046000.0,,-54205000.0
Gain Loss On Sale Of PPE,,,0.0,1588000.0
Gain Loss On Sale Of Business,,,0.0,-111906000.0
Net Income From Continuing Operations,-331942000.0,109625000.0,-1281000.0,-28144000.0
