,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-3921182.0,-602829.0,23370.0
Repurchase Of Capital Stock,-176876.0,0.0,
Capital Expenditure,-113559.0,,
Interest Paid Supplemental Data,0.0,0.0,0.0
Income Tax Paid Supplemental Data,0.0,0.0,0.0
End Cash Position,2924323.0,137177.0,33731.0
Beginning Cash Position,137177.0,33731.0,10361.0
Changes In Cash,2787146.0,103446.0,23370.0
Financing Cash Flow,6708328.0,706275.0,0.0
Cash Flow From Continuing Financing Activities,6708328.0,706275.0,0.0
Net Other Financing Charges,6885204.0,706275.0,
Net Common Stock Issuance,-176876.0,0.0,
Common Stock Payments,-176876.0,0.0,
Investing Cash Flow,-113559.0,0.0,
Cash Flow From Continuing Investing Activities,-113559.0,0.0,
Net Intangibles Purchase And Sale,-100000.0,0.0,
Purchase Of Intangibles,-100000.0,0.0,
Net PPE Purchase And Sale,-13559.0,0.0,
Purchase Of PPE,-13559.0,0.0,
Operating Cash Flow,-3807623.0,-602829.0,23370.0
Cash Flow From Continuing Operating Activities,-3807623.0,-602829.0,23370.0
Change In Working Capital,-173091.0,42426.0,8499.0
Change In Other Working Capital,-1203.0,-1802.0,-645.0
Change In Payables And Accrued Expense,-133207.0,44228.0,9144.0
Change In Prepaid Assets,-38681.0,0.0,
Stock Based Compensation,1295931.0,0.0,
Depreciation Amortization Depletion,734.0,0.0,
Depreciation And Amortization,734.0,0.0,
Net Income From Continuing Operations,-4931197.0,-645255.0,14871.0
