,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Treasury Shares Number,10316.0,10316.0,,0.0,13330.0
Ordinary Shares Number,1701729.0,1681729.0,1685595.0,1648351.0,
Share Issued,1712045.0,1692045.0,1685595.0,1648351.0,
Total Debt,300000.0,607000.0,1037000.0,2796000.0,
Tangible Book Value,34807000.0,44719000.0,53236000.0,61207000.0,
Invested Capital,34807000.0,44719000.0,53736000.0,63707000.0,
Working Capital,32200000.0,42048000.0,52268000.0,60899000.0,
Net Tangible Assets,34807000.0,44719000.0,53236000.0,61207000.0,
Capital Lease Obligations,300000.0,607000.0,537000.0,296000.0,
Common Stock Equity,34807000.0,44719000.0,53236000.0,61207000.0,
Total Capitalization,34807000.0,44719000.0,53236000.0,61207000.0,
Total Equity Gross Minority Interest,34807000.0,44719000.0,53236000.0,61207000.0,
Stockholders Equity,34807000.0,44719000.0,53236000.0,61207000.0,
Gains Losses Not Affecting Retained Earnings,-1177000.0,-1453000.0,-1199000.0,-23000.0,
Other Equity Adjustments,-1177000.0,-1453000.0,-1199000.0,-23000.0,
Treasury Stock,119000.0,119000.0,0.0,0.0,
Retained Earnings,-237020000.0,-225354000.0,-215712000.0,-207382000.0,
Additional Paid In Capital,82480000.0,81002000.0,79505000.0,77971000.0,
Capital Stock,190643000.0,190643000.0,190642000.0,190641000.0,
Common Stock,190643000.0,190643000.0,190642000.0,190641000.0,
Preferred Stock,0.0,0.0,0.0,0.0,
Total Liabilities Net Minority Interest,2833000.0,2956000.0,2985000.0,4426000.0,
Total Non Current Liabilities Net Minority Interest,305000.0,291000.0,303000.0,215000.0,
Other Non Current Liabilities,232000.0,,,,
Long Term Debt And Capital Lease Obligation,73000.0,291000.0,303000.0,215000.0,
Long Term Capital Lease Obligation,73000.0,291000.0,303000.0,215000.0,
Long Term Debt,,,,,332000.0
Current Liabilities,2528000.0,2665000.0,2682000.0,4211000.0,
Current Debt And Capital Lease Obligation,227000.0,316000.0,734000.0,2581000.0,
Current Capital Lease Obligation,227000.0,316000.0,234000.0,81000.0,
Current Debt,,,500000.0,2500000.0,2710000.0
Other Current Borrowings,,,,,210000.0
Current Notes Payable,,0.0,500000.0,2500000.0,2500000.0
Payables And Accrued Expenses,2301000.0,2349000.0,1948000.0,1630000.0,
Current Accrued Expenses,1928000.0,1803000.0,1777000.0,1232000.0,
Payables,373000.0,546000.0,171000.0,398000.0,
Total Tax Payable,,0.0,2000.0,2000.0,2000.0
Income Tax Payable,,0.0,2000.0,2000.0,2000.0
Accounts Payable,373000.0,546000.0,169000.0,396000.0,
Total Assets,37640000.0,47675000.0,56221000.0,65633000.0,
Total Non Current Assets,2912000.0,2962000.0,1271000.0,523000.0,
Other Non Current Assets,30000.0,30000.0,11000.0,11000.0,
Net PPE,2882000.0,2932000.0,1260000.0,512000.0,
Accumulated Depreciation,-1732000.0,-1001000.0,-779000.0,-774000.0,
Gross PPE,4614000.0,3933000.0,2039000.0,1286000.0,
Construction In Progress,1000.0,649000.0,242000.0,187000.0,
Other Properties,119000.0,262000.0,162000.0,249000.0,
Machinery Furniture Equipment,4494000.0,3022000.0,1635000.0,850000.0,
Current Assets,34728000.0,44713000.0,54950000.0,65110000.0,
Other Current Assets,261000.0,365000.0,748000.0,,
Prepaid Assets,,,748000.0,318000.0,117000.0
Inventory,2474000.0,1995000.0,1518000.0,1500000.0,
Finished Goods,370000.0,373000.0,518000.0,297000.0,
Work In Process,66000.0,243000.0,136000.0,147000.0,
Raw Materials,2038000.0,1379000.0,864000.0,1056000.0,
Receivables,77000.0,226000.0,58000.0,5000.0,
Other Receivables,,,2000.0,,
Taxes Receivable,0.0,1000.0,0.0,0.0,
Accounts Receivable,77000.0,225000.0,56000.0,5000.0,
Cash Cash Equivalents And Short Term Investments,31916000.0,42127000.0,52626000.0,63287000.0,
Other Short Term Investments,21474000.0,27919000.0,26173000.0,27351000.0,
Cash And Cash Equivalents,10442000.0,14208000.0,26453000.0,35936000.0,
