,2023-12-31,2023-06-30,2022-12-31,2022-06-30
Tax Effect Of Unusual Items,-25843.02,-1844.765266,534497.1904,90719.369891
Tax Rate For Calcs,0.21,0.25389,0.0464,0.183352
Normalized EBITDA,1644050.0,295032.0,63084.0,1422924.0
Total Unusual Items,-123062.0,-7266.0,11519336.0,494782.0
Total Unusual Items Excluding Goodwill,-123062.0,-7266.0,11519336.0,494782.0
Net Income From Continuing Operation Net Minority Interest,794950.0,131334.0,11045567.0,1478647.0
Reconciled Depreciation,0.0,28530.0,0.0,37232.0
Reconciled Cost Of Revenue,0.0,2385826.0,0.0,1535475.0
EBITDA,1520988.0,287766.0,11582420.0,1917706.0
EBIT,1520988.0,259236.0,11582420.0,1880474.0
Net Interest Income,3112281.0,1304002.0,3087315.0,234359.0
Interest Expense,0.0,83211.0,0.0,69844.0
Interest Income,3112281.0,1492655.0,3087315.0,365858.0
Normalized Income,892168.98,136755.234734,60728.1904,1074584.369891
Net Income From Continuing And Discontinued Operation,794950.0,131334.0,11045567.0,1478647.0
Total Expenses,2737871.0,10210130.0,3024231.0,12229850.0
Total Operating Income As Reported,-2737871.0,-1226153.0,-3024231.0,1019834.0
Diluted Average Shares,11781759.0,11781759.0,11781759.0,11781759.0
Basic Average Shares,11781759.0,11781759.0,11781759.0,11781759.0
Diluted EPS,0.067473,0.011147,0.937514,0.125503
Basic EPS,0.067473,0.011147,0.937514,0.125503
Diluted NI Availto Com Stockholders,794950.0,131334.0,11045567.0,1478647.0
Net Income Common Stockholders,794950.0,131334.0,11045567.0,1478647.0
Net Income,794950.0,131334.0,11045567.0,1478647.0
Net Income Including Noncontrolling Interests,794950.0,131334.0,11045567.0,1478647.0
Net Income Continuous Operations,794950.0,131334.0,11045567.0,1478647.0
Tax Provision,726038.0,44691.0,536853.0,331983.0
Pretax Income,1520988.0,176025.0,11582420.0,1810630.0
Other Income Expense,1146578.0,-7266.0,11519336.0,494782.0
Other Non Operating Income Expenses,1269640.0,,,
Special Income Charges,0.0,-7266.0,0.0,494782.0
Gain On Sale Of Ppe,,-7266.0,,0.0
Other Special Charges,,,,-494782.0
Restructuring And Mergern Acquisition,0.0,,0.0,
Gain On Sale Of Security,-123062.0,,11519336.0,
Net Non Operating Interest Income Expense,3112281.0,1304002.0,3087315.0,234359.0
Total Other Finance Cost,,105442.0,,61655.0
Interest Expense Non Operating,0.0,83211.0,0.0,69844.0
Interest Income Non Operating,3112281.0,1492655.0,3087315.0,365858.0
Operating Income,-2737871.0,-1120711.0,-3024231.0,1081489.0
Operating Expense,2737871.0,7824304.0,3024231.0,10694375.0
Other Operating Expenses,2737871.0,534699.0,3024231.0,447446.0
Other Taxes,0.0,5168625.0,0.0,8178966.0
Depreciation Amortization Depletion Income Statement,0.0,,0.0,
Depreciation And Amortization In Income Statement,0.0,,0.0,
Amortization,0.0,,0.0,
Amortization Of Intangibles Income Statement,0.0,,0.0,
Selling General And Administration,0.0,2120980.0,0.0,2067963.0
General And Administrative Expense,,2120980.0,,2067963.0
Other Gand A,,2120980.0,,2067963.0
Salaries And Wages,0.0,,0.0,
Gross Profit,0.0,6703593.0,0.0,11775864.0
Cost Of Revenue,0.0,2385826.0,0.0,1535475.0
Total Revenue,0.0,9089419.0,0.0,13311339.0
Operating Revenue,0.0,9071269.0,0.0,13265105.0
