,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-1638000.0,-5595036.661027,-4305912.596401,-382185000.0
Tax Rate For Calcs,0.21,0.043711,0.114824,0.27
Normalized EBITDA,554900000.0,717600000.0,512400000.0,173000000.0
Total Unusual Items,-7800000.0,-128000000.0,-37500000.0,-1415500000.0
Total Unusual Items Excluding Goodwill,-7800000.0,-128000000.0,-37500000.0,-1415500000.0
Net Income From Continuing Operation Net Minority Interest,410800000.0,323500000.0,184600000.0,-1572600000.0
Reconciled Depreciation,146100000.0,142900000.0,143900000.0,143300000.0
Reconciled Cost Of Revenue,3371100000.0,3121800000.0,2466600000.0,2689300000.0
EBITDA,547100000.0,589600000.0,474900000.0,-1242500000.0
EBIT,401000000.0,446700000.0,331000000.0,-1385800000.0
Net Interest Income,-92800000.0,-87400000.0,-96900000.0,-94400000.0
Interest Expense,105800000.0,92100000.0,97600000.0,96100000.0
Interest Income,13000000.0,4700000.0,700000.0,1700000.0
Normalized Income,416962000.0,445904963.338973,217794087.403599,-539285000.0
Net Income From Continuing And Discontinued Operation,410800000.0,323500000.0,184600000.0,-1572600000.0
Total Expenses,3699200000.0,3419300000.0,2693500000.0,2886000000.0
Total Operating Income As Reported,466400000.0,316100000.0,117600000.0,-1302700000.0
Diluted Average Shares,150000000.0,151200000.0,127100000.0,126500000.0
Basic Average Shares,128100000.0,127500000.0,127100000.0,126500000.0
Diluted EPS,2.81,0.96,-0.3,-12.43
Basic EPS,3.21,1.03,-0.3,-12.43
Diluted NI Availto Com Stockholders,421400000.0,337000000.0,200800000.0,-1572600000.0
Average Dilution Earnings,10600000.0,13500000.0,16200000.0,0.0
Net Income Common Stockholders,410800000.0,323500000.0,184600000.0,-1572600000.0
Net Income,410800000.0,323500000.0,184600000.0,-1572600000.0
Minority Interests,-12600000.0,-15600000.0,-22000000.0,-13000000.0
Net Income Including Noncontrolling Interests,423400000.0,339100000.0,206600000.0,-1559600000.0
Net Income Continuous Operations,423400000.0,339100000.0,206600000.0,-1559600000.0
Tax Provision,-128200000.0,15500000.0,26800000.0,77700000.0
Pretax Income,295200000.0,354600000.0,233400000.0,-1481900000.0
Other Income Expense,-86500000.0,25300000.0,224000000.0,-1483600000.0
Other Non Operating Income Expenses,-77100000.0,140700000.0,261400000.0,-61100000.0
Special Income Charges,-7800000.0,-128000000.0,-37500000.0,-1415500000.0
Gain On Sale Of Ppe,-100000.0,-105200000.0,2900000.0,2900000.0
Gain On Sale Of Business,0.0,0.0,13800000.0,0.0
Other Special Charges,,28500000.0,65500000.0,21500000.0
Impairment Of Capital Assets,,0.0,0.0,287000000.0
Restructuring And Mergern Acquisition,7700000.0,-5700000.0,-11300000.0,1109900000.0
Earnings From Equity Interest,-1600000.0,12600000.0,100000.0,-7000000.0
Net Non Operating Interest Income Expense,-92800000.0,-87400000.0,-96900000.0,-94400000.0
Interest Expense Non Operating,105800000.0,92100000.0,97600000.0,96100000.0
Interest Income Non Operating,13000000.0,4700000.0,700000.0,1700000.0
Operating Income,474500000.0,416700000.0,106300000.0,96100000.0
Operating Expense,328100000.0,297500000.0,226900000.0,196700000.0
Other Operating Expenses,,,,-4300000.0
Selling General And Administration,328100000.0,297500000.0,226900000.0,201000000.0
Gross Profit,802600000.0,714200000.0,333200000.0,292800000.0
Cost Of Revenue,3371100000.0,3121800000.0,2466600000.0,2689300000.0
Total Revenue,4173700000.0,3836000000.0,2799800000.0,2982100000.0
Operating Revenue,4173700000.0,3836000000.0,2799800000.0,2982100000.0
