,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Preferred Shares Number,3256561.0,3204640.0,3188533.0,2800000.0
Ordinary Shares Number,14603563.0,14453415.0,14804408.0,16115353.0
Share Issued,14603563.0,14453415.0,14804408.0,16115353.0
Net Debt,1666800000.0,1412707000.0,1012155000.0,731813000.0
Total Debt,2026318000.0,1817803000.0,1426657000.0,923691000.0
Tangible Book Value,394675000.0,326411000.0,287999000.0,77284000.0
Invested Capital,2400813000.0,2124102000.0,1709814000.0,987199000.0
Net Tangible Assets,394675000.0,326411000.0,287999000.0,77284000.0
Capital Lease Obligations,20180000.0,20112000.0,4842000.0,13776000.0
Common Stock Equity,394675000.0,326411000.0,287999000.0,77284000.0
Preferred Stock Equity,,40000000.0,40000000.0,40000000.0
Total Capitalization,2400813000.0,2124102000.0,1709814000.0,987199000.0
Total Equity Gross Minority Interest,392417000.0,325040000.0,287499000.0,76510000.0
Minority Interest,-2258000.0,-1371000.0,-500000.0,-774000.0
Stockholders Equity,394675000.0,326411000.0,287999000.0,77284000.0
Gains Losses Not Affecting Retained Earnings,,,,0.0
Retained Earnings,307260000.0,204415000.0,60236000.0,-117666000.0
Additional Paid In Capital,87415000.0,121996000.0,227763000.0,194950000.0
Capital Stock,0.0,0.0,0.0,40000000.0
Preferred Stock,0.0,0.0,0.0,40000000.0
Total Liabilities Net Minority Interest,2314028000.0,2062774000.0,1656364000.0,1130704000.0
Preferred Securities Outside Stock Equity,140250000.0,139950000.0,139650000.0,139350000.0
Long Term Debt And Capital Lease Obligation,2026318000.0,1817803000.0,1426657000.0,923691000.0
Long Term Capital Lease Obligation,20180000.0,20112000.0,4842000.0,13776000.0
Long Term Debt,2006138000.0,1797691000.0,1421815000.0,909915000.0
Payables And Accrued Expenses,147460000.0,105021000.0,90057000.0,67663000.0
Payables,147460000.0,105021000.0,90057000.0,67663000.0
Total Tax Payable,85826000.0,60689000.0,47770000.0,25932000.0
Income Tax Payable,85826000.0,60689000.0,47770000.0,25932000.0
Accounts Payable,61634000.0,44332000.0,42287000.0,41731000.0
Total Assets,2706445000.0,2387814000.0,1943863000.0,1207214000.0
Investments And Advances,,,0.0,1415000.0
Long Term Equity Investment,,,0.0,1415000.0
Net PPE,22755000.0,21795000.0,11351000.0,11421000.0
Accumulated Depreciation,-6923000.0,-4558000.0,-16040000.0,-27884000.0
Gross PPE,29678000.0,26353000.0,27391000.0,39305000.0
Leases,5972000.0,3437000.0,10539000.0,10570000.0
Other Properties,19570000.0,19194000.0,11617000.0,18065000.0
Machinery Furniture Equipment,4136000.0,3722000.0,5235000.0,10670000.0
Prepaid Assets,,27417000.0,15649000.0,15180000.0
Cash And Cash Equivalents,339338000.0,384984000.0,409660000.0,178102000.0
Cash Cash Equivalents And Federal Funds Sold,383653000.0,433192000.0,506628000.0,258961000.0
