,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,27634213.0,25674823.0,22143974.0,17532893.0
Share Issued,27634213.0,25674823.0,22143974.0,17532893.0
Total Debt,2113000.0,2581000.0,310000.0,738000.0
Tangible Book Value,36379000.0,66481000.0,73545000.0,61319000.0
Invested Capital,36379000.0,66481000.0,73545000.0,61319000.0
Working Capital,69769000.0,100314000.0,72909000.0,60158000.0
Net Tangible Assets,36379000.0,66481000.0,73545000.0,61319000.0
Capital Lease Obligations,2113000.0,2581000.0,310000.0,738000.0
Common Stock Equity,36379000.0,66481000.0,73545000.0,61319000.0
Total Capitalization,36379000.0,66481000.0,73545000.0,61319000.0
Total Equity Gross Minority Interest,36379000.0,66481000.0,73545000.0,61319000.0
Stockholders Equity,36379000.0,66481000.0,73545000.0,61319000.0
Retained Earnings,-337583000.0,-288765000.0,-255748000.0,-230974000.0
Additional Paid In Capital,373934000.0,355220000.0,329271000.0,292275000.0
Capital Stock,28000.0,26000.0,22000.0,18000.0
Common Stock,28000.0,26000.0,22000.0,18000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,45066000.0,47711000.0,6843000.0,5078000.0
Total Non Current Liabilities Net Minority Interest,36572000.0,37083000.0,3000.0,311000.0
Non Current Deferred Liabilities,35000000.0,35000000.0,0.0,
Non Current Deferred Revenue,35000000.0,35000000.0,0.0,
Long Term Debt And Capital Lease Obligation,1572000.0,2083000.0,3000.0,311000.0
Long Term Capital Lease Obligation,1572000.0,2083000.0,3000.0,311000.0
Current Liabilities,8494000.0,10628000.0,6840000.0,4767000.0
Other Current Liabilities,,,998000.0,
Current Deferred Liabilities,,0.0,998000.0,
Current Deferred Revenue,,0.0,998000.0,
Current Debt And Capital Lease Obligation,541000.0,498000.0,307000.0,427000.0
Current Capital Lease Obligation,541000.0,498000.0,307000.0,427000.0
Current Notes Payable,,,,0.0
Payables And Accrued Expenses,7953000.0,10130000.0,5535000.0,4340000.0
Payables,,,,4340000.0
Accounts Payable,,,,4340000.0
Total Assets,81445000.0,114192000.0,80388000.0,66397000.0
Total Non Current Assets,3182000.0,3250000.0,639000.0,1472000.0
Other Non Current Assets,313000.0,302000.0,,391000.0
Non Current Prepaid Assets,,,0.0,50000.0
Net PPE,2869000.0,2948000.0,639000.0,1031000.0
Accumulated Depreciation,-694000.0,-487000.0,-335000.0,-291000.0
Gross PPE,3563000.0,3435000.0,974000.0,1322000.0
Other Properties,3125000.0,3120000.0,775000.0,1097000.0
Machinery Furniture Equipment,438000.0,315000.0,199000.0,225000.0
Current Assets,78263000.0,110942000.0,79749000.0,64925000.0
Other Current Assets,226000.0,65000.0,61000.0,
Restricted Cash,0.0,396000.0,392000.0,48000.0
Prepaid Assets,1360000.0,1571000.0,1467000.0,1317000.0
Cash Cash Equivalents And Short Term Investments,76677000.0,108910000.0,77829000.0,63560000.0
Cash And Cash Equivalents,76677000.0,108910000.0,77829000.0,63560000.0
