,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-51130000.0,-33405000.0,-24440000.0,-21946000.0
Net Income From Continuing Operation Net Minority Interest,-48818000.0,-33017000.0,-24774000.0,-22215000.0
Reconciled Depreciation,790000.0,699000.0,524000.0,447000.0
EBITDA,-51130000.0,-33405000.0,-24440000.0,-21946000.0
EBIT,-51920000.0,-34104000.0,-24964000.0,-22393000.0
Net Interest Income,3102000.0,1087000.0,190000.0,178000.0
Interest Income,3102000.0,1087000.0,190000.0,178000.0
Normalized Income,-48818000.0,-33017000.0,-24774000.0,-22215000.0
Net Income From Continuing And Discontinued Operation,-48818000.0,-33017000.0,-24774000.0,-22215000.0
Total Expenses,52001000.0,35134000.0,26108000.0,22393000.0
Total Operating Income As Reported,-51920000.0,-34104000.0,-24964000.0,-22393000.0
Diluted Average Shares,26604045.0,24141545.0,20568373.0,12134259.0
Basic Average Shares,26604045.0,24141545.0,20568373.0,12134259.0
Diluted EPS,-1.83,-1.37,-1.2,-1.83
Basic EPS,-1.83,-1.37,-1.2,-1.83
Diluted NI Availto Com Stockholders,-48818000.0,-33017000.0,-24774000.0,-22216000.0
Net Income Common Stockholders,-48818000.0,-33017000.0,-24774000.0,-22216000.0
Otherunder Preferred Stock Dividend,,,0.0,1000.0
Net Income,-48818000.0,-33017000.0,-24774000.0,-22215000.0
Net Income Including Noncontrolling Interests,-48818000.0,-33017000.0,-24774000.0,-22215000.0
Net Income Continuous Operations,-48818000.0,-33017000.0,-24774000.0,-22215000.0
Pretax Income,-48818000.0,-33017000.0,-24774000.0,-22215000.0
Net Non Operating Interest Income Expense,3102000.0,1087000.0,190000.0,178000.0
Interest Income Non Operating,3102000.0,1087000.0,190000.0,178000.0
Operating Income,-51920000.0,-34104000.0,-24964000.0,-22393000.0
Operating Expense,52001000.0,35134000.0,26108000.0,22393000.0
Research And Development,38670000.0,23135000.0,18031000.0,16085000.0
Selling General And Administration,13331000.0,11999000.0,8077000.0,6308000.0
General And Administrative Expense,13331000.0,11999000.0,8077000.0,6308000.0
Other Gand A,13331000.0,11999000.0,8077000.0,6308000.0
Total Revenue,81000.0,1030000.0,1144000.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0
