,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-14588000.0,-12538000.0,-12550000.0,-12198000.0
Repayment Of Debt,-918000.0,-984000.0,-470000.0,
Issuance Of Capital Stock,13505000.0,5763000.0,243000.0,33386000.0
Capital Expenditure,-31000.0,-39000.0,-109000.0,-131000.0
Interest Paid Supplemental Data,194000.0,255000.0,128000.0,0.0
Income Tax Paid Supplemental Data,0.0,0.0,66000.0,0.0
End Cash Position,12591000.0,21184000.0,28699000.0,37942000.0
Beginning Cash Position,21184000.0,28699000.0,37942000.0,14871000.0
Changes In Cash,-8593000.0,-7515000.0,-9243000.0,23071000.0
Financing Cash Flow,12715000.0,5023000.0,3307000.0,35269000.0
Cash Flow From Continuing Financing Activities,12715000.0,5023000.0,3307000.0,35269000.0
Net Other Financing Charges,,,-470000.0,
Proceeds From Stock Option Exercised,128000.0,244000.0,3534000.0,1883000.0
Net Common Stock Issuance,13505000.0,5763000.0,243000.0,33386000.0
Common Stock Issuance,13505000.0,5763000.0,243000.0,33386000.0
Net Issuance Payments Of Debt,-918000.0,-984000.0,-470000.0,
Net Long Term Debt Issuance,-918000.0,-984000.0,-470000.0,
Long Term Debt Payments,-918000.0,-984000.0,-470000.0,
Investing Cash Flow,-6751000.0,-39000.0,-109000.0,-131000.0
Cash Flow From Continuing Investing Activities,-6751000.0,-39000.0,-109000.0,-131000.0
Net Investment Purchase And Sale,-6735000.0,0.0,,
Sale Of Investment,12804000.0,0.0,,
Purchase Of Investment,-19539000.0,0.0,,
Net PPE Purchase And Sale,-16000.0,-39000.0,-109000.0,-131000.0
Sale Of PPE,15000.0,0.0,,
Purchase Of PPE,-31000.0,-39000.0,-109000.0,-131000.0
Operating Cash Flow,-14557000.0,-12499000.0,-12441000.0,-12067000.0
Cash Flow From Continuing Operating Activities,-14557000.0,-12499000.0,-12441000.0,-12067000.0
Change In Working Capital,38000.0,69000.0,-485000.0,-550000.0
Change In Other Working Capital,,,,-37000.0
Change In Other Current Liabilities,-240000.0,-218000.0,-90000.0,-142000.0
Change In Payables And Accrued Expense,685000.0,395000.0,-218000.0,79000.0
Change In Accrued Expense,464000.0,336000.0,-114000.0,-48000.0
Change In Payable,221000.0,59000.0,-104000.0,127000.0
Change In Account Payable,221000.0,59000.0,-104000.0,127000.0
Change In Prepaid Assets,174000.0,-108000.0,-177000.0,-450000.0
Change In Receivables,-581000.0,0.0,0.0,0.0
Changes In Account Receivables,,,0.0,0.0
Stock Based Compensation,4013000.0,3367000.0,2973000.0,3041000.0
Amortization Of Securities,-254000.0,0.0,,
Depreciation Amortization Depletion,1439000.0,1506000.0,785000.0,179000.0
Depreciation And Amortization,1439000.0,1506000.0,785000.0,179000.0
Depreciation,1439000.0,1506000.0,785000.0,179000.0
Operating Gains Losses,-3000.0,,,141000.0
Gain Loss On Investment Securities,,,,141000.0
Net Income From Continuing Operations,-19790000.0,-17441000.0,-15714000.0,-14878000.0
