,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-37514000.0,-39022000.0,-23533000.0,-25128000.0
Repurchase Of Capital Stock,-6557000.0,-12201000.0,-18011000.0,-13029000.0
Repayment Of Debt,-992000.0,-899000.0,-5816000.0,-667000.0
Issuance Of Debt,0.0,0.0,5000000.0,0.0
Issuance Of Capital Stock,,0.0,0.0,188958000.0
Capital Expenditure,-41998000.0,-16881000.0,-9753000.0,-5259000.0
Interest Paid Supplemental Data,6376000.0,4270000.0,4223000.0,4366000.0
Income Tax Paid Supplemental Data,395000.0,192000.0,190000.0,217000.0
End Cash Position,84310000.0,58099000.0,43654000.0,41944000.0
Beginning Cash Position,58099000.0,43654000.0,41944000.0,28483000.0
Effect Of Exchange Rate Changes,-58000.0,-361000.0,-372000.0,136000.0
Changes In Cash,26269000.0,14806000.0,2082000.0,13325000.0
Financing Cash Flow,-32000.0,-7059000.0,-7642000.0,189392000.0
Cash Flow From Continuing Financing Activities,-32000.0,-7059000.0,-7642000.0,189392000.0
Net Other Financing Charges,-60000.0,,-1171000.0,-35000.0
Proceeds From Stock Option Exercised,7577000.0,6041000.0,12356000.0,14165000.0
Net Common Stock Issuance,-6557000.0,-12201000.0,-18011000.0,175929000.0
Common Stock Payments,-6557000.0,-12201000.0,-18011000.0,-13029000.0
Common Stock Issuance,,0.0,0.0,188958000.0
Net Issuance Payments Of Debt,-992000.0,-899000.0,-816000.0,-667000.0
Net Long Term Debt Issuance,-992000.0,-899000.0,-816000.0,-667000.0
Long Term Debt Payments,-992000.0,-899000.0,-5816000.0,-667000.0
Long Term Debt Issuance,0.0,0.0,5000000.0,0.0
Investing Cash Flow,21817000.0,44006000.0,23504000.0,-156198000.0
Cash Flow From Continuing Investing Activities,21817000.0,44006000.0,23504000.0,-156198000.0
Net Other Investing Changes,,,,800000.0
Net Investment Purchase And Sale,63815000.0,60887000.0,33257000.0,-151739000.0
Sale Of Investment,63815000.0,85524000.0,206362000.0,75306000.0
Purchase Of Investment,0.0,-24637000.0,-173105000.0,-227045000.0
Net Business Purchase And Sale,,,0.0,0.0
Purchase Of Business,,,0.0,0.0
Net Intangibles Purchase And Sale,-30000000.0,0.0,0.0,
Purchase Of Intangibles,-30000000.0,0.0,0.0,
Net PPE Purchase And Sale,-11998000.0,-16881000.0,-9753000.0,-5259000.0
Sale Of PPE,,,0.0,0.0
Purchase Of PPE,-11998000.0,-16881000.0,-9753000.0,-5259000.0
Operating Cash Flow,4484000.0,-22141000.0,-13780000.0,-19869000.0
Cash Flow From Continuing Operating Activities,4484000.0,-22141000.0,-13780000.0,-19869000.0
Change In Working Capital,-18240000.0,-18880000.0,-4846000.0,-6639000.0
Change In Other Working Capital,-1193000.0,-1782000.0,-2766000.0,484000.0
Change In Other Current Assets,-3084000.0,-515000.0,-700000.0,-477000.0
Change In Payables And Accrued Expense,17739000.0,-289000.0,12981000.0,-6468000.0
Change In Accrued Expense,11562000.0,-2966000.0,8271000.0,-4908000.0
Change In Payable,6177000.0,2677000.0,4710000.0,-1560000.0
Change In Account Payable,6177000.0,2677000.0,4710000.0,-1560000.0
Change In Inventory,-21830000.0,-7305000.0,-4274000.0,-5265000.0
Change In Receivables,-9872000.0,-8989000.0,-10087000.0,5087000.0
Changes In Account Receivables,-9872000.0,-8989000.0,-10087000.0,5087000.0
Other Non Cash Items,1989000.0,1246000.0,-182434000.0,1499000.0
Stock Based Compensation,35728000.0,28771000.0,28078000.0,22642000.0
Asset Impairment Charge,0.0,0.0,82300000.0,0.0
Amortization Of Securities,632000.0,1478000.0,2482000.0,1236000.0
Depreciation Amortization Depletion,14813000.0,11710000.0,10441000.0,9548000.0
Depreciation And Amortization,14813000.0,11710000.0,10441000.0,9548000.0
Amortization Cash Flow,5353000.0,3653000.0,2907000.0,1682000.0
Amortization Of Intangibles,5353000.0,3653000.0,2907000.0,1682000.0
Depreciation,9460000.0,8057000.0,7534000.0,7866000.0
Operating Gains Losses,,,,277000.0
Gain Loss On Sale Of PPE,,,,277000.0
Net Income From Continuing Operations,-30438000.0,-46466000.0,50199000.0,-48155000.0
