,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,121587000.0,452619000.0,1622363000.0,1906209000.0
Repurchase Of Capital Stock,0.0,0.0,-804928000.0,-4816379000.0
Repayment Of Debt,-2837306000.0,-4604409000.0,-5141162000.0,-6237887000.0
Issuance Of Debt,2738902000.0,4276903000.0,4595105000.0,8019648000.0
Capital Expenditure,-1704811000.0,-1914282000.0,-1231715000.0,-1073955000.0
End Cash Position,302338000.0,305751000.0,195975000.0,278686000.0
Beginning Cash Position,305751000.0,195975000.0,278686000.0,702160000.0
Effect Of Exchange Rate Changes,-697000.0,291000.0,-662000.0,-2167000.0
Changes In Cash,-2716000.0,109485000.0,-82049000.0,-421307000.0
Financing Cash Flow,-122591000.0,-335906000.0,-1362524000.0,-2181045000.0
Cash Flow From Continuing Financing Activities,-122591000.0,-335906000.0,-1362524000.0,-2181045000.0
Net Other Financing Charges,-24187000.0,-8400000.0,-11539000.0,853573000.0
Proceeds From Stock Option Exercised,,,,14348000.0
Cash Dividends Paid,,,,0.0
Common Stock Dividend Paid,,,,0.0
Net Common Stock Issuance,0.0,0.0,-804928000.0,-4816379000.0
Common Stock Payments,0.0,0.0,-804928000.0,-4816379000.0
Net Issuance Payments Of Debt,-98404000.0,-327506000.0,-546057000.0,1781761000.0
Net Long Term Debt Issuance,-98404000.0,-327506000.0,-546057000.0,1781761000.0
Long Term Debt Payments,-2837306000.0,-4604409000.0,-5141162000.0,-6237887000.0
Long Term Debt Issuance,2738902000.0,4276903000.0,4595105000.0,8019648000.0
Investing Cash Flow,-1706523000.0,-1921510000.0,-1573603000.0,-1220426000.0
Cash Flow From Continuing Investing Activities,-1706523000.0,-1921510000.0,-1573603000.0,-1220426000.0
Net Other Investing Changes,-1712000.0,-5168000.0,-1444000.0,3502000.0
Net Business Purchase And Sale,0.0,-2060000.0,-340444000.0,-149973000.0
Purchase Of Business,0.0,-2060000.0,-340444000.0,-149973000.0
Capital Expenditure Reported,-1704811000.0,-1914282000.0,-1231715000.0,-1073955000.0
Operating Cash Flow,1826398000.0,2366901000.0,2854078000.0,2980164000.0
Cash Flow From Continuing Operating Activities,1826398000.0,2366901000.0,2854078000.0,2980164000.0
Change In Working Capital,-39039000.0,-271900000.0,-346485000.0,-93137000.0
Change In Other Working Capital,132702000.0,-323764000.0,-167123000.0,-36383000.0
Change In Other Current Liabilities,,,-149952000.0,104051000.0
Change In Payables And Accrued Expense,-39256000.0,46724000.0,-177326000.0,-118388000.0
Change In Prepaid Assets,-54782000.0,50419000.0,28343000.0,8330000.0
Change In Receivables,-77703000.0,-45279000.0,-30379000.0,-50747000.0
Changes In Account Receivables,-77703000.0,-45279000.0,-30379000.0,-50747000.0
Other Non Cash Items,45609000.0,80816000.0,96154000.0,125206000.0
Stock Based Compensation,47926000.0,159985000.0,98296000.0,125087000.0
Provisionand Write Offof Assets,84461000.0,88159000.0,68809000.0,65965000.0
Asset Impairment Charge,209163000.0,44342000.0,43820000.0,45995000.0
Deferred Tax,-226915000.0,36385000.0,40701000.0,75512000.0
Deferred Income Tax,-226915000.0,36385000.0,40701000.0,75512000.0
Depreciation Amortization Depletion,1644297000.0,1773673000.0,1787152000.0,2083365000.0
Depreciation And Amortization,1644297000.0,1773673000.0,1787152000.0,2083365000.0
Amortization Cash Flow,391378000.0,555308000.0,641836000.0,
Amortization Of Intangibles,391378000.0,555308000.0,641836000.0,
Depreciation,1252919000.0,1218365000.0,1145316000.0,
Operating Gains Losses,-18141000.0,234552000.0,54699000.0,108692000.0
Gain Loss On Investment Securities,-13748000.0,233977000.0,2987000.0,-141797000.0
Gain Loss On Sale Of PPE,,,43820000.0,45995000.0
Net Income From Continuing Operations,79037000.0,220889000.0,1010932000.0,443479000.0
