,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-52178000.0,-44709000.0,-32711000.0,-14645000.0
Net Income From Continuing Operation Net Minority Interest,-50389000.0,-45338000.0,-33768000.0,-16224000.0
Reconciled Depreciation,2741000.0,1695000.0,1304000.0,1266000.0
EBITDA,-52178000.0,-44709000.0,-32711000.0,-14645000.0
EBIT,-54919000.0,-46404000.0,-34015000.0,-15911000.0
Normalized Income,-50389000.0,-45338000.0,-33768000.0,-16224000.0
Net Income From Continuing And Discontinued Operation,-50389000.0,-45338000.0,-33768000.0,-16224000.0
Total Expenses,55272000.0,56790000.0,34015000.0,26366000.0
Total Operating Income As Reported,-54919000.0,-46404000.0,-34015000.0,-15911000.0
Diluted Average Shares,53606488.0,28419569.0,19080878.0,9160269.0
Basic Average Shares,53606488.0,28419569.0,19080878.0,9160269.0
Diluted EPS,-0.94,-1.6,-1.77,-1.77
Basic EPS,-0.94,-1.6,-1.77,-1.77
Diluted NI Availto Com Stockholders,-50389000.0,-45338000.0,-33768000.0,-16224000.0
Net Income Common Stockholders,-50389000.0,-45338000.0,-33768000.0,-16224000.0
Net Income,-50389000.0,-45338000.0,-33768000.0,-16224000.0
Minority Interests,8000.0,5000.0,9000.0,6000.0
Net Income Including Noncontrolling Interests,-50397000.0,-45343000.0,-33777000.0,-16230000.0
Net Income Continuous Operations,-50397000.0,-45343000.0,-33777000.0,-16230000.0
Pretax Income,-50397000.0,-45343000.0,-33777000.0,-16230000.0
Other Income Expense,4522000.0,1061000.0,238000.0,-319000.0
Other Non Operating Income Expenses,4522000.0,1061000.0,238000.0,-319000.0
Operating Income,-54919000.0,-46404000.0,-34015000.0,-15911000.0
Operating Expense,55272000.0,56790000.0,34015000.0,26366000.0
Research And Development,42293000.0,42808000.0,23264000.0,17291000.0
Selling General And Administration,12979000.0,13982000.0,10751000.0,9075000.0
General And Administrative Expense,12979000.0,13982000.0,10751000.0,9075000.0
Other Gand A,12979000.0,13982000.0,10751000.0,9075000.0
Total Revenue,353000.0,10386000.0,0.0,10455000.0
Operating Revenue,353000.0,10386000.0,0.0,10455000.0
